"Label (Grouping)","Westchester County, New York!!Total!!Estimate","Westchester County, New York!!Total!!Margin of Error","Westchester County, New York!!Percent!!Estimate","Westchester County, New York!!Percent!!Margin of Error","Westchester County, New York!!Households receiving food stamps/SNAP!!Estimate","Westchester County, New York!!Households receiving food stamps/SNAP!!Margin of Error","Westchester County, New York!!Percent households receiving food stamps/SNAP!!Estimate","Westchester County, New York!!Percent households receiving food stamps/SNAP!!Margin of Error","Westchester County, New York!!Households not receiving food stamps/SNAP!!Estimate","Westchester County, New York!!Households not receiving food stamps/SNAP!!Margin of Error","Westchester County, New York!!Percent households not receiving food stamps/SNAP!!Estimate","Westchester County, New York!!Percent households not receiving food stamps/SNAP!!Margin of Error"
"Households","374,012","±3,224","(X)","(X)","35,051","±3,541","9.4%","±1.0","338,961","±4,902","90.6%","±1.0"
"    With one or more people in the household 60 years and over","170,261","±3,480","45.5%","±0.9","16,150","±2,302","46.1%","±5.0","154,111","±3,762","45.5%","±1.0"
"    No people in the household 60 years and over","203,751","±4,294","54.5%","±0.9","18,901","±2,688","53.9%","±5.0","184,850","±4,590","54.5%","±1.0"
"    HOUSEHOLD TYPE","","","","","","","","","","","",""
"    Married-couple family","186,119","±5,622","49.8%","±1.4","7,641","±1,848","21.8%","±4.6","178,478","±5,588","52.7%","±1.4"
"    Other family:","62,943","±4,731","16.8%","±1.3","13,736","±2,348","39.2%","±5.7","49,207","±4,173","14.5%","±1.2"
"        Male householder, no spouse present","15,952","±2,559","4.3%","±0.7","2,522","±1,283","7.2%","±3.6","13,430","±2,087","4.0%","±0.6"
"        Female householder, no spouse present","46,991","±3,727","12.6%","±1.0","11,214","±2,050","32.0%","±4.9","35,777","±3,434","10.6%","±1.0"
"    Nonfamily households","124,950","±4,766","33.4%","±1.3","13,674","±2,416","39.0%","±5.6","111,276","±4,749","32.8%","±1.3"
"    With children under 18 years","114,389","±4,272","30.6%","±1.1","13,130","±2,216","37.5%","±4.8","101,259","±4,537","29.9%","±1.3"
"        Married-couple family","82,622","±4,060","22.1%","±1.1","3,859","±1,338","11.0%","±3.6","78,763","±4,044","23.2%","±1.2"
"        Other family:","31,106","±3,367","8.3%","±0.9","8,891","±1,837","25.4%","±4.6","22,215","±2,871","6.6%","±0.8"
"            Male householder, no spouse present","6,623","±1,859","1.8%","±0.5","1,245","±848","3.6%","±2.4","5,378","±1,690","1.6%","±0.5"
"            Female householder, no spouse present","24,483","±2,954","6.5%","±0.8","7,646","±1,602","21.8%","±4.1","16,837","±2,684","5.0%","±0.8"
"        Nonfamily households","661","±658","0.2%","±0.2","380","±590","1.1%","±1.7","281","±278","0.1%","±0.1"
"    No children under 18 years","259,623","±4,542","69.4%","±1.1","21,921","±2,684","62.5%","±4.8","237,702","±5,454","70.1%","±1.3"
"        Married-couple family","103,497","±4,174","27.7%","±1.1","3,782","±1,264","10.8%","±3.4","99,715","±4,015","29.4%","±1.1"
"        Other family:","31,837","±3,530","8.5%","±0.9","4,845","±1,411","13.8%","±3.9","26,992","±3,218","8.0%","±0.9"
"            Male householder, no spouse present","9,329","±1,813","2.5%","±0.5","1,277","±852","3.6%","±2.5","8,052","±1,704","2.4%","±0.5"
"            Female householder, no spouse present","22,508","±2,671","6.0%","±0.7","3,568","±1,156","10.2%","±3.1","18,940","±2,328","5.6%","±0.7"
"        Nonfamily households","124,289","±4,705","33.2%","±1.3","13,294","±2,320","37.9%","±5.4","110,995","±4,751","32.7%","±1.3"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","",""
"        Below poverty level","38,413","±3,605","10.3%","±1.0","13,939","±2,367","39.8%","±6.1","24,474","±3,031","7.2%","±0.9"
"        At or above  poverty level","335,599","±4,582","89.7%","±1.0","21,112","±3,275","60.2%","±6.1","314,487","±5,544","92.8%","±0.9"
"    DISABILITY STATUS","","","","","","","","","","","",""
"        With one or more people with a disability","85,320","±4,142","22.8%","±1.1","15,917","±2,121","45.4%","±5.0","69,403","±4,213","20.5%","±1.2"
"        With no persons with a disability","288,692","±4,766","77.2%","±1.1","19,134","±2,853","54.6%","±5.0","269,558","±5,611","79.5%","±1.2"
"    RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","",""
"        White alone","211,980","±3,907","56.7%","±1.1","7,485","±1,662","21.4%","±4.6","204,495","±4,369","60.3%","±1.3"
"        Black or African American alone","50,234","±2,951","13.4%","±0.8","9,569","±2,100","27.3%","±5.0","40,665","±3,134","12.0%","±0.9"
"        American Indian and Alaska Native alone","2,526","±1,084","0.7%","±0.3","489","±410","1.4%","±1.2","2,037","±1,037","0.6%","±0.3"
"        Asian alone","22,955","±1,415","6.1%","±0.4","1,760","±679","5.0%","±2.0","21,195","±1,512","6.3%","±0.4"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N","N","N","N","N","N","N"
"        Some other race alone","45,892","±3,453","12.3%","±0.9","10,440","±2,111","29.8%","±5.0","35,452","±3,354","10.5%","±1.0"
"        Two or more races","40,021","±4,072","10.7%","±1.1","5,308","±1,571","15.1%","±4.1","34,713","±3,870","10.2%","±1.1"
"        Hispanic or Latino origin (of any race)","87,388","±3,863","23.4%","±0.9","16,986","±2,522","48.5%","±5.1","70,402","±4,389","20.8%","±1.1"
"        White alone, not Hispanic or Latino","201,966","±3,460","54.0%","±1.0","6,295","±1,501","18.0%","±4.0","195,671","±4,017","57.7%","±1.3"
