"Label (Grouping)","Westchester County, New York!!Total!!Estimate","Westchester County, New York!!Total!!Margin of Error","Westchester County, New York!!Percent!!Estimate","Westchester County, New York!!Percent!!Margin of Error","Westchester County, New York!!Male!!Estimate","Westchester County, New York!!Male!!Margin of Error","Westchester County, New York!!Percent Male!!Estimate","Westchester County, New York!!Percent Male!!Margin of Error","Westchester County, New York!!Female!!Estimate","Westchester County, New York!!Female!!Margin of Error","Westchester County, New York!!Percent Female!!Estimate","Westchester County, New York!!Percent Female!!Margin of Error"
"Population 16 years and over with earnings","552,530","±6,742","552,530","±6,742","283,152","±4,750","283,152","±4,750","269,378","±5,077","269,378","±5,077"
"    Median earnings (dollars)","61,823","±1,204","(X)","(X)","71,607","±2,281","(X)","(X)","52,102","±2,824","(X)","(X)"
"    FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","367,416","±7,755","367,416","±7,755","203,086","±4,723","203,086","±4,723","164,330","±6,066","164,330","±6,066"
"        $1 to $9,999 or loss","3,827","±1,029","1.0%","±0.3","1,928","±749","0.9%","±0.4","1,899","±715","1.2%","±0.4"
"        $10,000 to $14,999","5,767","±1,855","1.6%","±0.5","3,136","±1,388","1.5%","±0.7","2,631","±1,048","1.6%","±0.6"
"        $15,000 to $24,999","16,274","±3,223","4.4%","±0.9","7,883","±2,223","3.9%","±1.1","8,391","±1,898","5.1%","±1.2"
"        $25,000 to $34,999","22,346","±3,286","6.1%","±0.9","12,394","±2,443","6.1%","±1.2","9,952","±1,817","6.1%","±1.1"
"        $35,000 to $49,999","38,897","±4,176","10.6%","±1.1","18,973","±2,467","9.3%","±1.2","19,924","±2,916","12.1%","±1.6"
"        $50,000 to $64,999","42,681","±4,020","11.6%","±1.1","22,124","±3,427","10.9%","±1.7","20,557","±2,889","12.5%","±1.6"
"        $65,000 to $74,999","25,863","±2,989","7.0%","±0.8","14,176","±2,004","7.0%","±1.0","11,687","±1,978","7.1%","±1.2"
"        $75,000 to $99,999","53,786","±4,511","14.6%","±1.2","28,650","±3,540","14.1%","±1.7","25,136","±2,974","15.3%","±1.8"
"        $100,000 or more","157,975","±5,938","43.0%","±1.4","93,822","±4,349","46.2%","±2.0","64,153","±3,837","39.0%","±2.2"
"        Median earnings (dollars) for full-time, year-round workers with earnings","84,565","±3,090","(X)","(X)","90,171","±4,603","(X)","(X)","80,342","±2,975","(X)","(X)"
"        Mean earnings (dollars) for full-time, year-round workers with earnings","134,316","±4,848","(X)","(X)","155,033","±7,559","(X)","(X)","108,712","±4,891","(X)","(X)"
"MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 25 years and over with earnings","72,639","±2,458","(X)","(X)","81,065","±1,282","(X)","(X)","62,578","±3,853","(X)","(X)"
"        Less than high school graduate","30,760","±2,619","(X)","(X)","35,136","±6,110","(X)","(X)","24,070","±4,917","(X)","(X)"
"        High school graduate (includes equivalency)","42,345","±6,842","(X)","(X)","55,742","±5,908","(X)","(X)","31,352","±4,363","(X)","(X)"
"        Some college or associate's degree","55,409","±4,654","(X)","(X)","60,928","±3,664","(X)","(X)","51,121","±5,456","(X)","(X)"
"        Bachelor's degree","82,203","±3,772","(X)","(X)","101,801","±2,802","(X)","(X)","70,975","±4,120","(X)","(X)"
"        Graduate or professional degree","114,957","±7,101","(X)","(X)","156,563","±13,665","(X)","(X)","101,495","±2,153","(X)","(X)"
