"Label (Grouping)","Westchester County, New York!!Occupied housing units!!Estimate","Westchester County, New York!!Occupied housing units!!Margin of Error","Westchester County, New York!!Percent occupied housing units!!Estimate","Westchester County, New York!!Percent occupied housing units!!Margin of Error","Westchester County, New York!!Owner-occupied housing units!!Estimate","Westchester County, New York!!Owner-occupied housing units!!Margin of Error","Westchester County, New York!!Percent owner-occupied housing units!!Estimate","Westchester County, New York!!Percent owner-occupied housing units!!Margin of Error","Westchester County, New York!!Renter-occupied housing units!!Estimate","Westchester County, New York!!Renter-occupied housing units!!Margin of Error","Westchester County, New York!!Percent renter-occupied housing units!!Estimate","Westchester County, New York!!Percent renter-occupied housing units!!Margin of Error"
"Occupied housing units","374,012","±3,224","374,012","±3,224","231,979","±5,826","231,979","±5,826","142,033","±5,204","142,033","±5,204"
"    RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","",""
"        One race --","","","","","","","","","","","",""
"            White","211,980","±3,907","56.7%","±1.1","161,183","±4,550","69.5%","±1.4","50,797","±4,214","35.8%","±2.7"
"            Black or African American","50,234","±2,951","13.4%","±0.8","21,250","±2,403","9.2%","±1.0","28,984","±3,105","20.4%","±2.1"
"            American Indian and Alaska Native","2,526","±1,084","0.7%","±0.3","762","±509","0.3%","±0.2","1,764","±950","1.2%","±0.7"
"            Asian","22,955","±1,415","6.1%","±0.4","15,572","±1,427","6.7%","±0.6","7,383","±1,227","5.2%","±0.9"
"            Native Hawaiian and Other Pacific Islander","404","±603","0.1%","±0.2","N","N","N","N","N","N","N","N"
"            Some other race","45,892","±3,453","12.3%","±0.9","13,660","±2,045","5.9%","±0.8","32,232","±3,196","22.7%","±2.0"
"        Two or more races","40,021","±4,072","10.7%","±1.1","19,148","±2,577","8.3%","±1.1","20,873","±3,163","14.7%","±2.1"
"        Hispanic or Latino origin","87,388","±3,863","23.4%","±0.9","32,984","±3,121","14.2%","±1.2","54,404","±4,065","38.3%","±2.4"
"        White alone, not Hispanic or Latino","201,966","±3,460","54.0%","±1.0","156,261","±4,191","67.4%","±1.3","45,705","±4,017","32.2%","±2.5"
"    AGE OF HOUSEHOLDER","","","","","","","","","","","",""
"        Under 35 years","42,407","±3,056","11.3%","±0.8","13,174","±1,881","5.7%","±0.8","29,233","±2,743","20.6%","±1.8"
"        35 to 44 years","67,088","±2,622","17.9%","±0.7","39,257","±2,700","16.9%","±1.0","27,831","±3,075","19.6%","±2.0"
"        45 to 54 years","74,473","±2,537","19.9%","±0.7","45,041","±2,717","19.4%","±1.1","29,432","±3,015","20.7%","±2.0"
"        55 to 64 years","79,928","±2,333","21.4%","±0.7","53,658","±2,617","23.1%","±1.0","26,270","±2,894","18.5%","±1.9"
"        65 to 74 years","60,567","±2,167","16.2%","±0.6","44,370","±2,418","19.1%","±1.0","16,197","±2,132","11.4%","±1.5"
"        75 to 84 years","35,130","±2,258","9.4%","±0.6","27,158","±1,947","11.7%","±0.8","7,972","±1,320","5.6%","±0.9"
"        85 years and over","14,419","±1,787","3.9%","±0.5","9,321","±1,256","4.0%","±0.5","5,098","±1,319","3.6%","±0.9"
"    EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","","","","","","","","","","","",""
"        Less than high school graduate","32,174","±3,124","8.6%","±0.8","10,942","±1,877","4.7%","±0.8","21,232","±2,698","14.9%","±1.9"
"        High school graduate (includes equivalency)","62,758","±4,012","16.8%","±1.1","29,968","±3,090","12.9%","±1.3","32,790","±3,021","23.1%","±2.1"
"        Some college or associate's degree","65,641","±4,584","17.6%","±1.2","37,316","±3,433","16.1%","±1.4","28,325","±3,585","19.9%","±2.3"
"        Bachelor's degree or higher","213,439","±5,958","57.1%","±1.5","153,753","±5,191","66.3%","±1.6","59,686","±4,416","42.0%","±2.6"
"    YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","",""
"        Moved in 2021 or later","74,446","±5,238","19.9%","±1.3","29,506","±3,300","12.7%","±1.3","44,940","±3,887","31.6%","±2.6"
"        Moved in 2018 to 2020","60,074","±4,003","16.1%","±1.1","28,424","±2,708","12.3%","±1.1","31,650","±3,521","22.3%","±2.4"
"        Moved in 2010 to 2017","88,920","±5,112","23.8%","±1.4","52,026","±3,232","22.4%","±1.3","36,894","±4,162","26.0%","±2.5"
"        Moved in 2000 to 2009","65,719","±4,844","17.6%","±1.3","49,112","±3,678","21.2%","±1.5","16,607","±2,563","11.7%","±1.8"
"        Moved in 1990 to 1999","41,906","±3,405","11.2%","±0.9","35,068","±2,998","15.1%","±1.3","6,838","±1,699","4.8%","±1.2"
"        Moved in 1989 or earlier","42,947","±2,957","11.5%","±0.8","37,843","±2,771","16.3%","±1.1","5,104","±1,423","3.6%","±1.0"
