"Label (Grouping)","Westchester County, New York"
"Total:","1,004,457"
"    Population of one race:","894,667"
"        White alone","533,150"
"        Black or African American alone","141,094"
"        American Indian and Alaska Native alone","7,466"
"        Asian alone","65,707"
"        Native Hawaiian and Other Pacific Islander alone","339"
"        Some Other Race alone","146,911"
"    Population of two or more races:","109,790"
"        Population of two races:","102,825"
"            White; Black or African American","7,744"
"            White; American Indian and Alaska Native","2,572"
"            White; Asian","9,165"
"            White; Native Hawaiian and Other Pacific Islander","150"
"            White; Some Other Race","66,979"
"            Black or African American; American Indian and Alaska Native","1,311"
"            Black or African American; Asian","985"
"            Black or African American; Native Hawaiian and Other Pacific Islander","132"
"            Black or African American; Some Other Race","9,980"
"            American Indian and Alaska Native; Asian","166"
"            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","23"
"            American Indian and Alaska Native; Some Other Race","2,168"
"            Asian; Native Hawaiian and Other Pacific Islander","180"
"            Asian; Some Other Race","927"
"            Native Hawaiian and Other Pacific Islander; Some Other Race","343"
"        Population of three races:","5,947"
"            White; Black or African American; American Indian and Alaska Native","1,085"
"            White; Black or African American; Asian","430"
"            White; Black or African American; Native Hawaiian and Other Pacific Islander","38"
"            White; Black or African American; Some Other Race","2,030"
"            White; American Indian and Alaska Native; Asian","93"
"            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","4"
"            White; American Indian and Alaska Native; Some Other Race","1,198"
"            White; Asian; Native Hawaiian and Other Pacific Islander","72"
"            White; Asian; Some Other Race","564"
"            White; Native Hawaiian and Other Pacific Islander; Some Other Race","23"
"            Black or African American; American Indian and Alaska Native; Asian","27"
"            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","8"
"            Black or African American; American Indian and Alaska Native; Some Other Race","185"
"            Black or African American; Asian; Native Hawaiian and Other Pacific Islander","10"
"            Black or African American; Asian; Some Other Race","119"
"            Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","20"
"            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","9"
"            American Indian and Alaska Native; Asian; Some Other Race","20"
"            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","1"
"            Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","11"
"        Population of four races:","981"
"            White; Black or African American; American Indian and Alaska Native; Asian","97"
"            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","5"
"            White; Black or African American; American Indian and Alaska Native; Some Other Race","689"
"            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander","7"
"            White; Black or African American; Asian; Some Other Race","100"
"            White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","4"
"            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","9"
"            White; American Indian and Alaska Native; Asian; Some Other Race","33"
"            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","8"
"            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","8"
"            Black or African American; American Indian and Alaska Native; Asian; Some Other Race","7"
"            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","3"
"            Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","7"
"            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","4"
"        Population of five races:","36"
"            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","11"
"            White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race","25"
"            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"        Population of six races:","1"
"            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","1"
