Region,Site ID,Monitor Type,County,Site Name,Air Quality System ID,Latitude,Longitude,Ozone,SO2,NOX,CO,PM-2.5,CPM-2.5,PM-10,CPM-10,Lead,Speciation,Continuous Speciation,Metals,Toxics,Carbonyls,Acid Rain,PAMS,Mercury,Location,Georeference
1,2950-10,C,Nassau,Eisenhower Park,360590005,40.74316,-73.58549,,Y,,,,Y,,,,,,,,,,,,"(40.74316, -73.58549)",POINT (-73.58549 40.74316)
8,2701-23,C,Monroe,Rochester Near Road,360550015,43.14501268,-77.55728026,,,Y,Y,Y,Y,,,,,,,,Y,,,,"(43.14501268, -77.55728026)",POINT (-77.55728026 43.14501268)
1,5155-01,C,Suffolk,Riverhead,361030004,40.96078,-72.71238,Y,,,,,,,,,,,,,,,,,"(40.96078, -72.71238)",POINT (-72.71238 40.96078)
2,7096-13,C,Queens,Maspeth Library,360810120,40.72698,-73.89313,,,,,,Y,,,,,,,,,,,,"(40.72698, -73.89313)",POINT (-73.89313 40.72698)
2,7095-43,M,Kings,JHS #126,360470122,40.71961,-73.94771,,,,,Y,,,,,,,,,,,,,"(40.71961, -73.94771)",POINT (-73.94771 40.71961)
9,1472-14,MC,Erie,Brookside,360291014,42.99813,-78.89926,,Y,,,,Y,,,,,,,Y,Y,,,,"(42.99813, -78.89926)",POINT (-78.89926 42.99813)
8,5863-01,C,Wayne,Williamson,361173001,43.23086,-77.17136,Y,,,,,,,,,,,,,,,,,"(43.23086, -77.17136)",POINT (-77.17136 43.23086)
7,3353-09,MC,Onondaga,E. Syracuse,360671015,43.05235,-76.05921,Y,Y,,,Y,Y,,Y,,,,,,,,,,"(43.05235, -76.05921)",POINT (-76.05921 43.05235)
2,7095-98,MC,Kings,PS #274,360470118,40.69454,-73.92769,,,,,,Y,,,,,,,Y,,,,,"(40.69454, -73.92769)",POINT (-73.92769 40.69454)
7,3754-01,C,Oswego,Fulton,360750003,43.28428,-76.46324,Y,,,,,,,,,,,,,,,,,"(43.28428, -76.46324)",POINT (-76.46324 43.28428)
3,3527-01,C,Orange,Montgomery/Valley Central,360715001,41.52375,-74.21534,,,,,,,,,,,,,,,,,,"(41.52375, -74.21534)",POINT (-74.21534 41.52375)
6,3202-01,C,Oneida,Utica,360652001,43.09892,-75.22506,,,,,,Y,,,,,,,,,,,,"(43.09892, -75.22506)",POINT (-75.22506 43.09892)
2,7093-25,C,New York,CCNY,360610135,40.81976,-73.94825,Y,,,Y,,Y,,,,,,,,,,,,"(40.81976, -73.94825)",POINT (-73.94825 40.81976)
1,5150-02,MC,Suffolk,Babylon,361030002,40.74529,-73.41919,Y,,,,Y,,,,,,,,,,,,,"(40.74529, -73.41919)",POINT (-73.41919 40.74529)
4,0101-13,MC,Albany,Albany County Health Department,360010005,42.64225,-73.75464,,,,,Y,Y,,Y,,Y,,,,,,,,"(42.64225, -73.75464)",POINT (-73.75464 42.64225)
2,7096-15,MC,Queens,Queens College,360810124,40.73614,-73.82153,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,,Y,,"(40.73614, -73.82153)",POINT (-73.82153 40.73614)
4,0101-34,M,Albany,S Pearl St,360010013,42.640931,-73.756511,,,,,,,,,,,,,Y,Y,,,,"(42.640931, -73.756511)",POINT (-73.756511 42.640931)
1,5151-12,C,Suffolk,Flax Pond,361030044,40.961017,-73.139046,Y,,Y,Y,,,,,,,,,,,,Y,,"(40.961017, -73.139046)",POINT (-73.139046 40.961017)
6,4402-08,C,St. Lawrence,Alcoa West,360890004,44.955468,-74.9078,,Y,,,,,,,,,,,,,,,,"(44.955468, -74.9078)",POINT (-74.9078 44.955468)
9,1401-18,MC,Erie,Buffalo,360290005,42.87690667,-78.80952601,,Y,Y,Y,Y,Y,Y,,,Y,,,Y,,,,,"(42.87690667, -78.80952601)",POINT (-78.80952601 42.87690667)
9,0601-04,MC,Chautauqua,Dunkirk,360130006,42.49963,-79.31881,Y,Y,,,Y,,,,,,,,,,,,,"(42.49963, -79.31881)",POINT (-79.31881 42.49963)
8,2701-22,MC,Monroe,Rochester,360551007,43.14618,-77.54817,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,,Y,"(43.14618, -77.54817)",POINT (-77.54817 43.14618)
2,7093-08,M,New York,JHS #45/River East Elementary,360610079,40.7997,-73.93432,,,,,Y,,,,,,,,,,,,,"(40.7997, -73.93432)",POINT (-73.93432 40.7997)
5,4567-01,C,Saratoga,Stillwater,360910004,43.01209,-73.6489,Y,,,,,,,,,,,,,,,,,"(43.01209, -73.6489)",POINT (-73.6489 43.01209)
2,7097-17,MC,Richmond,Fresh Kills,360850111,40.58027,-74.19832,Y,,,,,Y,,,,,,,Y,Y,,,,"(40.58027, -74.19832)",POINT (-74.19832 40.58027)
2,7093-21,M,New York,PS #19,360610128,40.73,-73.984,,,,,Y,,,,,,,,,,,,,"(40.73, -73.984)",POINT (-73.984 40.73)
2,7095-07,C,Kings,PS #314,360470052,40.64182,-74.01871,,,,,,Y,,,,,,,,,,,,"(40.64182, -74.01871)",POINT (-74.01871 40.64182)
2,7094-05,C,Bronx,Morrisania II,360050080,40.83606,-73.92009,,,,,,Y,,,,,,,,,,,,"(40.83606, -73.92009)",POINT (-73.92009 40.83606)
3,3566-09,M,Orange,Wallkill-Wakefern,360713002,41.45869,-74.35404,,,,,,,,,Y,,,,,,,,,"(41.45869, -74.35404)",POINT (-74.35404 41.45869)
2,7097-03,MC,Richmond,Port Richmond,360850055,40.63307,-74.13719,,,,,Y,Y,,,,,,,,,,,,"(40.63307, -74.13719)",POINT (-74.13719 40.63307)
6,4402-07,C,St. Lawrence,Alcoa East,360890005,44.965412,-74.875,,Y,,,,,,,,,,,,,,,,"(44.965412, -74.875)",POINT (-74.875 44.965412)
4,0101-33,MC,Albany,Loudonville,360010012,42.68075,-73.75733,Y,Y,,,Y,,,,,,,,,,,,,"(42.68075, -73.75733)",POINT (-73.75733 42.68075)
6,2223-01,C,Jefferson,Perch River,360450002,44.08747,-75.97316,Y,,,,,,,,,,,,,,,,,"(44.08747, -75.97316)",POINT (-75.97316 44.08747)
2,7093-24,MC,New York,Division St,360610134,40.71436,-73.99518,,,,,Y,Y,Y,,,Y,,,,,,,,"(40.71436, -73.99518)",POINT (-73.99518 40.71436)
9,1451-03,MC,Erie,Amherst,360290002,42.99328,-78.77153,Y,,,,Y,,,,,,,,,,Y,,,"(42.99328, -78.77153)",POINT (-78.77153 42.99328)
2,7094-08,C,Bronx,IS #74 - The Hunts Point School,360050112,40.81551,-73.88553,,,,,,Y,,,,,,,,,,,,"(40.81551, -73.88553)",POINT (-73.88553 40.81551)
9,1455-02,C,Erie,Buffalo Near Road,360290023,42.92110728,-78.76582533,,,Y,Y,Y,Y,,,,,Y,,,Y,,,,"(42.92110728, -78.76582533)",POINT (-78.76582533 42.92110728)
3,3951-01,C,Putnam,Mt. Ninham,360790005,41.45589,-73.70977,Y,Y,,,,,,,,,,,,,,,,"(41.45589, -73.70977)",POINT (-73.70977 41.45589)
2,7094-07,MC,Bronx,IS #52- MS 302,360050110,40.816,-73.902,Y,Y,Y,,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,,"(40.816, -73.902)",POINT (-73.902 40.816)
2,7093-15,C,New York,IS #143,360610115,40.84955,-73.935649,,,,,,Y,,,,,,,,,,,,"(40.84955, -73.935649)",POINT (-73.935649 40.84955)
3,1328-01,C,Dutchess,Millbrook,360270007,41.78555,-73.74136,Y,Y,,,,,,,,,,,,,,,,"(41.78555, -73.74136)",POINT (-73.74136 41.78555)
9,3120-02,C,Niagara,Middleport,360631006,43.22386,-78.47888,Y,,,,,,,,,,,,,,,,,"(43.22386, -78.47888)",POINT (-78.47888 43.22386)
2,7096-16,C,Queens,Queens College Near Road,360810125,40.739264,-73.817694,,,Y,Y,Y,Y,,,,,,,,,,,,"(40.739264, -73.817694)",POINT (-73.817694 40.739264)
5,1567-04,MC,Essex,Whiteface Base,360310003,44.39308,-73.8589,Y,Y,,,Y,Y,,,,Y,Y,,Y,Y,,,,"(44.39308, -73.8589)",POINT (-73.8589 44.39308)
5,1567-03,C,Essex,Whiteface Summit,360310002,44.36608,-73.90312,Y,,,,,,,,,,,,,,,,,"(44.36608, -73.90312)",POINT (-73.90312 44.36608)
9,3102-26,M,Niagara,Packard Court Community Center,360637001,43.09637282,-79.01144686,,,,,,,,,,,,,Y,Y,,,,"(43.09637282, -79.01144686)",POINT (-79.01144686 43.09637282)
2,7094-10,MC,Bronx,Pfizer Lab-NYBG,360050133,40.8679,-73.87809,Y,Y,Y,Y,Y,,,,,,,,Y,Y,Y,Y,Y,"(40.8679, -73.87809)",POINT (-73.87809 40.8679)
8,5001-04,M,Steuben,Pinnacle,361010003,42.09142,-77.20978,Y,Y,Y,Y,Y,Y,,,,Y,Y,,Y,,,,,"(42.09142, -77.20978)",POINT (-77.20978 42.09142)
3,3502-04,MC,Orange,Newburgh PSB,360710002,41.49916,-74.00885,,,,,Y,Y,,,,,,,,,,,,"(41.49916, -74.00885)",POINT (-74.00885 41.49916)
5,2050-01,MC,Hamilton,Piseco Lake,360410005,43.44957,-74.51625,Y,Y,,,,,,,,,,,,,Y,,,"(43.44957, -74.51625)",POINT (-74.51625 43.44957)
