Site LOC ID,Name,Description,Municipality,County,DEC Region,Basin,Latitude,Longitude,HUC 8,Last Year Sampled,Georeference
01-HYCK-1.6,Hyde Creek,cr 121.,Dunkirk,Chautauqua,9,1,42.4825,-79.305,4120101,2020,POINT (-79.305 42.4825)
01-SILV-6.7,Silver Creek,king rd.,Hanover,Chautauqua,9,1,42.503399,-79.103798,4120101,2015,POINT (-79.103798 42.503399)
03-FORM-0.9,Fourmile Creek,lake rd.,Webster,Monroe,8,3,43.2658,-77.41844,4140101,2015,POINT (-77.41844 43.2658)
03-CHMO-11.4,Chaumont River,zang rd. bridge.,Clayton,Jefferson,6,3,44.175,-76.01555,4150102,2020,POINT (-76.01555 44.175)
06-KELS-0.3,Kelsey Brook,20 m above rt. 7 bridge.,Afton,Chenango,7,6,42.2316,-75.5219,2050101,1997,POINT (-75.5219 42.2316)
06-OTSL-46.0,Otselic River,30 m below lebanon rd. bridge.,Georgetown,Madison,7,6,42.79021,-75.71546,2050102,2013,POINT (-75.71546 42.79021)
07-BLKO-7.7,Black Creek,sr 176.,Volney,Oswego,7,7,43.405335,-76.400899,4140203,2015,POINT (-76.400899 43.405335)
07-GLNK_T19-0.1,Unnamed Tributary To Glen Creek,50 meters west of love rd. where stream runs parallel to rd.,Reading,Schuyler,8,7,42.3934,-76.97059,4140201,2011,POINT (-76.97059 42.3934)
11-FLYG-0.2,Fly Creek,rte 372; 40 m above.,Easton,Washington,5,11,43.08278,-73.49499,2020003,2016,POINT (-73.49499 43.08278)
12-STLE-5.4,Steele Creek,sr 51.,Litchfield,Herkimer,6,12,42.969163,-75.100742,2020004,2016,POINT (-75.100742 42.969163)
13-MILU-2.7,Mill Brook,20 m upstream of cr 343.,Washington,Dutchess,3,13,41.77541,-73.65602,2020008,2007,POINT (-73.65602 41.77541)
14-GBUR-0.8,Glen Burnie,glen burnie rd.,Delhi,Delaware,4,14,42.2663,-74.85619,2040101,2011,POINT (-74.85619 42.2663)
14-LDEER-0.0,Deer Lake,n/a,Sanford,Broome,7,14,42.05943,-75.55326,2040101,2010,POINT (-75.55326 42.05943)
09-RAQU-3.2,Raquette River,below cr 45/128 bridge.,Massena,St. Lawrence,6,9,44.97861,-74.73306,4150305,2019,POINT (-74.73306 44.97861)
03-XEMIL-3.5,Eighteenmile Creek,for eighteenmile creek benthos aoc assessment.,Newfane,Niagara,9,3,43.29416,-78.71191,4130001,2014,POINT (-78.71191 43.29416)
04-WCOY_N-0.2,North Branch Wiscoy Creek,at e. main st.,Eagle,Wyoming,8,4,42.580605,-78.253318,4130002,2014,POINT (-78.253318 42.580605)
01-CROW-0.4,Crow Creek,10 m upstream of exchange rd. bridge.,Attica,Wyoming,9,1,42.84372,-78.27525,4120104,2015,POINT (-78.27525 42.84372)
09-SDSH-2.7,Standish Brook,unmaintained rd. off standish rd. next to empty white building; drive in third of mile to above dammed pool on standish brook.,Saranac,Clinton,5,9,44.688938,-73.941967,4150308,2019,POINT (-73.941967 44.688938)
12-MOHK_T103-0.5,Unnamed Tributary To Mohawk River,750 ft south off sr 5s.,Canajoharie,Montgomery,4,12,42.889198,-74.5243,2020004,2015,POINT (-74.5243 42.889198)
06-PAYN-1.9,Payne Brook,300 m below stp discharge.,Hamilton,Madison,7,6,42.8125,-75.55222,2050102,2013,POINT (-75.55222 42.8125)
07-PTRK-0.6,Point Rock Creek,cr 67 15 m above bridge.,Lee,Oneida,6,7,43.38111,-75.54723,4140202,2006,POINT (-75.54723 43.38111)
05-SEEL-9.5,Seeley Creek,200 m below rt. 328 bridge.,Southport,Chemung,8,5,42.01472,-76.89332,2050105,2012,POINT (-76.89332 42.01472)
12-BEVB-0.3,Beaver Brook,5 m above cr 231.,Herkimer,Herkimer,6,12,43.02278,-74.92222,2020004,2005,POINT (-74.92222 43.02278)
11-HOOS-7.5,Hoosic River,knickerbocker rd.,Schaghticoke,Rensselaer,4,11,42.89333,-73.58406,2020003,1986,POINT (-73.58406 42.89333)
14-BAXT-0.3,Baxter Brook,rte 30 bridge; 30 m upstream.,Hancock,Delaware,4,14,42.025,-75.115,2040102,1999,POINT (-75.115 42.025)
15-RAMA-13.3,Ramapo River,0.2 mi south of arden bridge; end of water st.,Tuxedo,Orange,3,15,41.27361,-74.15334,2030103,2020,POINT (-74.15334 41.27361)
07-LEY_S-1.6,South Branch Ley Creek,route 635 bridge.,De Witt,Onondaga,7,7,43.075459,-76.08913,4140201,2016,POINT (-76.08913 43.075459)
07-DUBL-3.3,Dublin Brook,At Reisdorph road crossing.,Junius,Seneca,8,7,42.982695,-76.914066,4140201,2021,POINT (-76.914066 42.982695)
15-RING-0.2,Ringwood River,10 m below long meadow rd. bridge.,Tuxedo,Orange,3,15,41.15235,-74.24035,2030103,2007,POINT (-74.24035 41.15235)
10-SABL_E_T18-0.1,Unnamed Tributary To East Branch Ausable River,upstream of sr 9n.,Jay,Essex,5,10,44.320855,-73.77846,4150404,2018,POINT (-73.77846 44.320855)
04-OATK-4.2,Oatka Creek,30 m above union st bridge;dec fishing access area.,Wheatland,Monroe,8,4,43.01026,-77.79209,4130003,2019,POINT (-77.79209 43.01026)
14-ELK-0.1,Elk Creek,rte 10 bridge; 30 m downstream.,Delhi,Delaware,4,14,42.2993,-74.89289,2040101,2004,POINT (-74.89289 42.2993)
08-FELT-0.3,Felts Mills Creek,50 m above rte 3 bridge.,Rutland,Jefferson,6,8,44.01917,-75.76138,4150101,2017,POINT (-75.76138 44.01917)
06-PLES-1.2,Pleasant Brook,50 m above co.rt. 80 bridge.,Sherburne,Chenango,7,6,42.69361,-75.5475,2050102,2008,POINT (-75.5475 42.69361)
07-SMIL-0.2,Sawmill Creek,peach orchard point rd; 100 m above.,Hector,Schuyler,8,7,42.49805,-76.88695,4140201,2006,POINT (-76.88695 42.49805)
09-HOLL-0.4,Big Hollow Brook,10 m above converse st bridge.,Hopkinton,St. Lawrence,6,9,44.70417,-74.72527,4150306,2004,POINT (-74.72527 44.70417)
14-DELA-70.1,Delaware River,100 yds upstream from buckingham public access site.,Hancock,Delaware,4,14,41.86767,-75.23599,2040101,1981,POINT (-75.23599 41.86767)
06-USSQ_T118-1.0,Unnamed Tributary To Susquehanna River,80 m downstream of hartz rd. bridge.,Colesville,Broome,7,6,42.123043,-75.58313,2050101,2013,POINT (-75.58313 42.123043)
03-WCAN-66.1,Western Barge Canal,below elm grove rd. bridge.,Greece,Monroe,8,3,43.18875,-77.73191,4130001,1981,POINT (-77.73191 43.18875)
14-BEAV-3.2,Beaver Kill,0.5 mi. below rt. 17 bridge.,Hancock,Delaware,4,14,41.98306,-75.075,2040102,1993,POINT (-75.075 41.98306)
11-HANC-3.1,Hans Creek,30 m above sleezer rd. bridge.,Providence,Saratoga,5,11,43.12305,-74.09028,2020002,2006,POINT (-74.09028 43.12305)
14-STEL-1.6,Steele Brook,franklin st bridge near spring valley rd; below confluence on steele brook main stem.,Delhi,Delaware,4,14,42.290683,-74.931473,2040101,2019,POINT (-74.931473 42.290683)
05-NEWT_T30-0.4,Unnamed Tributary To Newtown Creek,40 m below swartwood hill rd.,Erin,Chemung,8,5,42.201117,-76.663515,2050105,2017,POINT (-76.663515 42.201117)
07-CAYG-4.1,Cayuga Lake Inlet,rte 34 bridge; 200 m upstream.,Newfield,Tompkins,7,7,42.38472,-76.55583,4140201,2016,POINT (-76.55583 42.38472)
02-LVAL-5.7,Little Valley Creek,at bridge on sr 353.,Little Valley,Cattaraugus,9,2,42.227,-78.763,5010001,2021,POINT (-78.763 42.227)
11-TWNS-1.1,Towns Brook,at kk tour rd. bridge.,Lake Luzerne,Warren,5,11,43.32997,-73.83,2020001,2006,POINT (-73.83 43.32997)
06-SUSQ-36.9,Lower Susquehanna River,0.1 miles above johnson city stp.,Vestal,Broome,7,6,42.09885,-75.97984,2050103,2022,POINT (-75.97984 42.09885)
01-MURD_T4-1.2,Unnamed Tributary To Murder Creek,culvert under farm rd. off gabbey rd.,Pembroke,Genesee,8,1,43.0082,-78.42299,4120104,2010,POINT (-78.42299 43.0082)
12-CLDB-0.1,Cold Creek,mill st.,Russia,Herkimer,6,12,43.22472,-75.06333,2020004,2015,POINT (-75.06333 43.22472)
08-BEEV_T16-1.5,Unnamed Tributary To Beaver River,450 meters off fish creek rd.,Watson,Lewis,6,8,43.92107,-75.18084,4150101,2022,POINT (-75.18084 43.92107)
06-GEEB-2.2,Gee Brook,5 m below rtes 26/41 bridge.,Cincinnatus,Cortland,7,6,42.50917,-75.91732,2050102,2018,POINT (-75.91732 42.50917)
06-DILA-52.9,Unadilla River,0.3 miles from an unimproved rd.,Plainfield,Otsego,4,6,42.8656,-75.21685,2050101,2009,POINT (-75.21685 42.8656)
10-CARN-1.2,Carney Brook,40 m below lamountain rd. bridge.,Chesterfield,Essex,5,10,44.45468,-73.56276,4150404,2008,POINT (-73.56276 44.45468)
10-CLIF-0.1,Clifford Brook,off sr 9n. just above confluence with east branch ausable river.,Keene,Essex,5,10,44.284907,-73.78886,4150404,2018,POINT (-73.78886 44.284907)
12-ORSK-20.6,Oriskany Creek,just off jasek rd.,Marshall,Oneida,6,12,42.93911,-75.45644,2020004,2010,POINT (-75.45644 42.93911)
14-THOH-4.3,Thompson Hollow,north off bill dougherty rd.,Roxbury,Delaware,4,14,42.26294,-74.67198,2040102,2011,POINT (-74.67198 42.26294)
13-GILD-0.8,Guildersleeve Brook,midway between discharge and route 52 bridge.,East Fishkill,Dutchess,3,13,41.54222,-73.8325,2020008,1989,POINT (-73.8325 41.54222)
04-HONY_T36-0.9,Unnamed Tributary To Honeoye Creek,500 m upstream of cr 15.,Richmond,Ontario,8,4,42.830186,-77.519034,4130003,2019,POINT (-77.519034 42.830186)
14-LBEV-0.1,Melbern Lake Outlet,5 m below main st. bridge; little beaver kill tributary.,Liberty,Sullivan,3,14,41.85528,-74.75999,2040102,1994,POINT (-74.75999 41.85528)
10-GULB-0.6,Gulf Brook,just off hurricane rd.,Keene,Essex,5,10,44.25714,-73.78291,4150404,2018,POINT (-73.78291 44.25714)
01-HUNE-0.5,Hunter Creek,hunter creek rd. bridge.,Wales,Erie,9,1,42.7592,-78.53155,4120103,2000,POINT (-78.53155 42.7592)
10-GCHZ_N-15.4,North Branch Great Chazy River,10 m above rt. 54 bridge.,Ellenburg,Clinton,5,10,44.89139,-73.84138,4150408,2008,POINT (-73.84138 44.89139)
12-MOHK-17.1,Mohawk River,Approximately 2.9 miles above lock 7.,Clifton Park,Saratoga,4,12,42.838248,-73.877313,2020004,2021,POINT (-73.877313 42.838248)
09-LBONA-0.0,Lake Bonaparte,n/a,Diana,Lewis,6,9,44.15211,-75.40435,4150303,2016,POINT (-75.40435 44.15211)
09-LTTL-2.0,Little River,10 m below oswegatchie trail rd. bridge.,Fine,St. Lawrence,6,9,44.19305,-75.06889,4150302,1997,POINT (-75.06889 44.19305)
07-BVRK-0.3,Beaver Creek,mertensia rd.,Farmington,Ontario,8,7,42.97139,-77.36472,4140201,2006,POINT (-77.36472 42.97139)
09-COLN-5.1,Collins Brook,kay rd. 30 m below culvert.,Bellmont,Franklin,5,9,44.85275,-74.16337,4150308,2009,POINT (-74.16337 44.85275)
07-ONON-1.0,Onondaga Creek,west kirkpatrick st. bridge.,Syracuse,Onondaga,7,7,43.05778,-76.16345,4140201,2021,POINT (-76.16345 43.05778)
11-XIR-1.2,Indian River,above mouth near indian lake.,Minerva,Essex,5,11,43.81306,-74.21028,2020001,2006,POINT (-74.21028 43.81306)
09-GRFD-0.3,Garfield Brook,Off rt 56,Potsdam,St Lawrence,6,9,44.649008,-74.967976,4150305,2022,POINT (-74.967976 44.649008)
17-CARM-3.7,Carmans River,green buoy 3. opposite mouth of big fish creek.,Brookhaven,Suffolk,1,17,40.76639,-72.89167,2030202,1989,POINT (-72.89167 40.76639)
13-SAW-4.8,Saw Mill River,South County Trail Boat Access at Farragut Avenue,Greenburgh,Westchester,3,13,40.98295,-73.86567,2030101,2022,POINT (-73.86567 40.98295)
14-NEVR_T20-0.3,Unnamed Tributary To Lower Neversink River,200 m west of kennel rd.,Deerpark,Orange,3,14,41.4919,-74.6217,2040104,2019,POINT (-74.6217 41.4919)
07-VIRG-4.9,Virgil Creek,below lake rd. bridge.,Dryden,Tompkins,7,7,42.48472,-76.2925,4140201,2005,POINT (-76.2925 42.48472)
13-KROM-2.1,Kroma Kill,grenada terrace; 50 m above spring st. bridge.,Colonie,Albany,4,13,42.71528,-73.72194,2020006,1999,POINT (-73.72194 42.71528)
