YearID,sourceTypeID,salesGrowthFactor,sourceTypePopulation,migrationrate,FIP
2019,11,0,6412,0,36001
2019,21,0,90850,0,36001
2019,31,0,104535,0,36001
2019,32,0,19272,0,36001
2019,41,0,116,0,36001
2019,42,0,336,0,36001
2019,43,0,771,0,36001
2019,51,0,141,0,36001
2019,52,0,9338,0,36001
2019,53,0,412,0,36001
2019,54,0,362,0,36001
2019,61,0,354,0,36001
2019,62,0,731,0,36001
2019,11,0,1736,0,36003
2019,21,0,9269,0,36003
2019,31,0,21822,0,36003
2019,32,0,1124,0,36003
2019,41,0,51,0,36003
2019,42,0,1,0,36003
2019,43,0,198,0,36003
2019,51,0,31,0,36003
2019,52,0,1274,0,36003
2019,53,0,57,0,36003
2019,54,0,251,0,36003
2019,61,0,55,0,36003
2019,62,0,156,0,36003
2019,11,0,4670,0,36005
2019,21,0,120282,0,36005
2019,31,0,145616,0,36005
2019,32,0,11135,0,36005
2019,41,0,203,0,36005
2019,42,0,5429,0,36005
2019,43,0,507,0,36005
2019,51,0,178,0,36005
2019,52,0,4068,0,36005
2019,53,0,180,0,36005
2019,54,0,101,0,36005
2019,61,0,188,0,36005
2019,62,0,267,0,36005
2019,11,0,5130,0,36007
2019,21,0,56574,0,36007
2019,31,0,73276,0,36007
2019,32,0,5812,0,36007
2019,41,0,53,0,36007
2019,42,0,82,0,36007
2019,43,0,544,0,36007
2019,51,0,103,0,36007
2019,52,0,3879,0,36007
2019,53,0,171,0,36007
2019,54,0,566,0,36007
2019,61,0,488,0,36007
2019,62,0,982,0,36007
2019,11,0,3184,0,36009
2019,21,0,15549,0,36009
2019,31,0,37095,0,36009
2019,32,0,2247,0,36009
2019,41,0,12,0,36009
2019,42,0,2,0,36009
2019,43,0,257,0,36009
2019,51,0,54,0,36009
2019,52,0,2007,0,36009
2019,53,0,89,0,36009
2019,54,0,410,0,36009
2019,61,0,107,0,36009
2019,62,0,254,0,36009
2019,11,0,2820,0,36011
2019,21,0,18036,0,36011
2019,31,0,34889,0,36011
2019,32,0,2006,0,36011
2019,41,0,17,0,36011
2019,42,0,2,0,36011
2019,43,0,186,0,36011
2019,51,0,43,0,36011
2019,52,0,1997,0,36011
2019,53,0,88,0,36011
2019,54,0,234,0,36011
2019,61,0,109,0,36011
2019,62,0,221,0,36011
2019,11,0,4636,0,36013
2019,21,0,28389,0,36013
2019,31,0,57623,0,36013
2019,32,0,3245,0,36013
2019,41,0,48,0,36013
2019,42,0,50,0,36013
2019,43,0,387,0,36013
2019,51,0,76,0,36013
2019,52,0,2754,0,36013
2019,53,0,122,0,36013
2019,54,0,527,0,36013
2019,61,0,209,0,36013
2019,62,0,479,0,36013
2019,11,0,2530,0,36015
2019,21,0,23249,0,36015
2019,31,0,35007,0,36015
2019,32,0,2257,0,36015
2019,41,0,74,0,36015
2019,42,0,0,0,36015
2019,43,0,195,0,36015
2019,51,0,44,0,36015
2019,52,0,1367,0,36015
2019,53,0,61,0,36015
2019,54,0,464,0,36015
2019,61,0,105,0,36015
2019,62,0,294,0,36015
2019,11,0,2165,0,36017
2019,21,0,12283,0,36017
2019,31,0,24790,0,36017
2019,32,0,1128,0,36017
2019,41,0,31,0,36017
2019,42,0,0,0,36017
2019,43,0,192,0,36017
2019,51,0,36,0,36017
2019,52,0,1345,0,36017
2019,53,0,60,0,36017
2019,54,0,239,0,36017
2019,61,0,53,0,36017
2019,62,0,111,0,36017
2019,11,0,3224,0,36019
2019,21,0,20990,0,36019
2019,31,0,36199,0,36019
2019,32,0,2287,0,36019
2019,41,0,15,0,36019
2019,42,0,13,0,36019
2019,43,0,323,0,36019
2019,51,0,56,0,36019
2019,52,0,2053,0,36019
2019,53,0,91,0,36019
2019,54,0,377,0,36019
2019,61,0,100,0,36019
2019,62,0,230,0,36019
2019,11,0,2346,0,36021
2019,21,0,18319,0,36021
2019,31,0,30564,0,36021
2019,32,0,2392,0,36021
2019,41,0,14,0,36021
2019,42,0,3,0,36021
2019,43,0,187,0,36021
2019,51,0,39,0,36021
2019,52,0,2136,0,36021
2019,53,0,95,0,36021
2019,54,0,170,0,36021
2019,61,0,84,0,36021
2019,62,0,177,0,36021
2019,11,0,1833,0,36023
2019,21,0,10632,0,36023
2019,31,0,19554,0,36023
2019,32,0,1417,0,36023
2019,41,0,12,0,36023
2019,42,0,4,0,36023
2019,43,0,137,0,36023
2019,51,0,31,0,36023
2019,52,0,1071,0,36023
2019,53,0,48,0,36023
2019,54,0,163,0,36023
2019,61,0,115,0,36023
2019,62,0,235,0,36023
2019,11,0,1816,0,36025
2019,21,0,11154,0,36025
2019,31,0,23957,0,36025
2019,32,0,1436,0,36025
2019,41,0,20,0,36025
2019,42,0,3,0,36025
2019,43,0,184,0,36025
2019,51,0,40,0,36025
2019,52,0,1573,0,36025
2019,53,0,70,0,36025
2019,54,0,190,0,36025
2019,61,0,87,0,36025
2019,62,0,179,0,36025
2019,11,0,7631,0,36027
2019,21,0,97512,0,36027
2019,31,0,121231,0,36027
2019,32,0,8794,0,36027
2019,41,0,41,0,36027
2019,42,0,81,0,36027
2019,43,0,1190,0,36027
2019,51,0,138,0,36027
2019,52,0,5354,0,36027
2019,53,0,236,0,36027
2019,54,0,628,0,36027
2019,61,0,217,0,36027
2019,62,0,483,0,36027
2019,11,0,19667,0,36029
2019,21,0,249721,0,36029
2019,31,0,372021,0,36029
2019,32,0,37560,0,36029
2019,41,0,301,0,36029
2019,42,0,474,0,36029
2019,43,0,2584,0,36029
2019,51,0,322,0,36029
2019,52,0,12047,0,36029
2019,53,0,531,0,36029
2019,54,0,2342,0,36029
2019,61,0,600,0,36029
2019,62,0,1340,0,36029
2019,11,0,1502,0,36031
2019,21,0,8121,0,36031
2019,31,0,19136,0,36031
2019,32,0,1519,0,36031
2019,41,0,7,0,36031
2019,42,0,25,0,36031
2019,43,0,137,0,36031
2019,51,0,41,0,36031
2019,52,0,1121,0,36031
2019,53,0,50,0,36031
2019,54,0,236,0,36031
2019,61,0,93,0,36031
2019,62,0,195,0,36031
2019,11,0,1728,0,36033
2019,21,0,9720,0,36033
2019,31,0,23633,0,36033
2019,32,0,1336,0,36033
2019,41,0,11,0,36033
2019,42,0,9,0,36033
2019,43,0,160,0,36033
2019,51,0,34,0,36033
2019,52,0,1293,0,36033
2019,53,0,57,0,36033
2019,54,0,214,0,36033
2019,61,0,38,0,36033
2019,62,0,86,0,36033
2019,11,0,2583,0,36035
2019,21,0,14193,0,36035
2019,31,0,23967,0,36035
2019,32,0,1399,0,36035
2019,41,0,7,0,36035
2019,42,0,14,0,36035
2019,43,0,127,0,36035
2019,51,0,29,0,36035
2019,52,0,944,0,36035
2019,53,0,42,0,36035
2019,54,0,263,0,36035
2019,61,0,20,0,36035
2019,62,0,55,0,36035
2019,11,0,2208,0,36037
2019,21,0,14376,0,36037
2019,31,0,27993,0,36037
2019,32,0,1952,0,36037
2019,41,0,29,0,36037
2019,42,0,1,0,36037
2019,43,0,264,0,36037
2019,51,0,56,0,36037
2019,52,0,1872,0,36037
2019,53,0,83,0,36037
2019,54,0,341,0,36037
2019,61,0,175,0,36037
2019,62,0,369,0,36037
2019,11,0,2543,0,36039
2019,21,0,14408,0,36039
2019,31,0,24516,0,36039
2019,32,0,1396,0,36039
2019,41,0,32,0,36039
2019,42,0,1,0,36039
2019,43,0,157,0,36039
2019,51,0,43,0,36039
2019,52,0,1516,0,36039
2019,53,0,67,0,36039
2019,54,0,217,0,36039
2019,61,0,154,0,36039
2019,62,0,313,0,36039
2019,11,0,319,0,36041
2019,21,0,1171,0,36041
2019,31,0,3237,0,36041
