sourceTypeID,roadTypeID,roadTypeVMTFraction,FIP
11,1,0,36001
11,2,0.001625606,36001
11,3,0.164641843,36001
11,4,0.28575563,36001
11,5,0.547976921,36001
11,1,0,36003
11,2,0.023565266,36003
11,3,0.906554492,36003
11,4,0,36003
11,5,0.069880242,36003
11,1,0,36005
11,2,0,36005
11,3,0,36005
11,4,0.223440561,36005
11,5,0.776559439,36005
11,1,0,36007
11,2,0.163080875,36007
11,3,0.260103674,36007
11,4,0.133245791,36007
11,5,0.443569659,36007
11,1,0,36009
11,2,0.032302057,36009
11,3,0.777342573,36009
11,4,0.018838902,36009
11,5,0.171516468,36009
11,1,0,36011
11,2,0.052075592,36011
11,3,0.723066214,36011
11,4,0.000225761,36011
11,5,0.224632432,36011
11,1,0,36013
11,2,0.05640923,36013
11,3,0.617698584,36013
11,4,0.029505981,36013
11,5,0.296386206,36013
11,1,0,36015
11,2,0.019024876,36015
11,3,0.233499171,36015
11,4,0.198169154,36015
11,5,0.549306799,36015
11,1,0,36017
11,2,0.047304348,36017
11,3,0.845217391,36017
11,4,0,36017
11,5,0.107478261,36017
11,1,0,36019
11,2,0.024802243,36019
11,3,0.675587572,36019
11,4,0.053787585,36019
11,5,0.2458226,36019
11,1,0,36021
11,2,0.047699547,36021
11,3,0.737530498,36021
11,4,0,36021
11,5,0.214769955,36021
11,1,0,36023
11,2,0.11184647,36023
11,3,0.527953527,36023
11,4,0.011650674,36023
11,5,0.348549329,36023
11,1,0,36025
11,2,0.079707738,36025
11,3,0.860843574,36025
11,4,0.013211973,36025
11,5,0.046236715,36025
11,1,0,36027
11,2,0.013243979,36027
11,3,0.360753003,36027
11,4,0.065555552,36027
11,5,0.560447466,36027
11,1,0,36029
11,2,0.010865776,36029
11,3,0.169663263,36029
11,4,0.106756869,36029
11,5,0.712714092,36029
11,1,0,36031
11,2,0.017597484,36031
11,3,0.957119384,36031
11,4,0,36031
11,5,0.025283132,36031
11,1,0,36033
11,2,0,36033
11,3,0.898933902,36033
11,4,0,36033
11,5,0.101066098,36033
11,1,0,36035
11,2,0,36035
11,3,0.76032611,36035
11,4,0,36035
11,5,0.23967389,36035
11,1,0,36037
11,2,0.073353097,36037
11,3,0.823805651,36037
11,4,0.013589737,36037
11,5,0.089251515,36037
11,1,0,36039
11,2,0.038042222,36039
11,3,0.840385446,36039
11,4,0.006541333,36039
11,5,0.115030998,36039
11,1,0,36041
11,2,0,36041
11,3,1,36041
11,4,0,36041
11,5,0,36041
11,1,0,36043
11,2,0.029421426,36043
11,3,0.638543475,36043
11,4,0.112589742,36043
11,5,0.219445357,36043
11,1,0,36045
11,2,0.034241177,36045
11,3,0.593795031,36045
11,4,0.067065258,36045
11,5,0.304898534,36045
11,1,0,36047
11,2,0,36047
11,3,0,36047
11,4,0.112327965,36047
11,5,0.887672035,36047
11,1,0,36049
11,2,0,36049
11,3,1,36049
11,4,0,36049
11,5,0,36049
11,1,0,36051
11,2,0.046609619,36051
11,3,0.88237761,36051
11,4,0.005591557,36051
11,5,0.065421214,36051
11,1,0,36053
11,2,0.028572814,36053
11,3,0.76005763,36053
11,4,0.054970631,36053
11,5,0.156398925,36053
11,1,0,36055
11,2,0.010485051,36055
11,3,0.099499033,36055
11,4,0.124837907,36055
11,5,0.765178009,36055
11,1,0,36057
11,2,0.096916434,36057
11,3,0.572128487,36057
11,4,0.047146605,36057
11,5,0.283808474,36057
11,1,0,36059
11,2,0,36059
11,3,0,36059
11,4,0.302755601,36059
11,5,0.697244399,36059
11,1,0,36061
11,2,0,36061
11,3,0,36061
11,4,0.152588277,36061
11,5,0.847411723,36061
11,1,0,36063
11,2,0,36063
11,3,0.276543097,36063
11,4,0.028222174,36063
11,5,0.695234729,36063
11,1,0,36065
11,2,0.016020986,36065
11,3,0.476298624,36065
11,4,0.078317973,36065
11,5,0.429362418,36065
11,1,0,36067
11,2,0.027109537,36067
11,3,0.231600185,36067
11,4,0.055269517,36067
11,5,0.686020761,36067
11,1,0,36069
11,2,0.027977772,36069
11,3,0.635044697,36069
11,4,0.041688814,36069
11,5,0.295288717,36069
11,1,0,36071
11,2,0.03369283,36071
11,3,0.172196425,36071
11,4,0.155677052,36071
11,5,0.638433693,36071
11,1,0,36073
11,2,0,36073
11,3,0.901810865,36073
11,4,0,36073
11,5,0.098189135,36073
11,1,0,36075
11,2,0.051220147,36075
11,3,0.697054175,36075
11,4,0.008429982,36075
11,5,0.243295696,36075
11,1,0,36077
11,2,0.087595397,36077
11,3,0.760076208,36077
11,4,0.027669196,36077
11,5,0.124659199,36077
11,1,0,36079
11,2,0.025699301,36079
11,3,0.278513986,36079
11,4,0.162097902,36079
11,5,0.533688811,36079
11,1,0,36081
11,2,0,36081
11,3,0,36081
11,4,0.201857283,36081
11,5,0.798142717,36081
11,1,0,36083
11,2,0.004124405,36083
11,3,0.528912868,36083
11,4,0.060248948,36083
11,5,0.406713779,36083
11,1,0,36085
11,2,0,36085
11,3,0,36085
11,4,0.158011019,36085
11,5,0.841988981,36085
11,1,0,36087
11,2,0,36087
11,3,0,36087
11,4,0.268958453,36087
11,5,0.731041547,36087
11,1,0,36089
11,2,0,36089
11,3,0.881955896,36089
11,4,0,36089
11,5,0.118044104,36089
11,1,0,36091
11,2,0,36091
11,3,0.385063343,36091
11,4,0.153204044,36091
11,5,0.461732613,36091
11,1,0,36093
11,2,0.008321577,36093
11,3,0.209608648,36093
11,4,0.143971215,36093
11,5,0.638098559,36093
11,1,0,36095
11,2,0.057050343,36095
11,3,0.799321563,36095
11,4,0.039549765,36095
11,5,0.104078329,36095
11,1,0,36097
11,2,0,36097
11,3,1,36097
11,4,0,36097
11,5,0,36097
11,1,0,36099
11,2,0.090672902,36099
11,3,0.718368407,36099
11,4,0,36099
11,5,0.190958691,36099
11,1,0,36101
11,2,0.044360365,36101
11,3,0.584473872,36101
11,4,0.169015308,36101
11,5,0.202150455,36101
11,1,0,36103
11,2,0,36103
11,3,0.013080578,36103
11,4,0.228377872,36103
11,5,0.75854155,36103
11,1,0,36105
11,2,0.127827742,36105
11,3,0.597399535,36105
11,4,0.057782693,36105
11,5,0.216990031,36105
11,1,0,36107
11,2,0.307531571,36107
11,3,0.478331971,36107
11,4,0.062358045,36107
11,5,0.151778414,36107
11,1,0,36109
11,2,0,36109
11,3,0.651143769,36109
11,4,0.007478316,36109
11,5,0.341377916,36109
11,1,0,36111
11,2,0.003940879,36111
11,3,0.474285957,36111
11,4,0.093998835,36111
11,5,0.427774329,36111
11,1,0,36113
11,2,0.014426254,36113
11,3,0.57804126,36113
11,4,0.101277439,36113
11,5,0.306255047,36113
11,1,0,36115
11,2,0,36115
11,3,0.925023388,36115
11,4,0,36115
11,5,0.074976612,36115
11,1,0,36117
11,2,0,36117
11,3,0.719285816,36117
11,4,0,36117
11,5,0.280714184,36117
11,1,0,36119
11,2,0,36119
11,3,0,36119
11,4,0.3217996,36119
11,5,0.6782004,36119
11,1,0,36121
11,2,0,36121
11,3,0.989176652,36121
11,4,0,36121
11,5,0.010823348,36121
11,1,0,36123
11,2,0,36123
11,3,0.856816451,36123
11,4,0,36123
11,5,0.143183549,36123
21,1,0,36001
21,2,0.010538124,36001
21,3,0.067835392,36001
21,4,0.407841247,36001
21,5,0.513785236,36001
21,1,0,36003
21,2,0.141121688,36003
21,3,0.779056126,36003
21,4,0,36003
21,5,0.079822186,36003
21,1,0,36005
21,2,0,36005
21,3,0,36005
21,4,0.573818273,36005
21,5,0.426181727,36005
21,1,0,36007
21,2,0.146979172,36007
21,3,0.13612018,36007
21,4,0.27606898,36007
21,5,0.440831667,36007
21,1,0,36009
21,2,0.100591038,36009
21,3,0.599436745,36009
21,4,0.068991551,36009
21,5,0.230980666,36009
21,1,0,36011
21,2,0.168676169,36011
21,3,0.579908948,36011
21,4,0.001747065,36011
21,5,0.249667818,36011
21,1,0,36013
21,2,0.151538974,36013
21,3,0.410915549,36013
21,4,0.09321707,36013
21,5,0.344328407,36013
21,1,0,36015
21,2,0.097753279,36015
21,3,0.172166347,36015
21,4,0.191720997,36015
21,5,0.538359377,36015
21,1,0,36017
21,2,0.0720437,36017
21,3,0.74745773,36017
21,4,0,36017
21,5,0.180498571,36017
21,1,0,36019
21,2,0.058998341,36019
21,3,0.541671032,36019
21,4,0.064223573,36019
21,5,0.335107054,36019
21,1,0,36021
21,2,0.194078153,36021
21,3,0.521153278,36021
21,4,0,36021
21,5,0.284768568,36021
21,1,0,36023
21,2,0.286780475,36023
21,3,0.335185501,36023
21,4,0.071370484,36023
21,5,0.306663541,36023
21,1,0,36025
21,2,0.120600379,36025
21,3,0.756302774,36025
21,4,0.045954411,36025
21,5,0.077142436,36025
21,1,0,36027
21,2,0.042497511,36027
21,3,0.201037959,36027
21,4,0.170412658,36027
21,5,0.586051872,36027
21,1,0,36029
21,2,0.022328015,36029
21,3,0.086333429,36029
21,4,0.257986164,36029
21,5,0.633352392,36029
21,1,0,36031
21,2,0.21437712,36031
21,3,0.741074698,36031
21,4,0,36031
21,5,0.044548182,36031
21,1,0,36033
21,2,0,36033
21,3,0.839521342,36033
21,4,0,36033
21,5,0.160478658,36033
21,1,0,36035
21,2,0,36035
21,3,0.650898761,36035
21,4,0,36035
21,5,0.349101239,36035
21,1,0,36037
21,2,0.261477565,36037
21,3,0.557878846,36037
21,4,0.05384502,36037
21,5,0.12679857,36037
21,1,0,36039
21,2,0.347313619,36039
21,3,0.487643545,36039
21,4,0.013148325,36039
21,5,0.151894511,36039
21,1,0,36041
21,2,0,36041
21,3,1,36041
21,4,0,36041
21,5,0,36041
21,1,0,36043
21,2,0.113838305,36043
21,3,0.417625412,36043
21,4,0.224339484,36043
21,5,0.244196798,36043
21,1,0,36045
21,2,0.07733248,36045
21,3,0.45201717,36045
21,4,0.076028151,36045
21,5,0.394622199,36045
21,1,0,36047
21,2,0,36047
21,3,0,36047
21,4,0.371916248,36047
21,5,0.628083752,36047
21,1,0,36049
21,2,0,36049
21,3,1,36049
21,4,0,36049
21,5,0,36049
21,1,0,36051
21,2,0.189063347,36051
21,3,0.679963208,36051
21,4,0.025210592,36051
21,5,0.105762854,36051
21,1,0,36053
21,2,0.124048259,36053
21,3,0.557770984,36053
21,4,0.122899626,36053
21,5,0.195281131,36053
21,1,0,36055
21,2,0.022162002,36055
21,3,0.039953648,36055
21,4,0.293294164,36055
21,5,0.644590186,36055
21,1,0,36057
21,2,0.3235644,36057
21,3,0.322870683,36057
21,4,0.081058005,36057
21,5,0.272506912,36057
21,1,0,36059
21,2,0,36059
21,3,0,36059
21,4,0.419288265,36059
21,5,0.580711735,36059
21,1,0,36061
21,2,0,36061
21,3,0,36061
21,4,0.457287179,36061
21,5,0.542712821,36061
21,1,0,36063
21,2,0,36063
21,3,0.170210023,36063
21,4,0.082493967,36063
21,5,0.74729601,36063
21,1,0,36065
21,2,0.061536984,36065
21,3,0.309241688,36065
21,4,0.154913973,36065
21,5,0.474307356,36065
21,1,0,36067
21,2,0.059989825,36067
21,3,0.126898542,36067
21,4,0.292200842,36067
21,5,0.520910791,36067
21,1,0,36069
21,2,0.089486912,36069
21,3,0.385877835,36069
21,4,0.148212366,36069
21,5,0.376422887,36069
21,1,0,36071
21,2,0.084705027,36071
21,3,0.075182873,36071
21,4,0.317061599,36071
21,5,0.5230505,36071
21,1,0,36073
21,2,0,36073
21,3,0.814054706,36073
21,4,0,36073
21,5,0.185945294,36073
21,1,0,36075
21,2,0.156426026,36075
21,3,0.527104785,36075
21,4,0.061508503,36075
21,5,0.254960686,36075
21,1,0,36077
21,2,0.119991719,36077
21,3,0.604575292,36077
21,4,0.087132039,36077
21,5,0.18830095,36077
21,1,0,36079
21,2,0.067753718,36079
21,3,0.127521063,36079
21,4,0.346207578,36079
21,5,0.458517641,36079
21,1,0,36081
21,2,0,36081
21,3,0,36081
21,4,0.542012746,36081
21,5,0.457987254,36081
21,1,0,36083
21,2,0.037552506,36083
21,3,0.306076376,36083
21,4,0.120774536,36083
21,5,0.535596581,36083
21,1,0,36085
21,2,0,36085
21,3,0,36085
21,4,0.467563744,36085
21,5,0.532436256,36085
21,1,0,36087
21,2,0,36087
21,3,0,36087
21,4,0.47769951,36087
21,5,0.52230049,36087
21,1,0,36089
21,2,0,36089
21,3,0.814620895,36089
21,4,0,36089
21,5,0.185379105,36089
21,1,0,36091
21,2,0,36091
21,3,0.195811371,36091
21,4,0.269870984,36091
21,5,0.534317644,36091
21,1,0,36093
21,2,0.057141068,36093
21,3,0.091478684,36093
21,4,0.217653981,36093
21,5,0.633726268,36093
21,1,0,36095
21,2,0.078487429,36095
21,3,0.638537837,36095
21,4,0.125082656,36095
21,5,0.157892078,36095
21,1,0,36097
21,2,0,36097
21,3,1,36097
21,4,0,36097
21,5,0,36097
21,1,0,36099
21,2,0.271417961,36099
21,3,0.532439816,36099
21,4,0,36099
21,5,0.196142223,36099
21,1,0,36101
21,2,0.223348477,36101
21,3,0.422285725,36101
21,4,0.160227863,36101
