yearID,sourceTypeID,salesGrowthFactor,sourceTypePopulation,migrationrate,FIP
2020,11,,5851,,36001
2020,21,,84892,,36001
2020,32,,18625,,36001
2020,42,,357,,36001
2020,43,,803,,36001
2020,53,,407,,36001
2020,61,,354,,36001
2020,31,,106672,,36001
2020,41,,99,,36001
2020,51,,125,,36001
2020,52,,9227,,36001
2020,54,,348,,36001
2020,62,,958,,36001
2020,21,,8543,,36003
2020,31,,21903,,36003
2020,32,,1126,,36003
2020,42,,4,,36003
2020,52,,1301,,36003
2020,53,,58,,36003
2020,61,,44,,36003
2020,11,,1556,,36003
2020,41,,48,,36003
2020,43,,208,,36003
2020,51,,26,,36003
2020,54,,234,,36003
2020,62,,187,,36003
2020,21,,110214,,36005
2020,31,,145565,,36005
2020,42,,5321,,36005
2020,52,,3848,,36005
2020,11,,4044,,36005
2020,32,,10543,,36005
2020,41,,187,,36005
2020,43,,599,,36005
2020,51,,124,,36005
2020,53,,170,,36005
2020,54,,88,,36005
2020,61,,189,,36005
2020,62,,227,,36005
2020,31,,74630,,36007
2020,41,,45,,36007
2020,42,,91,,36007
2020,52,,3884,,36007
2020,54,,538,,36007
2020,62,,665,,36007
2020,11,,4718,,36007
2020,21,,52963,,36007
2020,32,,5799,,36007
2020,43,,580,,36007
2020,51,,101,,36007
2020,53,,172,,36007
2020,61,,393,,36007
2020,31,,37239,,36009
2020,41,,12,,36009
2020,51,,43,,36009
2020,52,,2029,,36009
2020,54,,357,,36009
2020,62,,306,,36009
2020,11,,2885,,36009
2020,21,,14303,,36009
2020,32,,2262,,36009
2020,42,,3,,36009
2020,43,,273,,36009
2020,53,,90,,36009
2020,61,,131,,36009
2020,31,,35435,,36011
2020,41,,11,,36011
2020,52,,2038,,36011
2020,54,,260,,36011
2020,62,,211,,36011
2020,11,,2634,,36011
2020,21,,16504,,36011
2020,32,,2010,,36011
2020,42,,2,,36011
2020,43,,192,,36011
2020,51,,41,,36011
2020,53,,90,,36011
2020,61,,133,,36011
2020,41,,45,,36013
2020,43,,396,,36013
2020,51,,73,,36013
2020,52,,2711,,36013
2020,54,,453,,36013
2020,62,,578,,36013
2020,11,,4117,,36013
2020,21,,26070,,36013
2020,31,,58085,,36013
2020,32,,3235,,36013
2020,42,,49,,36013
2020,53,,120,,36013
2020,61,,260,,36013
2020,11,,2313,,36015
2020,32,,2225,,36015
2020,41,,72,,36015
2020,43,,194,,36015
2020,51,,45,,36015
2020,54,,422,,36015
2020,62,,308,,36015
2020,21,,21501,,36015
2020,31,,35123,,36015
2020,52,,1357,,36015
2020,53,,60,,36015
2020,61,,74,,36015
2020,11,,1954,,36017
2020,21,,11211,,36017
2020,32,,1133,,36017
2020,43,,191,,36017
2020,51,,19,,36017
2020,53,,59,,36017
2020,54,,258,,36017
2020,61,,58,,36017
2020,62,,104,,36017
2020,31,,24914,,36017
2020,41,,27,,36017
2020,52,,1338,,36017
2020,11,,2868,,36019
2020,21,,19398,,36019
2020,32,,2331,,36019
2020,42,,18,,36019
2020,43,,337,,36019
2020,51,,25,,36019
2020,53,,92,,36019
2020,61,,121,,36019
2020,31,,36809,,36019
2020,41,,11,,36019
2020,52,,2080,,36019
2020,54,,311,,36019
2020,62,,177,,36019
2020,11,,2139,,36021
2020,32,,2334,,36021
2020,41,,11,,36021
2020,43,,223,,36021
2020,51,,39,,36021
2020,54,,184,,36021
2020,62,,154,,36021
2020,21,,17320,,36021
2020,31,,30959,,36021
2020,42,,2,,36021
2020,52,,2152,,36021
2020,53,,95,,36021
2020,61,,93,,36021
2020,31,,19904,,36023
2020,41,,10,,36023
2020,42,,4,,36023
2020,52,,1064,,36023
2020,11,,1668,,36023
2020,21,,9763,,36023
2020,32,,1444,,36023
2020,43,,142,,36023
2020,51,,37,,36023
2020,53,,47,,36023
2020,54,,166,,36023
2020,61,,143,,36023
2020,62,,227,,36023
2020,11,,1641,,36025
2020,21,,10340,,36025
2020,32,,1395,,36025
2020,42,,2,,36025
2020,43,,188,,36025
2020,51,,48,,36025
2020,53,,70,,36025
2020,61,,93,,36025
2020,31,,23949,,36025
2020,41,,21,,36025
2020,52,,1572,,36025
2020,54,,199,,36025
2020,62,,160,,36025
2020,11,,7041,,36027
2020,41,,33,,36027
2020,43,,1209,,36027
2020,51,,146,,36027
2020,52,,5379,,36027
2020,54,,613,,36027
2020,62,,335,,36027
2020,21,,92018,,36027
2020,31,,123538,,36027
2020,32,,8849,,36027
2020,42,,71,,36027
2020,53,,238,,36027
2020,61,,190,,36027
2020,21,,224973,,36029
2020,31,,382360,,36029
2020,42,,511,,36029
2020,52,,12099,,36029
2020,11,,17982,,36029
2020,32,,33747,,36029
2020,41,,301,,36029
2020,43,,2477,,36029
2020,51,,280,,36029
2020,53,,534,,36029
2020,54,,2160,,36029
2020,61,,567,,36029
2020,62,,1223,,36029
2020,11,,1332,,36031
2020,21,,7356,,36031
2020,32,,1548,,36031
2020,42,,28,,36031
2020,43,,147,,36031
2020,51,,32,,36031
2020,53,,51,,36031
2020,61,,84,,36031
2020,31,,19347,,36031
2020,41,,1,,36031
2020,52,,1143,,36031
2020,54,,210,,36031
2020,62,,223,,36031
2020,41,,9,,36033
2020,43,,176,,36033
2020,51,,23,,36033
2020,52,,1310,,36033
2020,54,,196,,36033
2020,62,,75,,36033
2020,11,,1498,,36033
2020,21,,8667,,36033
2020,31,,23760,,36033
2020,32,,1327,,36033
2020,42,,8,,36033
2020,53,,58,,36033
2020,61,,53,,36033
2020,21,,13019,,36035
2020,31,,24479,,36035
2020,42,,14,,36035
2020,52,,969,,36035
2020,53,,43,,36035
2020,61,,39,,36035
2020,11,,2282,,36035
2020,32,,1372,,36035
2020,41,,4,,36035
2020,43,,131,,36035
2020,51,,4,,36035
2020,54,,278,,36035
2020,62,,58,,36035
2020,11,,2046,,36037
2020,21,,13220,,36037
2020,32,,1941,,36037
2020,43,,281,,36037
2020,51,,12,,36037
2020,53,,85,,36037
2020,54,,349,,36037
2020,61,,272,,36037
2020,62,,471,,36037
2020,31,,28429,,36037
2020,41,,8,,36037
2020,42,,1,,36037
2020,52,,1909,,36037
2020,31,,24971,,36039
2020,41,,31,,36039
2020,52,,1588,,36039
2020,54,,219,,36039
2020,62,,347,,36039
2020,11,,2378,,36039
2020,21,,13505,,36039
2020,32,,1393,,36039
2020,42,,1,,36039
2020,43,,181,,36039
2020,51,,4,,36039
2020,53,,70,,36039
2020,61,,131,,36039
2020,11,,298,,36041
2020,21,,1072,,36041
2020,32,,280,,36041
2020,42,,1,,36041
2020,43,,30,,36041
2020,51,,10,,36041
2020,53,,12,,36041
2020,61,,11,,36041
2020,31,,3238,,36041
2020,41,,11,,36041
2020,52,,264,,36041
2020,54,,41,,36041
2020,62,,18,,36041
2020,11,,2446,,36043
2020,21,,14695,,36043
2020,31,,27420,,36043
2020,32,,1199,,36043
2020,42,,1,,36043
2020,53,,77,,36043
2020,61,,191,,36043
2020,41,,11,,36043
2020,43,,142,,36043
2020,51,,47,,36043
2020,52,,1724,,36043
2020,54,,239,,36043
2020,62,,271,,36043
2020,21,,21832,,36045
2020,31,,48918,,36045
2020,42,,9,,36045
2020,52,,2089,,36045
2020,53,,93,,36045
2020,11,,3364,,36045
2020,32,,2777,,36045
2020,41,,23,,36045
2020,43,,451,,36045
2020,51,,80,,36045
2020,54,,519,,36045
2020,61,,196,,36045
2020,62,,286,,36045
2020,31,,275725,,36047
2020,41,,298,,36047
2020,42,,701,,36047
2020,52,,8492,,36047
2020,62,,266,,36047
2020,11,,13127,,36047
2020,21,,192676,,36047
2020,32,,23411,,36047
2020,43,,4953,,36047
2020,51,,198,,36047
2020,53,,375,,36047
2020,54,,138,,36047
2020,61,,151,,36047
2020,31,,14358,,36049
2020,41,,1,,36049
2020,52,,998,,36049
2020,54,,131,,36049
2020,62,,63,,36049
2020,11,,1160,,36049
2020,21,,5087,,36049
2020,32,,515,,36049
2020,42,,2,,36049
2020,43,,93,,36049
2020,51,,2,,36049
2020,53,,44,,36049
2020,61,,42,,36049
2020,11,,2380,,36051
2020,41,,36,,36051
2020,43,,215,,36051
2020,51,,35,,36051
2020,52,,1637,,36051
2020,54,,271,,36051
2020,62,,301,,36051
2020,21,,14579,,36051
2020,31,,29756,,36051
2020,32,,1823,,36051
2020,42,,1,,36051
2020,53,,73,,36051
2020,61,,174,,36051
2020,11,,2590,,36053
2020,32,,1856,,36053
2020,41,,24,,36053
2020,43,,264,,36053
2020,51,,61,,36053
2020,53,,71,,36053
2020,54,,370,,36053
2020,61,,185,,36053
2020,62,,288,,36053
2020,21,,15327,,36053
2020,31,,32148,,36053
2020,42,,2,,36053
2020,52,,1607,,36053
2020,11,,13616,,36055
2020,21,,211916,,36055
2020,32,,20724,,36055
2020,43,,2744,,36055
2020,51,,251,,36055
2020,53,,534,,36055
2020,61,,558,,36055
2020,31,,284804,,36055
2020,41,,188,,36055
2020,42,,489,,36055
2020,52,,12107,,36055
2020,54,,1034,,36055
2020,62,,952,,36055
2020,11,,2052,,36057
2020,21,,13052,,36057
2020,32,,1251,,36057
2020,42,,3,,36057
2020,53,,54,,36057
2020,61,,246,,36057
2020,31,,22408,,36057
2020,41,,32,,36057
2020,43,,204,,36057
2020,51,,50,,36057
2020,52,,1210,,36057
2020,54,,250,,36057
2020,62,,373,,36057
2020,21,,391146,,36059
2020,31,,531349,,36059
2020,32,,38271,,36059
2020,42,,386,,36059
2020,52,,17789,,36059
2020,53,,784,,36059
2020,61,,202,,36059
2020,11,,15743,,36059
2020,41,,168,,36059
2020,43,,2354,,36059
2020,51,,427,,36059
2020,54,,577,,36059
2020,62,,539,,36059
2020,21,,88804,,36061
2020,31,,124242,,36061
2020,32,,19637,,36061
2020,42,,847,,36061
2020,53,,196,,36061
2020,61,,104,,36061
2020,11,,6058,,36061
2020,41,,203,,36061
2020,43,,21,,36061
2020,51,,137,,36061
2020,52,,4425,,36061
2020,54,,149,,36061
2020,62,,189,,36061
2020,11,,6446,,36063
2020,32,,4244,,36063
2020,41,,72,,36063
2020,43,,703,,36063
2020,51,,68,,36063
2020,53,,144,,36063
2020,54,,614,,36063
2020,61,,51,,36063
2020,62,,115,,36063
2020,21,,52606,,36063
2020,31,,95322,,36063
2020,42,,4,,36063
2020,52,,3246,,36063
2020,31,,92253,,36065
2020,41,,114,,36065
2020,42,,3,,36065
2020,52,,4305,,36065
2020,54,,607,,36065
2020,62,,623,,36065
2020,11,,6305,,36065
2020,21,,56282,,36065
2020,32,,6211,,36065
2020,43,,1020,,36065
2020,51,,142,,36065
2020,53,,190,,36065
2020,61,,405,,36065
2020,11,,9842,,36067
2020,21,,112967,,36067
2020,32,,16012,,36067
2020,42,,356,,36067
2020,53,,445,,36067
2020,61,,580,,36067
2020,31,,186035,,36067
2020,41,,70,,36067
2020,43,,1410,,36067
2020,51,,223,,36067
2020,52,,10091,,36067
2020,54,,700,,36067
2020,62,,923,,36067
2020,11,,3444,,36069
2020,41,,54,,36069
2020,43,,361,,36069
2020,51,,83,,36069
2020,54,,478,,36069
2020,62,,397,,36069
2020,21,,28732,,36069
2020,31,,53158,,36069
2020,32,,3772,,36069
2020,42,,1,,36069
2020,52,,2720,,36069
2020,53,,120,,36069
2020,61,,229,,36069
2020,11,,8629,,36071
2020,21,,106629,,36071
2020,31,,150205,,36071
2020,32,,11381,,36071
2020,42,,33,,36071
2020,53,,324,,36071
2020,61,,451,,36071
2020,41,,278,,36071
2020,43,,1373,,36071
2020,51,,207,,36071
2020,52,,7341,,36071
2020,54,,684,,36071
2020,62,,787,,36071
2020,11,,1411,,36073
2020,32,,892,,36073
2020,41,,12,,36073
2020,43,,162,,36073
2020,51,,21,,36073
2020,54,,140,,36073
2020,61,,32,,36073
2020,62,,57,,36073
2020,21,,8866,,36073
2020,31,,18795,,36073
2020,52,,1010,,36073
2020,53,,45,,36073
2020,31,,56886,,36075
2020,41,,35,,36075
2020,42,,2,,36075
2020,52,,2323,,36075
2020,62,,318,,36075
2020,11,,4491,,36075
2020,21,,24924,,36075
2020,32,,2363,,36075
2020,43,,492,,36075
2020,51,,81,,36075
2020,53,,103,,36075
2020,54,,655,,36075
2020,61,,200,,36075
2020,11,,1965,,36077
2020,21,,13295,,36077
2020,32,,1964,,36077
2020,42,,20,,36077
2020,43,,183,,36077
2020,51,,47,,36077
2020,53,,69,,36077
2020,61,,97,,36077
2020,31,,27236,,36077
2020,41,,19,,36077
2020,52,,1553,,36077
2020,54,,285,,36077
2020,62,,175,,36077
2020,11,,2922,,36079
2020,41,,2,,36079
2020,43,,359,,36079
2020,51,,58,,36079
2020,52,,2277,,36079
2020,54,,152,,36079
2020,62,,209,,36079
2020,21,,31781,,36079
2020,31,,47759,,36079
2020,32,,3361,,36079
2020,42,,28,,36079
2020,53,,101,,36079
2020,61,,124,,36079
2020,11,,12403,,36081
2020,21,,319150,,36081
2020,32,,49298,,36081
2020,42,,105,,36081
2020,43,,1524,,36081
2020,51,,360,,36081
2020,53,,762,,36081
2020,61,,315,,36081
2020,31,,413421,,36081
2020,41,,361,,36081
2020,52,,17272,,36081
2020,54,,154,,36081
2020,62,,557,,36081
2020,11,,4688,,36083
2020,21,,41855,,36083
2020,31,,67510,,36083
2020,32,,3714,,36083
2020,42,,2,,36083
2020,53,,137,,36083
2020,61,,104,,36083
2020,41,,29,,36083
2020,43,,390,,36083
2020,51,,79,,36083
2020,52,,3092,,36083
2020,54,,449,,36083
2020,62,,283,,36083
2020,21,,104006,,36085
2020,31,,155567,,36085
2020,42,,2,,36085
2020,52,,2235,,36085
2020,53,,99,,36085
2020,61,,78,,36085
2020,11,,5173,,36085
2020,32,,6431,,36085
2020,41,,87,,36085
2020,43,,1039,,36085
2020,51,,101,,36085
2020,54,,215,,36085
2020,62,,142,,36085
2020,21,,86131,,36087
2020,31,,110957,,36087
2020,41,,128,,36087
2020,42,,115,,36087
2020,52,,4151,,36087
2020,11,,3933,,36087
2020,32,,9159,,36087
2020,43,,1112,,36087
2020,51,,119,,36087
2020,53,,183,,36087
2020,54,,205,,36087
2020,61,,231,,36087
2020,62,,408,,36087
2020,31,,48449,,36089
2020,41,,33,,36089
2020,52,,2224,,36089
2020,54,,583,,36089
2020,62,,167,,36089
2020,11,,3553,,36089
2020,21,,19694,,36089
2020,32,,2779,,36089
2020,42,,3,,36089
2020,43,,356,,36089
2020,51,,83,,36089
2020,53,,99,,36089
2020,61,,116,,36089
2020,11,,7637,,36091
2020,21,,67639,,36091
2020,32,,6120,,36091
2020,42,,5,,36091
2020,43,,732,,36091
2020,51,,117,,36091
2020,53,,191,,36091
2020,61,,235,,36091
2020,31,,110279,,36091
2020,41,,37,,36091
2020,52,,4320,,36091
2020,54,,890,,36091
2020,62,,632,,36091
2020,21,,46481,,36093
2020,31,,65048,,36093
2020,32,,3881,,36093
2020,42,,6,,36093
2020,53,,87,,36093
2020,61,,108,,36093
2020,11,,4197,,36093
2020,41,,27,,36093
2020,43,,397,,36093
2020,51,,19,,36093
2020,52,,1962,,36093
2020,54,,410,,36093
2020,62,,293,,36093
2020,21,,7915,,36095
2020,31,,16006,,36095
2020,42,,24,,36095
2020,52,,1180,,36095
2020,11,,1391,,36095
2020,32,,873,,36095
2020,41,,2,,36095
2020,43,,160,,36095
2020,51,,27,,36095
2020,53,,53,,36095
2020,54,,135,,36095
2020,61,,53,,36095
2020,62,,94,,36095
2020,31,,9981,,36097
2020,41,,14,,36097
2020,42,,3,,36097
2020,52,,567,,36097
2020,62,,46,,36097
2020,11,,838,,36097
2020,21,,4271,,36097
2020,32,,457,,36097
2020,43,,52,,36097
2020,51,,15,,36097
2020,53,,25,,36097
2020,54,,129,,36097
2020,61,,11,,36097
2020,31,,14966,,36099
2020,41,,25,,36099
2020,52,,889,,36099
2020,54,,189,,36099
2020,62,,183,,36099
2020,11,,1124,,36099
2020,21,,7768,,36099
2020,32,,932,,36099
2020,43,,91,,36099
2020,51,,33,,36099
2020,53,,40,,36099
2020,61,,113,,36099
2020,21,,22936,,36101
2020,31,,46133,,36101
2020,42,,13,,36101
2020,52,,2429,,36101
2020,53,,108,,36101
2020,61,,170,,36101
2020,11,,3326,,36101
2020,32,,1895,,36101
2020,41,,10,,36101
2020,43,,302,,36101
2020,51,,47,,36101
2020,54,,553,,36101
2020,62,,697,,36101
2020,31,,657217,,36103
2020,41,,315,,36103
2020,42,,276,,36103
2020,52,,32495,,36103
2020,62,,767,,36103
2020,11,,27156,,36103
2020,21,,464076,,36103
2020,32,,49977,,36103
2020,43,,4483,,36103
2020,51,,538,,36103
2020,53,,1432,,36103
2020,54,,1508,,36103
2020,61,,283,,36103
2020,31,,33592,,36105
2020,41,,14,,36105
2020,52,,2262,,36105
2020,54,,243,,36105
2020,62,,321,,36105
2020,11,,2595,,36105
2020,21,,19562,,36105
2020,32,,2946,,36105
2020,42,,5,,36105
2020,43,,332,,36105
2020,51,,50,,36105
2020,53,,100,,36105
2020,61,,184,,36105
2020,41,,2,,36107
2020,43,,159,,36107
2020,51,,49,,36107
2020,52,,1293,,36107
2020,54,,316,,36107
2020,62,,374,,36107
2020,11,,1522,,36107
2020,21,,12625,,36107
2020,31,,23653,,36107
2020,32,,1369,,36107
2020,42,,2,,36107
2020,53,,58,,36107
2020,61,,211,,36107
2020,21,,21165,,36109
2020,31,,33365,,36109
2020,32,,3034,,36109
2020,42,,5,,36109
2020,52,,1525,,36109
2020,53,,68,,36109
2020,61,,54,,36109
2020,11,,2132,,36109
2020,41,,84,,36109
2020,43,,234,,36109
2020,51,,50,,36109
2020,54,,300,,36109
2020,62,,90,,36109
2020,11,,5960,,36111
2020,21,,53548,,36111
2020,32,,5183,,36111
2020,42,,49,,36111
2020,43,,388,,36111
2020,51,,95,,36111
2020,53,,212,,36111
2020,61,,147,,36111
2020,31,,80589,,36111
2020,41,,167,,36111
2020,52,,4809,,36111
2020,54,,523,,36111
2020,62,,260,,36111
2020,11,,2503,,36113
2020,21,,17139,,36113
2020,32,,2781,,36113
2020,42,,20,,36113
2020,53,,68,,36113
2020,61,,98,,36113
2020,31,,33370,,36113
2020,41,,19,,36113
2020,43,,174,,36113
2020,51,,46,,36113
2020,52,,1520,,36113
2020,54,,313,,36113
2020,62,,273,,36113
2020,21,,14135,,36115
2020,31,,31493,,36115
2020,32,,1460,,36115
2020,52,,1792,,36115
2020,53,,79,,36115
2020,61,,34,,36115
2020,11,,2801,,36115
2020,41,,4,,36115
2020,43,,216,,36115
2020,51,,41,,36115
2020,54,,176,,36115
2020,62,,92,,36115
2020,21,,23731,,36117
2020,31,,46271,,36117
2020,41,,7,,36117
2020,52,,2159,,36117
2020,11,,3882,,36117
2020,32,,2181,,36117
2020,43,,414,,36117
2020,51,,36,,36117
2020,53,,96,,36117
2020,54,,363,,36117
2020,61,,68,,36117
2020,62,,119,,36117
2020,31,,350179,,36119
2020,41,,197,,36119
2020,52,,13435,,36119
2020,54,,346,,36119
2020,62,,1297,,36119
2020,11,,11656,,36119
