sourceTypeID,yearID,ageID,agefraction,FIP
43,2021,17,0.00302,36055
43,2021,18,0.00186,36055
43,2021,19,0.00279,36055
43,2021,20,0.00163,36055
43,2021,21,0.00047,36055
43,2021,22,0.00186,36055
43,2021,23,0.00116,36055
43,2021,24,0.00047,36055
43,2021,25,0,36055
43,2021,26,0.0007,36055
43,2021,27,0.00023,36055
43,2021,28,0,36055
43,2021,29,0,36055
43,2021,30,0.00023,36055
51,2021,0,0.01357,36055
51,2021,1,0.04299,36055
51,2021,2,0.13575,36055
51,2021,3,0.25792,36055
51,2021,4,0.28959,36055
51,2021,5,0.09276,36055
51,2021,6,0.02036,36055
51,2021,7,0.0181,36055
51,2021,8,0.04977,36055
51,2021,9,0.02941,36055
51,2021,10,0.00679,36055
51,2021,11,0.00679,36055
51,2021,12,0.01584,36055
51,2021,13,0.01131,36055
51,2021,14,0,36055
51,2021,15,0,36055
51,2021,16,0.00226,36055
51,2021,17,0.00226,36055
51,2021,18,0.00226,36055
51,2021,19,0,36055
51,2021,20,0,36055
51,2021,21,0.00226,36055
51,2021,22,0,36055
51,2021,23,0,36055
51,2021,24,0,36055
51,2021,25,0,36055
51,2021,26,0,36055
51,2021,27,0,36055
51,2021,28,0,36055
51,2021,29,0,36055
51,2021,30,0,36055
52,2021,0,0.03996,36055
52,2021,1,0.06833,36055
52,2021,2,0.0649,36055
52,2021,3,0.05327,36055
52,2021,4,0.05836,36055
52,2021,5,0.05737,36055
52,2021,6,0.05548,36055
52,2021,7,0.03306,36055
52,2021,8,0.02959,36055
52,2021,9,0.03446,36055
52,2021,10,0.02729,36055
52,2021,11,0.01565,36055
52,2021,12,0.0212,36055
52,2021,13,0.02963,36055
52,2021,14,0.03816,36055
52,2021,15,0.03644,36055
52,2021,16,0.03284,36055
52,2021,17,0.02363,36055
52,2021,18,0.02273,36055
52,2021,19,0.02183,36055
52,2021,20,0.02341,36055
52,2021,21,0.02535,36055
52,2021,22,0.02102,36055
52,2021,23,0.01412,36055
52,2021,24,0.01497,36055
