County,PD,Year,Sworn Full Time,Sworn Part Time,Sworn Total,Civilian Full Time,Civilian Part Time,Civilian Total,Full Time Total,Part Time Total,Grand Total
Albany,Albany City PD,2007,334,0,334,123,71,194,457,71,528
Albany,Albany City PD,2008,332,0,332,124,9,133,456,9,465
Albany,Albany City PD,2009,327,0,327,136,58,194,463,58,521
Albany,Albany City PD,2010,327,0,327,138,66,204,465,66,531
Albany,Albany City PD,2011,312,0,312,132,59,191,444,59,503
Albany,Albany City PD,2012,322,0,322,123,54,177,445,54,499
Albany,Albany City PD,2013,332,0,332,104,52,156,436,52,488
Albany,Albany City PD,2014,337,0,337,121,51,172,458,51,509
Albany,Albany City PD,2015,335,0,335,98,54,152,433,54,487
Albany,Albany City PD,2016,336,0,336,97,58,155,433,58,491
Albany,Albany City PD,2017,333,0,333,85,53,138,418,53,471
Albany,Albany City PD,2018,316,0,316,88,51,139,404,51,455
Albany,Albany City PD,2019,293,3,296,89,50,139,382,53,435
Albany,Albany City PD,2020,295,0,295,76,44,120,371,44,415
Albany,Albany City PD,2021,283,0,283,76,39,115,359,39,398
Albany,Albany City PD,2022,294,0,294,79,39,118,373,39,412
Albany,Albany City PD,2023,286,0,286,62,44,106,348,44,392
Albany,Albany County Park PD Headquarters,2008,12,0,12,3,1,4,15,1,16
Albany,Albany County Sheriff,2007,131,0,131,41,63,104,172,63,235
Albany,Albany County Sheriff,2008,129,0,129,47,67,114,176,67,243
Albany,Albany County Sheriff,2009,126,0,126,46,72,118,172,72,244
Albany,Albany County Sheriff,2010,122,0,122,46,82,128,168,82,250
Albany,Albany County Sheriff,2011,121,0,121,36,80,116,157,80,237
Albany,Albany County Sheriff,2012,118,0,118,46,88,134,164,88,252
Albany,Albany County Sheriff,2013,120,0,120,45,83,128,165,83,248
Albany,Albany County Sheriff,2014,114,0,114,49,77,126,163,77,240
Albany,Albany County Sheriff,2015,117,0,117,53,79,132,170,79,249
Albany,Albany County Sheriff,2016,113,0,113,59,84,143,172,84,256
