County,County MAPSYM,MAPSYM,MUKEY,Default Mineral Soil Group,Multiple MSG Flag,Flag - MSG Values,Flag - Fields,Capability Class (FM5 CAP),Soil Temp. Regime,Soil Modifier,Soil Slope,Soil Name,Drainage,Modifier,Texture,Flooding,Lime,Rotation,Corn Yield (ton/acre),Hay Yield (ton/acre),Change,TDN (ton/acre),Index (TDN)
Albany,NY001_AE,Ae,288688,7,,,,4W,Mesic,,"""00-03""",ALLIS,Poorly Drained,,Silty Loam,,Requires lime additions within every rotation,2,7.5,1.6,,0.94,20.7
Albany,NY001_ANA,AnA,288689,6,,,,3W,Mesic,,"""00-03""",ANGOLA,Somewhat Well-Drained,,Silty Loam,,Requires lime additions within every rotation,3,12,1.95,,1.4,30.89
Albany,NY001_ANB,AnB,288690,6,,,,3W,Mesic,,"""03-08""",ANGOLA,Somewhat Well-Drained,,Silty Loam,,Requires lime additions within every rotation,3,12,1.95,,1.4,30.89
Albany,NY001_ANC,AnC,288691,7,,,,3E,Mesic,,"""08-15""",ANGOLA,Somewhat Well-Drained,,Silty Loam,,Requires lime additions within every rotation,1,11.25,1.6,,0.95,20.81
Albany,NY001_ARC,ArC,288692,8,,,,4E,Cryic,,"""08-15""",ARNOT,Moderately Well Drained to Well Drained,Very Channery,Silty Loam,,Requires lime additions within every rotation,2,6,0.96,,0.48,10.57
Albany,NY001_ASB,AsB,288693,8,,,,6S,Cryic,,"""00-08""",ARNOT-ROCK OUTCROP,Moderately Well Drained to Well Drained,Very Channery,Silty Loam,,Requires lime additions within every rotation,3,0,0,,0,0
Albany,NY001_ASF,AsF,288694,9,,,,7S,Cryic,,"""25-70""",ARNOT-ROCK OUTCROP,Moderately Well Drained to Well Drained,Very Channery,Silty Loam,,Requires lime additions within every rotation,0,0,0,,0,0
Albany,NY001_BR,Br,288695,7,,,,5W,Mesic,,"""00-02""",BIRDSALL,Poorly Drained to Very Poorly Drained,Muck,Silty Loam,,Requires lime additions within every rotation,2,9,1.6,,1,22.03
Albany,NY001_BUA,BuA,288696,5,,,,3W,Mesic,,"""00-03""",BURDETT,Somewhat Well-Drained,,Silty Loam,,Requires lime additions within every rotation,4,12.75,2.64,,1.81,39.91
Albany,NY001_BUB,BuB,288697,5,,,,3W,Mesic,,"""03-08""",BURDETT,Somewhat Well-Drained,,Silty Loam,,Requires lime additions within every rotation,4,12.75,2.64,,1.81,39.91
Albany,NY001_BUC,BuC,288698,7,,,,3E,Mesic,,"""08-15""",BURDETT,Somewhat Well-Drained,,Silty Loam,,Requires lime additions within every rotation,1,11.25,1.92,,1.09,23.99
Albany,NY001_BVB,BvB,288699,8,,,,6S,Mesic,,"""00-08""",BURDETT,Somewhat Well-Drained,Very Stoney,Silty Loam,,Requires lime additions within every rotation,3,0,0,,0,0
Albany,NY001_BXA,BxA,288700,6,,,,3W,Cryic,,"""00-03""",BUSTI,Somewhat Well-Drained,,Silty Loam,,Requires lime additions within every rotation,4,12.75,1.95,,1.61,35.35
Albany,NY001_BXB,BxB,288701,6,,,,3W,Cryic,,"""03-08""",BUSTI,Somewhat Well-Drained,,Silty Loam,,Requires lime additions within every rotation,4,12.75,1.95,,1.61,35.35
Albany,NY001_CA,Ca,288702,6,Yes,610,"Capability Class,Soil Modifier",3W,Mesic,Drained,"""00-01""",CARLISLE,Bog,,Muck,,Requires lime additions within every rotation,5,9,1.625,,1.31,28.77
Albany,NY001_CEA,CeA,288703,2,,,,2W,Mesic,,"""00-03""",CASTILE,Moderately Well-Drained,Gravelly,,,Requires lime additions within every rotation,3,17.71,3.685,,2.35,51.81
Albany,NY001_CEB,CeB,288704,2,,,,2W,Mesic,,"""03-08""",CASTILE,Moderately Well-Drained,Gravelly,,,Requires lime additions within every rotation,5,17.71,3.685,,2.69,59.3
Albany,NY001_CGB,CgB,288705,3,,,,2W,Mesic,,"""03-08""",CHAUTAUQUA,Moderately Well-Drained,Gravelly,Silty Loam,,Requires lime additions within every rotation,5,15.2,3.35,,2.36,51.93
Albany,NY001_CGC,CgC,288706,5,,,,3E,Mesic,,"""08-15""",CHAUTAUQUA,Moderately Well-Drained,Gravelly,Silty Loam,,Requires lime additions within every rotation,3,12.75,2.64,,1.69,37.2
Albany,NY001_CHA,ChA,288707,2,,,,2S,Mesic,Loamy Subsstratum,"""00-03""",CHENANGO,Well Drained to Excessively Well Drained,Gravelly,Silty Loam,,Requires lime additions within every rotation,7,16.94,3.685,,2.92,64.41
Albany,NY001_CHB,ChB,288708,2,,,,2S,Mesic,Loamy Subsstratum,"""03-08""",CHENANGO,Well Drained to Excessively Well Drained,Gravelly,Silty Loam,,Requires lime additions within every rotation,6,16.94,3.685,,2.77,61.01
