Area Type, Area, Area Name, Standard Occupational Code, Occupational Title, Employment,Mean Wage, Median Wage, Entry Wage, Experienced Wage                                                                                                                                                                                                                                             
1,36,New York State,00-0000,"Total, All Occupations",9392830,81061,58603,36871,103157
1,36,New York State,11-0000,Management Occupations,611690,183387,156228,82695,233733
1,36,New York State,11-1011,Chief Executives,7630,332030,218134,128735,433677
1,36,New York State,11-1021,General and Operations Managers,212770,169014,129400,68869,219086
1,36,New York State,11-1031,Legislators,,107926,100930,43497,140140
1,36,New York State,11-2011,Advertising and Promotions Managers,3830,221329,211105,129446,267272
1,36,New York State,11-2021,Marketing Managers,45000,197356,177505,111885,240093
1,36,New York State,11-2022,Sales Managers,32870,252794,219213,128714,314835
1,36,New York State,11-2032,Public Relations Managers,6960,219281,182776,118099,269871
1,36,New York State,11-2033,Fundraising Managers,3730,181895,170111,112692,216497
1,36,New York State,11-3012,Administrative Services Managers,,140355,128386,72892,174088
1,36,New York State,11-3013,Facilities Managers,8960,138786,128779,83388,166486
1,36,New York State,11-3021,Computer and Information Systems Managers,39190,219135,212037,138283,259562
1,36,New York State,11-3031,Financial Managers,62800,247014,220670,131721,304661
1,36,New York State,11-3051,Industrial Production Managers,6680,144102,130909,86445,172931
1,36,New York State,11-3061,Purchasing Managers,4680,180636,169960,108546,216681
1,36,New York State,11-3071,"Transportation, Storage, and Distribution Managers",5590,139263,126314,83670,167061
1,36,New York State,11-3111,Compensation and Benefits Managers,1880,206217,183463,128303,245173
1,36,New York State,11-3121,Human Resources Managers,14260,203664,179892,116642,247175
1,36,New York State,11-3131,Training and Development Managers,2730,183567,168782,104839,222930
1,36,New York State,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",,88894,81324,51734,107474
1,36,New York State,11-9021,Construction Managers,7240,160572,142754,88662,196528
1,36,New York State,11-9031,"Education Administrators, Preschool and Childcare Center/Program",3820,88794,81155,50946,107717
1,36,New York State,11-9032,"Education Administrators, Elementary and Secondary School",18860,149064,142435,97469,174861
1,36,New York State,11-9033,"Education Administrators, Postsecondary",6770,170547,143300,102937,204352
1,36,New York State,11-9039,"Education Administrators, All Other",2300,116387,105656,64631,142265
1,36,New York State,11-9041,Architectural and Engineering Managers,6600,186574,174879,128081,215822
1,36,New York State,11-9051,Food Service Managers,16000,86551,78356,57558,101047
1,36,New York State,11-9071,Gaming Managers,,107158,105626,65902,127787
1,36,New York State,11-9072,"Entertainment and Recreation Managers, Except Gambling",510,85636,66817,63551,96678
1,36,New York State,11-9081,Lodging Managers,3550,97396,80415,59250,116468
1,36,New York State,11-9111,Medical and Health Services Managers,25910,183519,147740,98201,226177
1,36,New York State,11-9121,Natural Sciences Managers,3350,174721,145603,87512,218325
1,36,New York State,11-9131,Postmasters and Mail Superintendents,820,93623,91401,83137,98866
1,36,New York State,11-9141,"Property, Real Estate, and Community Association Managers",10480,118867,98450,62676,146963
1,36,New York State,11-9151,Social and Community Service Managers,13230,104909,96546,70144,122292
1,36,New York State,11-9161,Emergency Management Directors,490,103672,91246,66510,122254
1,36,New York State,11-9171,Funeral Home Managers,710,86833,78372,52716,103891
1,36,New York State,11-9179,"Personal Service Managers, All Other",280,90544,83091,55121,108255
1,36,New York State,11-9199,"Managers, All Other",14560,173095,157918,93454,212916
1,36,New York State,13-0000,Business and Financial Operations Occupations,710180,113837,99808,61808,139852
1,36,New York State,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",2630,157249,93409,65255,203246
