Unique Case ID,Electric Utility,Gas Utility,County,Region,Climate Zone,Construction Type,Efficiency Decisions - Owner,Efficiency Decisions - Property/Leasing Manager/Associate,Efficiency Decisions - Senior Property Manager,Efficiency Decisions - Maintenance Supervisor,Efficiency Decisions - Purchasing Manager,Efficiency Decisions - Board,Efficiency Decisions - Tenants,Efficiency Decisions - Other,Efficiency Decisions - Managing Agent,Efficiency Decisions - Corporate,Efficiency Decisions - President/Vice President,Efficiency Decisions - District/Regional Manager,Year of Latest Efficiency Improvement,Common Area Efficiency Improvement - None,Common Area Efficiency Improvement - Heating,Common Area Efficiency Improvement - Cooling,Common Area Efficiency Improvement - Water Heating,Common Area Efficiency Improvement - Insulation,Common Area Efficiency Improvement - Lighting,Common Area Efficiency Improvement - Appliances,Common Area Efficiency Improvement - Windows,Common Area Efficiency Improvement - Other,Common Area Efficiency Improvement - Doors,Common Area Efficiency Improvement - Water Conservation,Unit Efficiency Improvement - None,Unit Efficiency Improvement - Heating,Unit Efficiency Improvement - Cooling,Unit Efficiency Improvement - Water Heating,Unit Efficiency Improvement - Insulation,Unit Efficiency Improvement - Lighting,Unit Efficiency Improvement - Appliances,Unit Efficiency Improvement - Windows,Unit Efficiency Improvement - Other,Unit Efficiency Improvement - Doors,Unit Efficiency Improvement - Water Conservation,Efficiency Improvement Needed - None,Efficiency Improvement Needed - Heating,Efficiency Improvement Needed - Cooling,Efficiency Improvement Needed - Water Heating,Efficiency Improvement Needed - Insulation,Efficiency Improvement Needed - Lighting,Efficiency Improvement Needed - Appliances,Efficiency Improvement Needed - Windows,Efficiency Improvement Needed - Other,Efficiency Improvement Needed - Doors,Efficiency Improvement Needed - Water Conservation,Non Improvement - Incompatible,Non Improvement - Initial Cost,Non Improvement - Tenant Responsibility,Non Improvement - Long Payback,Non Improvement - No Rebate,Non Improvement - Intrusive,Non Improvement - Other,Non Improvement - Not Needed,Non Improvement - No Support from Upper Management,Non Improvement - Other Priorities,Non Improvement - In Process,Non Improvement - Recent Ownership,Importance - Compatabile,Importance - Initial Cost,Importance - Operating Cost,Importance - Payback Period,Importance - Supplier Recommendation,Importance - Efficiency,Importance - Rebate,Importance - Peer Recommendation,Importance - Tenant Dissatisfaction,Importance - Raising Price,Importance - Societal Pressure,Importance - Equipment Value,Awareness of Efficiency Programs,Awareness - HVAC,Awareness - Appliances,Awareness - Energy Audit,Awareness - Weatherization,Awareness - Lighting,Awareness - Water Heating,Awareness - Natural Gas Conversion,Awareness - Multifamily Performance,Awareness - Energy Star Homes,Awareness - Water Conservation,Awareness - Thermostats,Awareness - Other,Awareness - Unknown,Preferred Promotion - Personal Explanation,Preferred Promotion - Apartment Association,Preferred Promotion - Utility Account Manager,Preferred Promotion - Property Owner,Preferred Promotion - Utility Bill Insert,Preferred Promotion - Website,Preferred Promotion - Direct Mail from Utility,Preferred Promotion - Independent Contractor,Preferred Promotion - Subway Ad,Preferred Promotion - Billboard Ad,Preferred Promotion - Other,Preferred Promotion - Email ,Preferred Promotion - Phone,Participated in Efficiency Program Past 5 Years,Efficiency Program Past 5 Years - HVAC,Efficiency Program Past 5 Years - Appliances,Efficiency Program Past 5 Years - Energy Audit,Efficiency Program Past 5 Years - Weatherization,Efficiency Program Past 5 Years - Lighting,Efficiency Program Past 5 Years - Water Heating,Efficiency Program Past 5 Years - Natural Gas Conversion,Efficiency Program Past 5 Years - Multifamily Performance,Efficiency Program Past 5 Years - Energy Star Homes,Efficiency Program Past 5 Years - Water Conservation,Efficiency Program Past 5 Years - Thermostats,Efficiency Program Past 5 Years - Other,Researched Energy Information,Sources for Energy Information - General Web Search,Sources for Energy Information - Utilities,Sources for Energy Information - LEED,Sources for Energy Information - Tradeshows,Sources for Energy Information - Consultants/Contractors,Sources for Energy Information - Word of Mouth,Sources for Energy Information - Suppliers,Sources for Energy Information - National Fuel,Sources for Energy Information - New York State,Sources for Energy Information - New York City,Sources for Energy Information - Other,Sources for Real Estate Information - Web Search,Sources for Real Estate Information - Industry Publications,Sources for Real Estate Information - Professional Organizations,Sources for Real Estate Information - Government Regulations,Sources for Real Estate Information - Tradeshows,Sources for Real Estate Information - Word of Mouth,Sources for Real Estate Information - None,Energy Efficient Equipment Policy,Familiarity with Energy Star,Building Efficiency - Energy Star,Building Efficiency - LEED,Building Efficiency - Zero Net Energy,Building Efficiency - None
1,NYSEG,NA,Steuben,Southern Tier,6,Existing,Mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,2008,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,4,5,4,5,5,5,5,3,4,5,2,4,Yes,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Don’t know,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,No,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,No,Somewhat familiar,Not mentioned,Not mentioned,Not mentioned,Mentioned
2,NYSEG,Niagara Mohawk Power Corporation,Broome,Southern Tier,6,Existing,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,2012,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,4,5,5,3,5,5,4,5,4,5,1,5,Yes,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,No,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Yes,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,No,Not at all familiar,Don’t know,Don’t know,Don’t know,Don’t know
3,NYSEG,NA,Chenango,Southern Tier,6,Existing,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,2012,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,2,3,5,4,2,5,4,2,5,1,3,5,Yes,Not mentioned,Mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Yes,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,No,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,No,Very familiar,Not mentioned,Not mentioned,Not mentioned,Mentioned
4,NYSEG,NA,Tompkins,Southern Tier,6,Existing,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,2013,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,5,5,4,5,3,3,5,4,4,5,2,5,Yes,Not mentioned,Mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Yes,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Yes,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,No,Very familiar,Not mentioned,Not mentioned,Not mentioned,Mentioned
5,NYSEG,Niagara Mohawk Power Corporation,Tompkins,Southern Tier,6,Existing,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,2013,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,5,5,5,5,4,5,3,3,4,5,1,5,Yes,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Mentioned,Yes,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,No,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,No,Very familiar,Don’t know,Don’t know,Don’t know,Don’t know
6,NYSEG,Niagara Mohawk Power Corporation,Broome,Southern Tier,6,Existing,Mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,2013,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,5,3,5,3,3,5,3,3,3,3,3,4,No,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,No,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,No,Somewhat familiar,Don’t know,Don’t know,Don’t know,Don’t know
7,National Grid,New Wave Energy Corp.,Saratoga,Capital District,5,Existing,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,2013,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,5,5,5,5,5,5,5,5,5,5,5,5,No,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Yes,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Don’t know,Not at all familiar,Don’t know,Don’t know,Don’t know,Don’t know
8,National Grid,NA,Rensselaer,Capital District,5,Existing,Mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,2012,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,5,2,4,2,4,5,4,4,5,2,3,5,No,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,No,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Yes,Somewhat familiar,Not mentioned,Not mentioned,Not mentioned,Mentioned
9,National Grid,NA,Montgomery,Mohawk Valley,6,Existing,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,2013,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,No,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,No,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Very familiar,Don’t know,Don’t know,Don’t know,Don’t know
10,National Grid,NA,Washington,Capital District,5,Existing,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,2004,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,4,3,3,3,2,4,2,3,2,Don’t know,2,5,No,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,No,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Programmed skip,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Somewhat familiar,Don’t know,Don’t know,Don’t know,Don’t know
