OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,BLOCKCE20,GEOID20,NAME20,MTFCC20,UR20,UACE20,UATYPE20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20
1,36,119,006801,2015,361190068012015,Block 2015,G5040, , , ,S,28214,0,+40.9754249,-073.7803400
2,36,119,006801,3015,361190068013015,Block 3015,G5040, , , ,S,13225,0,+40.9692374,-073.7830913
3,36,119,006801,3025,361190068013025,Block 3025,G5040, , , ,S,10480,0,+40.9670715,-073.7858551
4,36,119,008200,1013,361190082001013,Block 1013,G5040, , , ,S,3364,0,+41.0177058,-073.6763091
5,36,119,006802,3011,361190068023011,Block 3011,G5040, , , ,S,185916,0,+40.9577358,-073.7913959
6,36,119,006802,3033,361190068023033,Block 3033,G5040, , , ,S,49848,0,+40.9552533,-073.7870673
7,36,119,006801,3020,361190068013020,Block 3020,G5040, , , ,S,9742,0,+40.9670974,-073.7835677
8,36,119,014907,2022,361190149072022,Block 2022,G5040, , , ,S,11540,0,+41.3261281,-073.7371236
9,36,119,014908,1010,361190149081010,Block 1010,G5040, , , ,S,22174,0,+41.2901027,-073.7662851
10,36,119,014908,1021,361190149081021,Block 1021,G5040, , , ,S,14268,0,+41.2885074,-073.7657841
11,36,119,013202,1032,361190132021032,Block 1032,G5040, , , ,S,11983,0,+41.1441636,-073.8227669
12,36,119,001900,1018,361190019001018,Block 1018,G5040, , , ,S,56606,0,+40.9611130,-073.8708356
13,36,119,002201,1030,361190022011030,Block 1030,G5040, , , ,S,98473,0,+40.9548293,-073.8286894
14,36,119,006000,4001,361190060004001,Block 4001,G5040, , , ,S,3434,0,+40.9210819,-073.7730163
15,36,119,008602,3006,361190086023006,Block 3006,G5040, , , ,S,45306,0,+41.0305187,-073.7149397
16,36,119,013900,4029,361190139004029,Block 4029,G5040, , , ,S,14893,0,+41.1993418,-073.8879691
17,36,119,012304,1007,361190123041007,Block 1007,G5040, , , ,S,5216,0,+41.1500762,-073.6846716
18,36,119,006000,1007,361190060001007,Block 1007,G5040, , , ,S,3019,0,+40.9187244,-073.7745052
19,36,119,010300,1005,361190103001005,Block 1005,G5040, , , ,S,14026,0,+41.0025047,-073.8817011
20,36,119,010901,1011,361190109011011,Block 1011,G5040, , , ,S,23515,0,+41.0717854,-073.7972734
21,36,119,007700,1017,361190077001017,Block 1017,G5040, , , ,S,141499,0,+40.9847299,-073.6779229
22,36,119,014809,1009,361190148091009,Block 1009,G5040, , , ,S,20759,0,+41.2768800,-073.7728232
23,36,119,014809,4011,361190148094011,Block 4011,G5040, , , ,S,11469,0,+41.2671093,-073.7757914
24,36,119,014901,4012,361190149014012,Block 4012,G5040, , , ,S,264523,0,+41.2744337,-073.7611824
25,36,119,012102,1033,361190121021033,Block 1033,G5040, , , ,S,10494,0,+41.1094678,-073.7906273
26,36,119,011800,1002,361190118001002,Block 1002,G5040, , , ,S,249762,0,+41.1474444,-073.8184106
27,36,119,010100,3003,361190101003003,Block 3003,G5040, , , ,S,29704,0,+40.9894392,-073.8055106
28,36,119,012202,1000,361190122021000,Block 1000,G5040, , , ,S,14354,0,+41.1467114,-073.7868842
29,36,119,002104,2004,361190021042004,Block 2004,G5040, , , ,S,3861,0,+40.9700466,-073.8361221
30,36,119,002204,4001,361190022044001,Block 4001,G5040, , , ,S,11381,0,+40.9427800,-073.8521229
31,36,119,011800,3003,361190118003003,Block 3003,G5040, , , ,S,242600,552,+41.1261642,-073.8205571
32,36,119,011800,5016,361190118005016,Block 5016,G5040, , , ,S,39025,0,+41.1357601,-073.8002745
