OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20
1,36,119,000101,36119000101,1.01,Census Tract,G5020,S,255902,0,+40.9263585,-073.8981556
2,36,119,000103,36119000103,1.03,Census Tract,G5020,S,350777,0,+40.9293652,-073.9022180
3,36,119,000104,36119000104,1.04,Census Tract,G5020,S,151708,808783,+40.9287188,-073.9049967
4,36,119,000202,36119000202,2.02,Census Tract,G5020,S,522565,410704,+40.9213113,-073.9085756
5,36,119,000203,36119000203,2.03,Census Tract,G5020,S,472670,178986,+40.9163028,-073.9076863
6,36,119,000204,36119000204,2.04,Census Tract,G5020,S,187850,0,+40.9217813,-073.8986790
7,36,119,000205,36119000205,2.05,Census Tract,G5020,S,178214,0,+40.9180131,-073.8989354
8,36,119,000300,36119000300,3,Census Tract,G5020,S,385818,0,+40.9316565,-073.8962788
9,36,119,000401,36119000401,4.01,Census Tract,G5020,S,481077,458003,+40.9386815,-073.9021226
10,36,119,000403,36119000403,4.03,Census Tract,G5020,S,408654,725214,+40.9441946,-073.9008152
11,36,119,000404,36119000404,4.04,Census Tract,G5020,S,189026,0,+40.9454554,-073.8960960
12,36,119,000501,36119000501,5.01,Census Tract,G5020,S,265267,0,+40.9402884,-073.8880085
13,36,119,000502,36119000502,5.02,Census Tract,G5020,S,189392,0,+40.9368431,-073.8915729
14,36,119,000601,36119000601,6.01,Census Tract,G5020,S,262983,0,+40.9443286,-073.8854062
15,36,119,000602,36119000602,6.02,Census Tract,G5020,S,404747,0,+40.9439254,-073.8918149
16,36,119,000701,36119000701,7.01,Census Tract,G5020,S,1217004,0,+40.9624398,-073.8888428
17,36,119,000702,36119000702,7.02,Census Tract,G5020,S,712538,2179463,+40.9667662,-073.8896752
18,36,119,000801,36119000801,8.01,Census Tract,G5020,S,1157213,0,+40.9614778,-073.8811316
19,36,119,000802,36119000802,8.02,Census Tract,G5020,S,818618,0,+40.9572942,-073.8762893
20,36,119,000803,36119000803,8.03,Census Tract,G5020,S,820810,0,+40.9524949,-073.8864399
21,36,119,000900,36119000900,9,Census Tract,G5020,S,2520109,0,+40.9739642,-073.8704320
22,36,119,001000,36119001000,10,Census Tract,G5020,S,204991,0,+40.9368537,-073.8846749
23,36,119,001101,36119001101,11.01,Census Tract,G5020,S,175782,0,+40.9338247,-073.8895401
24,36,119,001102,36119001102,11.02,Census Tract,G5020,S,745150,0,+40.9307447,-073.8840379
25,36,119,001200,36119001200,12,Census Tract,G5020,S,422779,0,+40.9274602,-073.8919786
26,36,119,001301,36119001301,13.01,Census Tract,G5020,S,1425478,0,+40.9210949,-073.8863956
27,36,119,001302,36119001302,13.02,Census Tract,G5020,S,367782,0,+40.9122351,-073.8889545
28,36,119,001304,36119001304,13.04,Census Tract,G5020,S,173217,0,+40.9128612,-073.8933427
29,36,119,001305,36119001305,13.05,Census Tract,G5020,S,196566,0,+40.9160570,-073.8953462
30,36,119,001401,36119001401,14.01,Census Tract,G5020,S,1747131,59198,+40.9249893,-073.8720643
31,36,119,001402,36119001402,14.02,Census Tract,G5020,S,653156,0,+40.9168241,-073.8756458
32,36,119,001403,36119001403,14.03,Census Tract,G5020,S,445380,0,+40.9103700,-073.8813686
33,36,119,001502,36119001502,15.02,Census Tract,G5020,S,434911,0,+40.9042331,-073.8619505
34,36,119,001503,36119001503,15.03,Census Tract,G5020,S,775771,355475,+40.9086985,-073.8703224
35,36,119,001504,36119001504,15.04,Census Tract,G5020,S,1182546,0,+40.9132127,-073.8620694
36,36,119,001505,36119001505,15.05,Census Tract,G5020,S,238964,0,+40.9109538,-073.8539552
37,36,119,001600,36119001600,16,Census Tract,G5020,S,1929300,0,+40.9429085,-073.8756218
38,36,119,001701,36119001701,17.01,Census Tract,G5020,S,756780,0,+40.9492845,-073.8692896
39,36,119,001702,36119001702,17.02,Census Tract,G5020,S,1345026,0,+40.9490085,-073.8597547
40,36,119,001800,36119001800,18,Census Tract,G5020,S,469197,0,+40.9585957,-073.8667199
41,36,119,001900,36119001900,19,Census Tract,G5020,S,669511,0,+40.9645839,-073.8659675
42,36,119,002000,36119002000,20,Census Tract,G5020,S,4805772,627991,+40.9729901,-073.8543255
43,36,119,002101,36119002101,21.01,Census Tract,G5020,S,1112514,0,+40.9776596,-073.8348270
44,36,119,002103,36119002103,21.03,Census Tract,G5020,S,1469608,0,+40.9679192,-073.8212814
45,36,119,002104,36119002104,21.04,Census Tract,G5020,S,1306702,0,+40.9620900,-073.8363333
46,36,119,002105,36119002105,21.05,Census Tract,G5020,S,1496856,0,+40.9815047,-073.8218346
47,36,119,002106,36119002106,21.06,Census Tract,G5020,S,325593,19400,+40.9733476,-073.8256948
48,36,119,002107,36119002107,21.07,Census Tract,G5020,S,545868,27390,+40.9694618,-073.8296011
49,36,119,002201,36119002201,22.01,Census Tract,G5020,S,1019023,0,+40.9548092,-073.8353763
50,36,119,002202,36119002202,22.02,Census Tract,G5020,S,1251772,0,+40.9462291,-073.8416946
51,36,119,002203,36119002203,22.03,Census Tract,G5020,S,350766,0,+40.9494681,-073.8494167
52,36,119,002204,36119002204,22.04,Census Tract,G5020,S,1941966,0,+40.9360355,-073.8456287
53,36,119,002300,36119002300,23,Census Tract,G5020,S,1546739,0,+40.9377276,-073.8623540
54,36,119,002401,36119002401,24.01,Census Tract,G5020,S,348542,0,+40.9327259,-073.8547288
55,36,119,002402,36119002402,24.02,Census Tract,G5020,S,309885,0,+40.9267930,-073.8447377
56,36,119,002403,36119002403,24.03,Census Tract,G5020,S,874768,0,+40.9196764,-073.8505663
57,36,119,002404,36119002404,24.04,Census Tract,G5020,S,976847,0,+40.9235457,-073.8556612
58,36,119,002405,36119002405,24.05,Census Tract,G5020,S,638857,0,+40.9270295,-073.8612327
59,36,119,002600,36119002600,26,Census Tract,G5020,S,1474987,26819,+40.8969325,-073.8269328
60,36,119,002700,36119002700,27,Census Tract,G5020,S,343362,0,+40.9025144,-073.8307981
