OBJECTID,MUSYM
1,LcA
2,Pa
3,RdB
4,Ff
5,Ce
6,LcA
7,RgB
8,Ce
9,Ff
10,Sh
11,Sh
12,Sm
13,Ff
14,LcB
15,Ra
16,LcA
17,RdA
18,Ff
19,RgB
20,Pa
21,RgB
22,RdB
23,Ce
24,LcB
25,Ff
26,RgB
27,Ce
28,LcB
29,RdB
30,Sh
31,RdB
32,Ff
33,Sm
34,RdB
35,Sh
36,Sh
37,RdB
38,Sh
39,LcA
40,Sh
41,Sh
42,LcA
43,RgB
44,Ff
45,LcB
46,Sh
47,LcB
48,Sh
49,Ff
50,Ce
51,Sm
52,Sm
53,RdB
54,RdB
55,Ff
56,Ff
57,Sh
58,Sm
59,LeB
60,Sh
61,RdB
62,Ff
63,Sh
64,Pa
65,LcB
66,Sh
67,Ce
68,Ff
69,Fr
70,Sh
71,Ff
72,Sh
73,LcA
74,Sh
75,Ff
76,LeB
77,Sh
78,LcB
79,Sm
80,Ip
81,Pa
82,RdB
83,RdA
84,LcB
85,Sh
86,RdB
87,RdB
88,Sh
89,LcB
90,Ce
91,Ra
92,Sm
93,LcB
94,Sh
95,Pc
96,RdB
97,RgB
98,LcB
99,LcB
100,RdB
101,Pc
102,LcA
103,Sh
104,RdB
105,Sh
106,Sh
107,LeB
108,Sh
109,LeB
110,RdA
111,LcA
112,LcA
113,RdA
114,LcB
115,Ce
116,Ce
117,Sh
118,Sh
119,Ff
120,Sh
121,LcB
122,RdB
123,LcB
124,RdB
125,RdB
126,RdB
127,Ff
128,LcB
129,Pa
130,Pa
131,RdB
132,Sh
133,Sh
134,RdA
135,RgB
136,LeB
137,LcB
138,LcB
139,Sm
140,LcA
141,Sh
142,LcB
143,LeB
144,Sm
145,Ff
146,Fr
147,Fr
148,Sh
149,Ce
150,Pa
151,Sh
152,LeB
153,LeB
154,Sh
155,LcB
156,RdB
157,LeB
158,LeB
159,Sh
160,RgB
161,Fr
162,RdA
163,Ff
164,Pa
165,LeB
166,Sm
167,Ra
168,Sh
169,Pa
170,Sh
171,Ra
172,LcB
173,LcA
174,Sh
175,Pa
176,Sh
177,Sh
178,Pc
179,RdB
180,LeB
181,LeB
182,LcB
183,LcB
184,Sh
185,Ff
186,Sh
187,LcA
188,RgB
189,Sh
190,LcB
191,Ce
192,LcB
193,Sh
194,RdB
195,RdB
196,LcB
197,Sh
198,LcA
199,LcB
200,LcB
201,Ff
202,LcB
203,Ff
204,LcA
205,LcA
206,LcB
207,LeB
208,Sh
209,Sh
210,LcA
211,LcB
212,Pa
213,Sh
214,Sh
215,Sh
216,Ff
217,Pc
218,LeB
219,Pa
220,Pa
221,Pa
222,LcB
223,Pc
224,Pc
225,Pa
226,LcB
227,Ff
228,RgB
229,Pa
230,RdB
231,Ce
232,Sh
233,Ce
234,Sh
235,RdB
236,RdB
237,Ff
238,Sh
239,LeB
240,RdB
241,Sh
242,Fr
243,Pa
244,Pa
245,RdB
246,LcB
247,Ce
248,LcA
249,Pa
250,Ff
251,LcA
252,LcB
253,Sm
254,Ff
255,Sh
256,Sm
257,Sm
258,Sh
259,Pa
260,RdA
261,Sh
262,Pc
263,Sm
264,LcB
265,LcB
266,Sh
267,Pa
268,Pa
269,RgB
270,RdB
271,Sh
272,LcB
273,LcB
274,Ff
275,LcB
276,Ce
277,RdB
278,RdB
279,Ip
280,Ce
281,Ff
282,LcA
283,LcB
284,Sh
285,Sh
286,Sm
287,Sh
288,RdA
289,RdB
290,Ce
291,Sm
292,LcB
293,LeB
294,RdB
295,Sh
296,LcB
297,Pa
298,Ff
299,LeB
300,Pa
301,Sm
302,RdB
303,LcB
304,LcA
305,Sm
306,Sh
307,Sh
308,RgB
309,RdB
310,RdA
311,Ff
312,RgB
313,Sh
314,LcB
315,LcA
316,Pa
317,Sh
318,RdB
319,LcB
320,LcA
321,Sm
322,Ce
323,LcA
324,Sh
325,LeB
326,LcB
327,RdB
328,RgB
329,LcA
330,LcA
331,LeB
332,Pa
333,Pa
334,RdB
335,LcB
336,LcA
337,RgB
338,Ce
339,Pa
340,LcB
341,RdA
342,Sm
343,Ce
344,LcB
345,LeB
346,RdB
347,Pa
348,Sh
349,RdA
350,RdA
351,Sh
352,Sh
353,Pa
354,Sh
355,Pa
356,RdA
357,RdA
358,LcB
359,Ff
360,RgB
361,Pa
362,Sm
363,RdA
364,Sh
365,Sh
366,Sh
367,LcA
368,RdA
369,Sh
370,Fr
371,RdB
372,LcB
373,LeB
374,Ra
375,Pa
376,Ff
377,Pa
378,RgB
379,LcB
380,RdB
381,RdB
382,Pa
383,Ce
384,Sh
385,LcB
386,RdB
387,Pc
388,LcA
389,Ff
390,RdB
391,Fr
392,Sh
393,Pa
394,Sm
395,LcB
396,RdA
397,LeB
398,RdB
399,LcB
400,Ce
401,Fr
402,LcB
403,LcB
404,Ce
405,Sm
406,Sh
407,RdB
408,Fr
409,Sm
410,LeB
411,Pa
412,Sh
413,RdA
414,RdA
415,Ra
416,Pa
417,RdA
418,LcA
419,RdB
420,LcB
421,RgB
422,RgB
423,LcA
424,Sh
425,Sh
426,LcB
427,Ff
428,LcA
429,Ff
430,Sh
431,RdB
432,Fr
433,LcB
434,Pa
435,Sm
436,LcB
437,Sh
438,Pa
439,Pa
440,LcB
441,Pa
442,LcB
443,Ce
444,Sm
445,Ce
446,LcB
447,Sh
448,Pa
449,Ff
450,Sm
451,Ff
452,Ce
453,LcB
454,Ce
455,Ce
456,Pa
457,LeB
458,Sh
459,RdA
460,Sh
461,RdA
462,RdA
463,Sh
464,Pa
465,Sh
466,Ce
467,Sm
468,Sh
469,Sh
470,LcA
471,Ra
472,LcB
473,Ff
474,Sm
475,LcA
476,RdA
477,LcA
478,LcB
479,LcB
480,LeB
481,RdB
482,Sh
483,Pc
484,LcA
485,LcB
486,Sh
487,Sh
488,Ff
489,LcB
490,LeB
491,Ff
492,LcB
493,Sh
494,Ff
495,Pa
496,LeB
497,LcB
498,RdB
499,RdB
500,LcB
501,Ff
502,Ce
503,RdB
504,Sh
505,Pa
506,LcB
507,Sh
508,LeB
509,RdB
510,Ff
511,Ra
512,Sh
513,Fr
514,Ff
515,LcB
516,Sh
517,Pa
518,RdB
519,LcB
520,Sh
521,LcB
522,Fr
523,Sh
