OBJECTID,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,SHAPEAREA,SHAPELEN
1,NY119,3,CrC,309703,130508.344166405,1490.89299045194
2,NY119,3,CuD,309706,111171.489563452,2042.53430323998
3,NY119,3,ChD,309696,557407.525001662,7001.53979804163
4,NY119,3,CuD,309706,171702.661044352,1635.96287233459
5,NY119,3,CtC,309705,193782.226075442,1811.50993561168
6,NY119,3,PnD,309723,117826.667475223,1706.98533154775
7,NY119,3,CrC,309703,199404.447007878,1900.70600996821
8,NY119,3,Pa,309719,130421.002744273,1631.80719772331
9,NY119,3,PnC,309722,72482.9593205436,1440.71812108027
10,NY119,3,W,309689,88103.2919551937,1327.34151297341
11,NY119,3,Pa,309719,138995.936241627,1619.36456164016
12,NY119,3,CsD,309704,231387.554525574,3429.47119259401
13,NY119,3,Ce,309693,542391.735345104,3359.47829796365
14,NY119,3,ClD,309700,457247.510767044,5146.22976966804
15,NY119,3,RdB,309732,75981.2007693829,1392.60495565779
16,NY119,3,CrC,309703,134547.905919015,2349.35958678933
17,NY119,3,PnC,309722,169168.079417104,1602.37915375274
18,NY119,3,CtC,309705,207745.531337559,2760.52195314441
19,NY119,3,WdB,309691,163402.086369349,1805.42027764149
20,NY119,3,ChD,309696,133331.224637216,1313.01535283717
21,NY119,3,CrC,309703,46076.0823045577,817.766631563647
22,NY119,3,CtC,309705,107743.897294619,1742.69806379401
23,NY119,3,PnB,309721,308476.371298424,2907.75414585955
24,NY119,3,RdB,309732,47012.2870941174,890.298734666326
25,NY119,3,UvC,309687,358700.909609999,3750.96391953482
26,NY119,3,Sm,309744,213214.124419031,2837.949924738
27,NY119,3,ChD,309696,52774.221739996,1015.65937474633
28,NY119,3,HrF,309712,41762.6707283299,1023.72296405032
29,NY119,3,HrF,309712,173467.877729088,2407.35158381411
30,NY119,3,ClC,309699,89467.1161567958,1367.122364665
31,NY119,3,ClD,309700,45896.2415431416,1152.62099573165
32,NY119,3,Sh,309743,35259.9159378234,883.141958054587
33,NY119,3,RhB,309735,1613240.52510427,17241.8046497302
34,NY119,3,WdC,309692,1438113.10420448,16109.2175041293
35,NY119,3,RhD,309737,43341.0991415536,844.693081541008
36,NY119,3,PnC,309722,2315941.83524979,12794.3502690935
37,NY119,3,ChC,309695,92413.4989253034,1393.27872417981
38,NY119,3,RdB,309732,323750.270268384,2141.97832964784
39,NY119,3,PnC,309722,792264.966241052,3671.62833336582
40,NY119,3,Sh,309743,42618.2617030428,847.049982096331
41,NY119,3,PnC,309722,128021.133160212,2339.23350230915
42,NY119,3,CrC,309703,23270.9847772205,602.181934057939
43,NY119,3,ClB,309698,70052.0032548713,1387.15909448261
44,NY119,3,LcB,309717,142316.569885135,1854.30547172658
45,NY119,3,Ff,309707,136144.754145904,1610.68933961889
46,NY119,3,RhB,309735,122483.146857252,1847.76999608711
47,NY119,3,HnB,309709,231117.56590267,2154.08749491438
48,NY119,3,ChE,309697,443047.639319444,4488.30383071965
49,NY119,3,Sh,309743,1377868.67766538,12702.30268464
50,NY119,3,PnB,309721,271131.755283963,2987.39731381719
51,NY119,3,CrC,309703,321224.914198042,3751.03939011965
52,NY119,3,Ff,309707,125556.03072226,3233.62327235449
53,NY119,3,CsD,309704,1315845.04974368,13166.4367883844
54,NY119,3,PnD,309723,151724.419765737,3188.27745982105
55,NY119,3,CrC,309703,204900.763395508,2143.23871421363
56,NY119,3,WdC,309692,164032.719729628,2102.65507660009
57,NY119,3,PoD,309726,20123.020502142,549.994736275122
58,NY119,3,WdB,309691,511524.06913168,5763.99731415049
59,NY119,3,Ff,309707,131692.588125333,2124.879928013
60,NY119,3,ChD,309696,601495.698784884,4283.31938239533
61,NY119,3,CuD,309706,266082.004149433,2678.96384225233
62,NY119,3,Ce,309693,983490.458896796,4476.58219092685
63,NY119,3,PnC,309722,66958.3367572837,1069.48281600871
64,NY119,3,Pv,309728,485908.440536533,2675.44454019264
65,NY119,3,WdB,309691,381713.49632191,5551.39737565573
66,NY119,3,ChD,309696,119729.655834738,2879.24361260542
