OBJECTID,STORIES,BLDG_COVER,TOT_COVERA,MUN,GENCODE,SUBZONE1,MIN_LOT,MAX_UNITS,MAX_FAR,MAX_HGHT,OBJECTID_1,ACRES,TOWN,SUBZONE2,SUBZONE3,OVERLAY,ZONE_NAME,GENZDESC,SHAPE_LENG,ZONING,OBJECTID_12,YEARUPDATED,SHAPEAREA,SHAPELEN
1,3,40,75,BED,9, ,20000,0,1,45,7,24.69822047,BED, , , ,Light Industrial,"Manufacturing, Industrial, Warehouse and Public Utilities",5335.43484436,LI,,2011,1075854.48373452,5335.43484436503
2,3,15,30,BED,2, ,20000,2,0,35,8,3.33916109,BED, , , ,Residence One-Half-Acre,1 to 2 DU's per Acre (Minimum Lot Areas of 0.5 to 1 Acre),1544.24521736,1/2A,,2011,145453.857092576,1544.2452173531
3,3,15,30,BED,2, ,20000,2,0,35,9,10.06583911,BED, , , ,Residence One-Half-Acre,1 to 2 DU's per Acre (Minimum Lot Areas of 0.5 to 1 Acre),3108.22023658,1/2A,,2011,438467.951727183,3108.22023658096
4,3,15,70,BED,8, ,43560,0,0,35,10,9.46652714,BED, , , ,Planned Office,"Business, Office and Commercial",3363.17524955,PB-O,,2011,412361.922239958,3363.17524955435
5,3,20,40,BED,3, ,10000,4,0,35,11,115.36419933,BED, , , ,Residence One-Quarter-Acre,"Over 2 to 8.9 DU's per Acre (Minimum Lot Area from 4,900 to 20,000 s.f.)",18491.6921424,1/4A,,2011,5025264.52261605,18491.6921423727
6,3,3,8,BED,1, ,174240,0.25,0,35,12,3.66781826,BED, , , ,Residence Four-Acre,Less Than 1 DU per Acre (Minimum Lot Area Over 1 Acre),1956.01656888,4A,,2011,159770.163415119,1956.01656887755
7,3,3,8,BED,1, ,174240,0.25,0,35,13,1374.53834493,BED, , , ,Residence Four-Acre,Less Than 1 DU per Acre (Minimum Lot Area Over 1 Acre),53310.7851749,4A,,2011,59874890.3051779,53310.7851748972
8,3,20,80,BED,8, ,0,0,1,35,14,9.22849209,BED, , , ,Neighborhood Business,"Business, Office and Commercial",3166.61611524,NB,,2011,401993.11551637,3166.61611523429
9,3,10,20,BED,2, ,40000,1,0,35,15,709.97000681,BED, , , ,Residence One-Acre,1 to 2 DU's per Acre (Minimum Lot Areas of 0.5 to 1 Acre),45448.1721081,1A,,2011,30926293.496846,45448.1721081003
10,3,15,30,BED,2, ,20000,2,0,35,16,4.98036631,BED, , , ,Residence One-Half-Acre,1 to 2 DU's per Acre (Minimum Lot Areas of 0.5 to 1 Acre),1869.0481894,1/2A,,2011,216944.75665461,1869.04818939916
11,3,10,20,BED,2, ,40000,1,0,35,17,12.39692277,BED, , , ,Residence One-Acre,1 to 2 DU's per Acre (Minimum Lot Areas of 0.5 to 1 Acre),3035.63388275,1A,,2011,540009.955657285,3035.63388273732
12,3,6,14,BED,1, ,87120,0.5,0,35,1,338.15667313,BED, , , ,Residence Two-Acre,Less Than 1 DU per Acre (Minimum Lot Area Over 1 Acre),20720.754231,2A,,2011,14730104.6815438,20720.7542310495
13,3,10,20,BED,2, ,40000,1,0,35,2,82.51635532,BED, , , ,Residence One-Acre,1 to 2 DU's per Acre (Minimum Lot Areas of 0.5 to 1 Acre),9763.00526981,1A,,2011,3594412.43766785,9763.00526980207
14,3,10,20,BED,2, ,40000,1,0,35,3,34.46633363,BED, , , ,Residence One-Acre,1 to 2 DU's per Acre (Minimum Lot Areas of 0.5 to 1 Acre),5372.98812628,1A,,2011,1501353.4927417,5372.98812627877
15,3,10,20,BED,2, ,40000,1,0,35,4,44.32220935,BED, , , ,Residence One-Acre,1 to 2 DU's per Acre (Minimum Lot Areas of 0.5 to 1 Acre),7748.66684606,1A,,2011,1930675.43915272,7748.66684605264
16,3,20,70,BED,8, ,43560,0,1,35,5,12.57652367,BED, , , ,Planned Business - Retail,"Business, Office and Commercial",4224.36040107,PB-R,,2011,547833.37123728,4224.3604010714
17,3,15,30,BED,2, ,20000,2,0,35,6,57.12358026,BED, , , ,Residence One-Half-Acre,1 to 2 DU's per Acre (Minimum Lot Areas of 0.5 to 1 Acre),7969.33160794,1/2A,,2011,2488303.15595685,7969.33160793501
18,3,10,20,BED,2, ,40000,1,0,35,18,127.7969163,BED, , , ,Residence One-Acre,1 to 2 DU's per Acre (Minimum Lot Areas of 0.5 to 1 Acre),12567.6120905,1A,,2011,5566833.67389203,12567.6120905561
19,3,6,14,BED,1, ,87120,0.5,0,35,19,909.9768818,BED, , , ,Residence Two-Acre,Less Than 1 DU per Acre (Minimum Lot Area Over 1 Acre),42171.0969191,2A,,2011,39638592.9710254,42171.0969190906
20,3,15,30,BED,2, ,20000,2,0,35,20,24.79802182,BED, , , ,Residence One-Half-Acre,1 to 2 DU's per Acre (Minimum Lot Areas of 0.5 to 1 Acre),9158.07848373,1/2A,,2011,1080201.83061749,9158.07848372591
21,3,6,14,BED,1, ,87120,0.5,0,35,21,69.89064013,BED, , , ,Residence Two-Acre,Less Than 1 DU per Acre (Minimum Lot Area Over 1 Acre),8168.10095433,2A,,2011,3044436.28409816,8168.10095432227
22,3,10,20,BED,2, ,40000,1,0,35,22,7.88515765,BED, , , ,Residence One-Acre,1 to 2 DU's per Acre (Minimum Lot Areas of 0.5 to 1 Acre),2253.21040873,1A,,2011,343477.467226246,2253.21040872961
23,3,6,14,BED,1, ,87120,0.5,0,35,23,299.4896801,BED, , , ,Residence Two-Acre,Less Than 1 DU per Acre (Minimum Lot Area Over 1 Acre),31529.2625503,2A,,2011,13045770.465248,31529.2625503356
24,3,10,20,BED,2, ,40000,1,0,35,24,17.09262368,BED, , , ,Residence One-Acre,1 to 2 DU's per Acre (Minimum Lot Areas of 0.5 to 1 Acre),3615.11543937,1A,,2011,744554.687714948,3615.11543936376
25,3,15,30,BED,2, ,20000,2,0,35,25,23.46186264,BED, , , ,Residence One-Half-Acre,1 to 2 DU's per Acre (Minimum Lot Areas of 0.5 to 1 Acre),5588.74365693,1/2A,,2011,1021998.73671602,5588.74365694178
26,3,20,80,BED,8, ,0,0,1,45,26,43.77526364,BED, , , ,Central Business,"Business, Office and Commercial",9254.70802459,CB,,2011,1906850.48432605,9254.70802461091
27,3,40,75,BED,9, ,20000,0,1,45,27,56.72516965,BED, , , ,Light Industrial,"Manufacturing, Industrial, Warehouse and Public Utilities",9732.90337997,LI,,2011,2470948.38998662,9732.90337997799
28,3,20,40,BED,3, ,10000,4,0,35,28,80.24147416,BED, , , ,Residence One-Quarter-Acre,"Over 2 to 8.9 DU's per Acre (Minimum Lot Area from 4,900 to 20,000 s.f.)",8918.32773626,1/4A,,2011,3495318.61455872,8918.32773626785
29,3,20,40,BED,3, ,6000,7.26000023,0,0,29,12.78373204,BED, , , ,Housing for the Elderly,"Over 2 to 8.9 DU's per Acre (Minimum Lot Area from 4,900 to 20,000 s.f.)",4128.855874,EL,,2011,556859.367646977,4128.85587400358
30,3,15,30,BED,2, ,20000,2,0,35,30,23.95495932,BED, , , ,Residence One-Half-Acre,1 to 2 DU's per Acre (Minimum Lot Areas of 0.5 to 1 Acre),7299.00593521,1/2A,,2011,1043478.02776608,7299.005935204
31,2,20,40,BED,4, ,3500,12.44999981,0,35,31,1.07147277,BED, , , ,Residence Village Apartment,"9 to 16 DU's per Acre (Minimum Lot Area from 2,720 to 4,800 s.f.)",931.07696343,VA,,2011,46673.3538452793,931.076963440592
32,3,40,75,BED,4, ,3500,12.44999981,0,45,32,6.34659967,BED, , , ,Diversified Housing,"9 to 16 DU's per Acre (Minimum Lot Area from 2,720 to 4,800 s.f.)",2709.95003783,DH,,2011,276457.881467994,2709.95003783731
33,2,20,40,BED,4, ,3500,12.44999981,0,35,33,3.1833128,BED, , , ,Residence Village Apartment,"9 to 16 DU's per Acre (Minimum Lot Area from 2,720 to 4,800 s.f.)",1858.75840902,VA,,2011,138665.105708876,1858.75840901245
34,3,20,80,BED,8, ,0,0,1,45,34,15.63637697,BED, , , ,Central Business,"Business, Office and Commercial",5114.17576309,CB,,2011,681120.580919208,5114.17576309709
35,3,20,80,BED,8, ,0,0,1,45,35,1.64349059,BED, , , ,Central Business,"Business, Office and Commercial",1505.34051041,CB,,2011,71590.450108343,1505.3405104123
36,2,20,40,BED,4, ,3500,12.44999981,0,35,36,13.96352309,BED, , , ,Residence Village Apartment,"9 to 16 DU's per Acre (Minimum Lot Area from 2,720 to 4,800 s.f.)",4847.3964947,VA,,2011,608251.065847248,4847.39649470949
37,3,15,70,BED,8, ,43560,0,0,35,37,4.00410691,BED, , , ,Planned Office,"Business, Office and Commercial",2199.09001298,PB-O,,2011,174418.897085203,2199.09001299385
38,3,20,80,BED,8, ,0,0,1,45,38,2.93600643,BED, , , ,Central Business,"Business, Office and Commercial",1422.1877303,CB,,2011,127892.440040891,1422.1877302963
39,2,20,40,BED,3, ,10000,8.71000004,0,35,39,87.52066033,BED, , , ,Residence Two-Family,"Over 2 to 8.9 DU's per Acre (Minimum Lot Area from 4,900 to 20,000 s.f.)",15536.9886565,TF,,2011,3812399.96418136,15536.9886565203
40,2,20,40,BED,4, ,3500,12.44999981,0,35,40,10.56821451,BED, , , ,Residence Village Apartment,"9 to 16 DU's per Acre (Minimum Lot Area from 2,720 to 4,800 s.f.)",3722.67963473,VA,,2011,460351.4238639,3722.67963471487
41,3,20,40,BED,3, ,10000,4,0,35,41,7.71037008,BED, , , ,Residence One-Quarter-Acre,"Over 2 to 8.9 DU's per Acre (Minimum Lot Area from 4,900 to 20,000 s.f.)",2924.63084323,1/4A,,2011,335863.720538832,2924.63084322893
42,3,20,40,BED,3, ,10000,4,0,35,42,8.51069906,BED, , , ,Residence One-Quarter-Acre,"Over 2 to 8.9 DU's per Acre (Minimum Lot Area from 4,900 to 20,000 s.f.)",2447.41887675,1/4A,,2011,370726.050955633,2447.41887674891
43,3,20,40,BED,3, ,10000,4,0,35,43,25.41224034,BED, , , ,Residence One-Quarter-Acre,"Over 2 to 8.9 DU's per Acre (Minimum Lot Area from 4,900 to 20,000 s.f.)",4569.62479116,1/4A,,2011,1106957.18904208,4569.62479116227
44,2,20,40,BED,4, ,3500,12.44999981,0,35,44,26.5499086,BED, , , ,Residence Village Apartment,"9 to 16 DU's per Acre (Minimum Lot Area from 2,720 to 4,800 s.f.)",5606.74666806,VA,,2011,1156514.01864975,5606.7466680762
45,3,6,14,BED,1, ,87120,0.5,0,35,45,44.8071877,BED, , , ,Residence Two-Acre,Less Than 1 DU per Acre (Minimum Lot Area Over 1 Acre),6370.6015167,2A,,2011,1951801.09602434,6370.60151671005
46,3,15,30,BED,2, ,20000,2,0,35,46,0.68979055,BED, , , ,Residence One-Half-Acre,1 to 2 DU's per Acre (Minimum Lot Areas of 0.5 to 1 Acre),720.0699306,1/2A,,2011,30047.2763746292,720.069930602832
47,2,20,40,BED,4, ,3500,12.44999981,0,35,48,0.67995432,BED, , , ,Residence Village Apartment,"9 to 16 DU's per Acre (Minimum Lot Area from 2,720 to 4,800 s.f.)",867.53850476,VA,,2011,29618.8103602626,867.538504767682
48,3,40,75,BED,9, ,20000,0,1,45,49,104.26348974,BED, , , ,Light Industrial,"Manufacturing, Industrial, Warehouse and Public Utilities",16694.4747709,LI,,2011,4541717.61328633,16694.4747709107
49,3,15,30,BED,2, ,20000,2,0,35,50,10.72533396,BED, , , ,Residence One-Half-Acre,1 to 2 DU's per Acre (Minimum Lot Areas of 0.5 to 1 Acre),3500.82201341,1/2A,,2011,467195.547461985,3500.82201339168
50,3,6,14,BED,1, ,87120,0.5,0,35,51,24.63632855,BED, , , ,Residence Two-Acre,Less Than 1 DU per Acre (Minimum Lot Area Over 1 Acre),4917.2020455,2A,,2011,1073158.47180868,4917.20204549038
51,3,15,70,BED,8, ,20000,0,0,35,52,2.9887404,BED, , , ,Planned Business - Office (Katonah),"Business, Office and Commercial",1676.50904401,PB-O(K),,2011,130189.531648069,1676.509044014
52,3,15,70,BED,8, ,20000,0,0,35,53,1.52265903,BED, , , ,Planned Business - Office (Katonah),"Business, Office and Commercial",1040.31753191,PB-O(K),,2011,66327.0273421749,1040.31753191929
53,2,20,40,BED,4, ,3500,12.44999981,0,35,54,2.89797398,BED, , , ,Residence Village Apartment,"9 to 16 DU's per Acre (Minimum Lot Area from 2,720 to 4,800 s.f.)",1538.46321894,VA,,2011,126235.74657913,1538.46321893333
54,2,20,40,BED,4, ,3500,12.44999981,0,35,55,22.81398868,BED, , , ,Residence Village Apartment,"9 to 16 DU's per Acre (Minimum Lot Area from 2,720 to 4,800 s.f.)",4765.13903137,VA,,2011,993777.346838174,4765.13903136994
55,3,10,20,BED,2, ,40000,1,0,35,56,7.26425697,BED, , , ,Residence One-Acre,1 to 2 DU's per Acre (Minimum Lot Areas of 0.5 to 1 Acre),2993.50121774,1A,,2011,316431.033796874,2993.50121773185
56,3,10,20,BED,2, ,40000,1,0,35,57,7.83753636,BED, , , ,Residence One-Acre,1 to 2 DU's per Acre (Minimum Lot Areas of 0.5 to 1 Acre),3017.73940737,1A,,2011,341403.083983602,3017.73940736072
57,3,20,80,BED,8, ,0,0,1,45,59,38.70581016,BED, , , ,Central Business,"Business, Office and Commercial",10317.5920317,CB,,2011,1686025.09055371,10317.5920317457
58,3,20,80,BED,8, ,0,0,1,45,60,5.0390187,BED, , , ,Central Business,"Business, Office and Commercial",2748.33293093,CB,,2011,219499.654714523,2748.33293093213
59,3,10,20,BED,2, ,40000,1,0,35,61,30.98749207,BED, , , ,Residence One-Acre,1 to 2 DU's per Acre (Minimum Lot Areas of 0.5 to 1 Acre),5291.79702975,1A,,2011,1349815.15459462,5291.79702973568
60,3,6,14,BED,1, ,87120,0.5,0,35,62,223.3204261,BED, , , ,Residence Two-Acre,Less Than 1 DU per Acre (Minimum Lot Area Over 1 Acre),16287.6910941,2A,,2011,9727837.76102852,16287.6910941051
61,3,15,30,BED,2, ,20000,2,0,35,63,48.42678849,BED, , , ,Residence One-Half-Acre,1 to 2 DU's per Acre (Minimum Lot Areas of 0.5 to 1 Acre),9141.21265913,1/2A,,2011,2109470.90658689,9141.21265912433
62,2,20,40,BED,3, ,10000,8.71000004,0,35,64,53.09501742,BED, , , ,Residence Two-Family,"Over 2 to 8.9 DU's per Acre (Minimum Lot Area from 4,900 to 20,000 s.f.)",7026.71762703,TF,,2011,2312818.95902102,7026.71762704019
63,3,15,30,BED,2, ,20000,2,0,35,65,567.17363967,BED, , , ,Residence One-Half-Acre,1 to 2 DU's per Acre (Minimum Lot Areas of 0.5 to 1 Acre),39856.9072055,1/2A,,2011,24706083.7438817,39856.9072054924
64,3,20,40,BED,3, ,10000,4,0,35,66,4.51828833,BED, , , ,Residence One-Quarter-Acre,"Over 2 to 8.9 DU's per Acre (Minimum Lot Area from 4,900 to 20,000 s.f.)",2177.34185874,1/4A,,2011,196816.639616034,2177.34185875449
65,3,20,80,BED,8, ,0,0,1,35,67,1.42212256,BED, , , ,Neighborhood Business,"Business, Office and Commercial",996.57012886,NB,,2011,61947.6585229908,996.570128863793
66,3,6,14,BED,1, ,87120,0.5,0,35,68,182.89182254,BED, , , ,Residence Two-Acre,Less Than 1 DU per Acre (Minimum Lot Area Over 1 Acre),12438.4371305,2A,,2011,7966767.78976945,12438.4371304934
