YEAR,STATE,COUNTY,NAAQS POLLUTANT,NAAQS LEVEL AND AVERAGING TIME,NAAQS STANDARD,ATTAINMENT STATUS
2023,New York,Albany,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Allegany,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Bronx,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Maintenance
2023,New York,Broome,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Cattaraugus,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Cayuga,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Chautauqua,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Chemung,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Chenango,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Clinton,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Columbia,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Cortland,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Delaware,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Dutchess,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Erie,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Essex,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
