fuelFormulationID,fuelSubtypeID,RVP,sulfurLevel,ETOHVolume,MTBEVolume,ETBEVolume,TAMEVolume,aromaticContent,olefinContent,benzeneContent,e200,e300,volToWtPercentOxy,BioDieselEsterVolume,CetaneIndex,PAHContent,T50,T90,FIP
10,10,6.9,30,0,0,0,0,26.1,5.6,1,41.09,83.09,,0,0,0,218,329,36001
20,20,0,11,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36001
30,30,0,7.6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36001
50,51,7.7,11,85,0,0,0,0,0,0,999,999,,0,0,0,999,999,36001
90,90,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36001
96,10,8.7,338,0,0,0,0,26.4,11.9,1.64,50,83,,0,0,0,199.816,329.409,36001
97,10,6.6,150,0,0,0,0,24,11,0.8,52,84,,0,0,0,195.735,324.864,36001
98,12,8.8,30,10,0,0,0,25.77,8.44,0.65,47.61,84.89,,0,0,0,212.282,321.719,36001
99,12,8.8,30,10,0,0,0,25.77,8.44,0.65,47.61,84.89,,0,0,0,212.282,321.719,36001
8105,12,8.59,23.1,10,0,0,0,24.1813,9.42796,0.985782,42.3813,83.9552,,0,0,0,215.365,325.067,36001
8106,12,12.5,21.158,10,0,0,0,20.4888,10.2143,0.90535,52.8727,85.6809,,0,0,0,182.111,318.384,36001
8107,12,10.5,20.233,10,0,0,0,23.2346,10.7237,0.95485,52.0168,85.6846,,0,0,0,187.018,318.369,36001
8405,10,9,19.6379,0,0,0,0,26.3848,7.68948,0.985782,40.4071,84.4956,,0,0,0,219.394,322.611,36001
8406,10,11.7,21.158,0,0,0,0,22.1888,8.51431,0.91535,46.4727,85.4809,,0,0,0,207.015,318.132,36001
8407,10,9.7,20.233,0,0,0,0,24.9346,9.02371,0.96485,45.6168,85.4846,,0,0,0,208.762,318.115,36001
8705,15,8.85,18.656,15,0,0,0,22.9756,8.825,0.936493,56.3702,85.14,,0,0,0,164.556,320.996,36001
8706,15,12.35,20.1001,15,0,0,0,19.4644,9.7036,0.860083,57.1382,86.3806,,0,0,0,160.533,315.43,36001
8707,15,10.35,19.2213,15,0,0,0,22.0729,10.1875,0.907108,57.018,86.3839,,0,0,0,161.163,315.415,36001
25003,21,0,6,0,0,0,0,0,0,0,0,0,,3.4,0,0,0,0,36001
27001,51,10.5,8,74,0,0,0,0,0,0.16,999,999,,0,0,0,999,999,36001
27002,51,7.7,8,74,0,0,0,0,0,0.16,999,999,,0,0,0,999,999,36001
28001,30,0,7.6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36001
10,10,6.9,30,0,0,0,0,26.1,5.6,1,41.09,83.09,,0,0,0,218,329,36003
20,20,0,11,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36003
30,30,0,7.6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36003
50,51,7.7,11,85,0,0,0,0,0,0,999,999,,0,0,0,999,999,36003
