polProcessID,stateID,countyID,yearID,sourceTypeID,fuelTypeID,IMProgramID,begModelYearID,endModelYearID,inspectFreq,testStandardsID,useIMyn,complianceFactor,FIP
113,36,36001,2019,21,1,8,1996,2017,1,43,Y,97.97,36001
112,36,36001,2019,21,1,8,1996,2017,1,43,Y,97.97,36001
113,36,36001,2019,31,1,8,1996,2017,1,43,Y,97.97,36001
112,36,36001,2019,31,1,8,1996,2017,1,43,Y,97.97,36001
112,36,36001,2019,32,1,8,1996,2017,1,43,Y,97.97,36001
113,36,36001,2019,32,1,8,1996,2017,1,43,Y,97.97,36001
113,36,36001,2019,52,1,8,1996,2017,1,43,Y,88.96,36001
112,36,36001,2019,52,1,8,1996,2017,1,43,Y,88.96,36001
112,36,36001,2019,54,1,8,1996,2017,1,43,Y,61.14,36001
113,36,36001,2019,54,1,8,1996,2017,1,43,Y,61.14,36001
301,36,36001,2019,21,1,10,1996,2017,1,51,Y,97.97,36001
102,36,36001,2019,21,1,10,1996,2017,1,51,Y,97.97,36001
101,36,36001,2019,21,1,10,1996,2017,1,51,Y,97.97,36001
302,36,36001,2019,21,1,10,1996,2017,1,51,Y,97.97,36001
201,36,36001,2019,21,1,10,1996,2017,1,51,Y,97.97,36001
202,36,36001,2019,21,1,10,1996,2017,1,51,Y,97.97,36001
102,36,36001,2019,31,1,10,1996,2017,1,51,Y,97.97,36001
301,36,36001,2019,31,1,10,1996,2017,1,51,Y,97.97,36001
101,36,36001,2019,31,1,10,1996,2017,1,51,Y,97.97,36001
302,36,36001,2019,31,1,10,1996,2017,1,51,Y,97.97,36001
202,36,36001,2019,31,1,10,1996,2017,1,51,Y,97.97,36001
201,36,36001,2019,31,1,10,1996,2017,1,51,Y,97.97,36001
202,36,36001,2019,32,1,10,1996,2017,1,51,Y,97.97,36001
302,36,36001,2019,32,1,10,1996,2017,1,51,Y,97.97,36001
102,36,36001,2019,32,1,10,1996,2017,1,51,Y,97.97,36001
201,36,36001,2019,32,1,10,1996,2017,1,51,Y,97.97,36001
101,36,36001,2019,32,1,10,1996,2017,1,51,Y,97.97,36001
301,36,36001,2019,32,1,10,1996,2017,1,51,Y,97.97,36001
201,36,36001,2019,52,1,10,1996,2017,1,51,Y,88.96,36001
301,36,36001,2019,52,1,10,1996,2017,1,51,Y,88.96,36001
102,36,36001,2019,52,1,10,1996,2017,1,51,Y,88.96,36001
101,36,36001,2019,52,1,10,1996,2017,1,51,Y,88.96,36001
302,36,36001,2019,52,1,10,1996,2017,1,51,Y,88.96,36001
202,36,36001,2019,52,1,10,1996,2017,1,51,Y,88.96,36001
201,36,36001,2019,54,1,10,1996,2017,1,51,Y,61.14,36001
301,36,36001,2019,54,1,10,1996,2017,1,51,Y,61.14,36001
102,36,36001,2019,54,1,10,1996,2017,1,51,Y,61.14,36001
101,36,36001,2019,54,1,10,1996,2017,1,51,Y,61.14,36001
302,36,36001,2019,54,1,10,1996,2017,1,51,Y,61.14,36001
202,36,36001,2019,54,1,10,1996,2017,1,51,Y,61.14,36001
201,36,36001,2019,21,1,1,1968,1980,1,11,N,95.06,36001
202,36,36001,2019,21,1,1,1968,1980,1,11,N,95.06,36001
101,36,36001,2019,21,1,1,1968,1980,1,11,N,95.06,36001
102,36,36001,2019,21,1,1,1968,1980,1,11,N,95.06,36001
201,36,36001,2019,31,1,1,1968,1980,1,11,N,95.06,36001
202,36,36001,2019,31,1,1,1968,1980,1,11,N,95.06,36001
101,36,36001,2019,31,1,1,1968,1980,1,11,N,95.06,36001
102,36,36001,2019,31,1,1,1968,1980,1,11,N,95.06,36001
102,36,36001,2019,32,1,1,1968,1980,1,11,N,95.06,36001
101,36,36001,2019,32,1,1,1968,1980,1,11,N,95.06,36001
201,36,36001,2019,32,1,1,1968,1980,1,11,N,95.06,36001
202,36,36001,2019,32,1,1,1968,1980,1,11,N,95.06,36001
202,36,36001,2019,52,1,1,1968,1980,1,11,N,95.06,36001
101,36,36001,2019,52,1,1,1968,1980,1,11,N,95.06,36001
201,36,36001,2019,52,1,1,1968,1980,1,11,N,95.06,36001
102,36,36001,2019,52,1,1,1968,1980,1,11,N,95.06,36001
202,36,36001,2019,21,1,6,1981,1995,1,33,N,95.06,36001
302,36,36001,2019,21,1,6,1981,1995,1,33,N,95.06,36001
102,36,36001,2019,21,1,6,1981,1995,1,33,N,95.06,36001
101,36,36001,2019,21,1,6,1981,1995,1,33,N,95.06,36001
301,36,36001,2019,21,1,6,1981,1995,1,33,N,95.06,36001
201,36,36001,2019,21,1,6,1981,1995,1,33,N,95.06,36001
302,36,36001,2019,31,1,6,1981,1995,1,33,N,95.06,36001
202,36,36001,2019,31,1,6,1981,1995,1,33,N,95.06,36001
102,36,36001,2019,31,1,6,1981,1995,1,33,N,95.06,36001
201,36,36001,2019,31,1,6,1981,1995,1,33,N,95.06,36001
301,36,36001,2019,31,1,6,1981,1995,1,33,N,95.06,36001
101,36,36001,2019,31,1,6,1981,1995,1,33,N,95.06,36001
102,36,36001,2019,32,1,6,1981,1995,1,33,N,95.06,36001
