sourceTypeID,roadTypeID,roadTypeVMTFraction,FIP
11,1,0.000000,36001
11,2,0.004231,36001
11,3,0.171422,36001
11,4,0.261101,36001
11,5,0.563246,36001
21,1,0.000000,36001
21,2,0.011417,36001
21,3,0.056764,36001
21,4,0.457335,36001
21,5,0.474483,36001
31,1,0.000000,36001
31,2,0.011417,36001
31,3,0.056764,36001
31,4,0.457335,36001
31,5,0.474483,36001
32,1,0.000000,36001
32,2,0.011417,36001
32,3,0.056764,36001
32,4,0.457335,36001
32,5,0.474483,36001
41,1,0.000000,36001
41,2,0.009828,36001
41,3,0.069299,36001
41,4,0.399049,36001
41,5,0.521825,36001
42,1,0.000000,36001
42,2,0.009828,36001
42,3,0.069299,36001
42,4,0.399049,36001
42,5,0.521825,36001
43,1,0.000000,36001
43,2,0.009828,36001
43,3,0.069299,36001
43,4,0.399049,36001
43,5,0.521825,36001
51,1,0.000000,36001
51,2,0.014612,36001
51,3,0.101318,36001
51,4,0.414235,36001
51,5,0.469835,36001
52,1,0.000000,36001
52,2,0.014612,36001
52,3,0.101318,36001
52,4,0.414235,36001
52,5,0.469835,36001
53,1,0.000000,36001
53,2,0.014612,36001
53,3,0.101318,36001
53,4,0.414235,36001
53,5,0.469835,36001
53,1,0.000000,36001
54,2,0.014612,36001
54,3,0.101318,36001
54,4,0.414235,36001
54,5,0.469835,36001
61,1,0.000000,36001
61,2,0.050043,36001
61,3,0.032709,36001
61,4,0.808846,36001
61,5,0.108402,36001
62,1,0.000000,36001
62,2,0.050043,36001
62,3,0.032709,36001
62,4,0.808846,36001
62,5,0.108402,36001
11,1,0.000000,36003
11,2,0.029585,36003
11,3,0.898304,36003
11,4,0.000000,36003
11,5,0.072111,36003
21,1,0.000000,36003
21,2,0.174823,36003
21,3,0.743627,36003
21,4,0.000000,36003
21,5,0.081550,36003
31,1,0.000000,36003
31,2,0.174823,36003
31,3,0.743627,36003
31,4,0.000000,36003
31,5,0.081550,36003
32,1,0.000000,36003
32,2,0.174823,36003
32,3,0.743627,36003
32,4,0.000000,36003
