MonthID,ZoneID,HourID,Temperature,temperatureCV,relHumidity,heatIndex,specificHumidity,relativeHumidityCV,FIP
1,360010,1,22,,65,,,,36001
1,360010,2,23,,66,,,,36001
1,360010,3,22,,67,,,,36001
1,360010,4,22,,69,,,,36001
1,360010,5,21,,68,,,,36001
1,360010,6,21,,69,,,,36001
1,360010,7,22,,69,,,,36001
1,360010,8,23,,69,,,,36001
1,360010,9,25,,66,,,,36001
1,360010,10,25,,65,,,,36001
1,360010,11,26,,63,,,,36001
1,360010,12,29,,65,,,,36001
1,360010,13,30,,61,,,,36001
1,360010,14,28,,57,,,,36001
1,360010,15,28,,57,,,,36001
1,360010,16,27,,61,,,,36001
1,360010,17,26,,60,,,,36001
1,360010,18,25,,62,,,,36001
1,360010,19,25,,62,,,,36001
1,360010,20,24,,60,,,,36001
1,360010,21,23,,60,,,,36001
1,360010,22,23,,61,,,,36001
1,360010,23,23,,61,,,,36001
1,360010,24,23,,65,,,,36001
2,360010,1,25,,72,,,,36001
2,360010,2,24,,70,,,,36001
2,360010,3,26,,71,,,,36001
2,360010,4,24,,68,,,,36001
2,360010,5,24,,68,,,,36001
2,360010,6,26,,71,,,,36001
2,360010,7,25,,70,,,,36001
2,360010,8,24,,68,,,,36001
2,360010,9,26,,68,,,,36001
2,360010,10,28,,65,,,,36001
2,360010,11,29,,63,,,,36001
2,360010,12,29,,58,,,,36001
2,360010,13,32,,56,,,,36001
2,360010,14,32,,56,,,,36001
2,360010,15,32,,57,,,,36001
2,360010,16,32,,56,,,,36001
2,360010,17,31,,57,,,,36001
2,360010,18,29,,63,,,,36001
2,360010,19,29,,65,,,,36001
2,360010,20,29,,64,,,,36001
2,360010,21,27,,67,,,,36001
2,360010,22,27,,65,,,,36001
2,360010,23,27,,65,,,,36001
2,360010,24,25,,68,,,,36001
3,360010,1,32,,63,,,,36001
3,360010,2,31,,63,,,,36001
3,360010,3,31,,65,,,,36001
3,360010,4,32,,63,,,,36001
3,360010,5,31,,63,,,,36001
3,360010,6,30,,66,,,,36001
3,360010,7,31,,67,,,,36001
3,360010,8,32,,65,,,,36001
3,360010,9,34,,58,,,,36001
3,360010,10,36,,56,,,,36001
3,360010,11,37,,52,,,,36001
