monthID,zoneID,hourID,temperature,temperatureCV,relHumidity,heatIndex,specificHumidity,relativeHumidityCV,FIP
1,360010,1,30.97,,68.69,,,,36001
1,360010,2,31.4,,68.34,,,,36001
1,360010,3,31.38,,71.03,,,,36001
1,360010,4,29.66,,70.08,,,,36001
1,360010,5,29.94,,69.17,,,,36001
1,360010,6,30.31,,72.08,,,,36001
1,360010,7,30.44,,71.56,,,,36001
1,360010,8,29.31,,71.55,,,,36001
1,360010,9,32.26,,72.47,,,,36001
1,360010,10,33.64,,67.02,,,,36001
1,360010,11,33.52,,63.39,,,,36001
1,360010,12,35.56,,59.44,,,,36001
1,360010,13,36.65,,57.84,,,,36001
1,360010,14,36.16,,55.1,,,,36001
1,360010,15,35.89,,56.23,,,,36001
1,360010,16,35.31,,57.71,,,,36001
1,360010,17,35.4,,58.07,,,,36001
1,360010,18,34.33,,60.79,,,,36001
1,360010,19,33.66,,63.09,,,,36001
1,360010,20,32.87,,64.04,,,,36001
1,360010,21,31.68,,66.49,,,,36001
1,360010,22,31.18,,67.36,,,,36001
1,360010,23,31.37,,66.69,,,,36001
1,360010,24,31.88,,68.15,,,,36001
2,360010,1,30.67,,69.64,,,,36001
2,360010,2,30,,69.45,,,,36001
2,360010,3,29.5,,71.72,,,,36001
2,360010,4,29.55,,72.22,,,,36001
2,360010,5,29.07,,70.96,,,,36001
2,360010,6,28.86,,72.64,,,,36001
2,360010,7,29.93,,75.17,,,,36001
2,360010,8,28.8,,71.33,,,,36001
2,360010,9,30.54,,67.57,,,,36001
2,360010,10,32.58,,63.63,,,,36001
2,360010,11,32.54,,64.13,,,,36001
2,360010,12,34.86,,60.77,,,,36001
2,360010,13,35.26,,61.91,,,,36001
2,360010,14,36.01,,58.84,,,,36001
2,360010,15,35.94,,57.67,,,,36001
2,360010,16,35.78,,60.63,,,,36001
2,360010,17,35.8,,55.67,,,,36001
2,360010,18,34.13,,56.63,,,,36001
2,360010,19,33.41,,61.41,,,,36001
2,360010,20,32.56,,60.6,,,,36001
2,360010,21,31.1,,62.83,,,,36001
2,360010,22,30.79,,64.88,,,,36001
2,360010,23,30.29,,65.11,,,,36001
2,360010,24,29.58,,66.03,,,,36001
3,360010,1,39.39,,64.51,,,,36001
3,360010,2,38.91,,63.4,,,,36001
3,360010,3,38.48,,67.4,,,,36001
3,360010,4,37.08,,67.5,,,,36001
3,360010,5,36.36,,68.97,,,,36001
3,360010,6,36.03,,68.87,,,,36001
3,360010,7,36.37,,67.39,,,,36001
3,360010,8,37.05,,63.03,,,,36001
3,360010,9,40.29,,59.63,,,,36001
3,360010,10,41.36,,56.5,,,,36001
3,360010,11,42.84,,55.16,,,,36001
3,360010,12,46.21,,50.21,,,,36001
3,360010,13,47.67,,52.31,,,,36001
3,360010,14,48,,47.03,,,,36001
3,360010,15,49.09,,46.88,,,,36001
3,360010,16,49.03,,48.31,,,,36001
3,360010,17,50.5,,44.47,,,,36001
3,360010,18,46.61,,52.72,,,,36001
3,360010,19,44.47,,56,,,,36001
3,360010,20,44.25,,56.97,,,,36001
3,360010,21,42.23,,60.29,,,,36001
3,360010,22,41.76,,63.24,,,,36001
3,360010,23,41.35,,59.87,,,,36001
3,360010,24,40.67,,61.49,,,,36001
4,360010,1,41.75,,65.25,,,,36001
4,360010,2,41.58,,64.78,,,,36001
4,360010,3,40,,68,,,,36001
4,360010,4,41.8,,69.09,,,,36001
4,360010,5,40.79,,68.63,,,,36001
4,360010,6,41.46,,70.95,,,,36001
4,360010,7,43.38,,65.06,,,,36001
4,360010,8,43.82,,60.65,,,,36001
4,360010,9,46.61,,55.3,,,,36001
