sourceTypeID,monthID,monthVMTFraction,FIP
11,1,0.068802462,36001
11,2,0.069410395,36001
11,3,0.079126462,36001
11,4,0.082690303,36001
11,5,0.087767744,36001
11,6,0.09167219,36001
11,7,0.09111308,36001
11,8,0.090997876,36001
11,9,0.08984688,36001
11,10,0.088302872,36001
11,11,0.081822029,36001
11,12,0.078447708,36001
21,1,0.069590749,36001
21,2,0.070082467,36001
21,3,0.079864184,36001
21,4,0.083185419,36001
21,5,0.087758738,36001
21,6,0.091062574,36001
21,7,0.089681305,36001
21,8,0.089585474,36001
21,9,0.089334391,36001
21,10,0.088322774,36001
21,11,0.082288309,36001
21,12,0.079243617,36001
31,1,0.069590749,36001
31,2,0.070082467,36001
31,3,0.079864184,36001
31,4,0.083185419,36001
31,5,0.087758738,36001
31,6,0.091062574,36001
31,7,0.089681305,36001
31,8,0.089585474,36001
31,9,0.089334391,36001
31,10,0.088322774,36001
31,11,0.082288309,36001
31,12,0.079243617,36001
32,1,0.069590749,36001
32,2,0.070082467,36001
32,3,0.079864184,36001
32,4,0.083185419,36001
32,5,0.087758738,36001
32,6,0.091062574,36001
32,7,0.089681305,36001
32,8,0.089585474,36001
32,9,0.089334391,36001
32,10,0.088322774,36001
32,11,0.082288309,36001
32,12,0.079243617,36001
41,1,0.069510006,36001
41,2,0.070013628,36001
41,3,0.07978862,36001
41,4,0.083134705,36001
41,5,0.087759661,36001
41,6,0.091125016,36001
41,7,0.089827959,36001
41,8,0.089730144,36001
41,9,0.089386885,36001
41,10,0.088320736,36001
41,11,0.082240548,36001
41,12,0.079162093,36001
42,1,0.069510006,36001
42,2,0.070013628,36001
42,3,0.07978862,36001
42,4,0.083134705,36001
42,5,0.087759661,36001
42,6,0.091125016,36001
42,7,0.089827959,36001
42,8,0.089730144,36001
42,9,0.089386885,36001
42,10,0.088320736,36001
42,11,0.082240548,36001
42,12,0.079162093,36001
43,1,0.069510006,36001
43,2,0.070013628,36001
43,3,0.07978862,36001
43,4,0.083134705,36001
43,5,0.087759661,36001
43,6,0.091125016,36001
43,7,0.089827959,36001
43,8,0.089730144,36001
43,9,0.089386885,36001
43,10,0.088320736,36001
43,11,0.082240548,36001
43,12,0.079162093,36001
51,1,0.069235442,36001
51,2,0.069779542,36001
51,3,0.079531668,36001
51,4,0.082962253,36001
51,5,0.087762797,36001
51,6,0.091337349,36001
51,7,0.090326654,36001
51,8,0.090222091,36001
51,9,0.089565387,36001
51,10,0.088313803,36001
51,11,0.082078141,36001
51,12,0.078884873,36001
52,1,0.069235442,36001
52,2,0.069779542,36001
52,3,0.079531668,36001
52,4,0.082962253,36001
52,5,0.087762797,36001
52,6,0.091337349,36001
