sourceTypeID,roadTypeID,roadTypeVMTFraction,FIP
11,1,0,36001
11,2,0.0042,36001
11,3,0.1714,36001
11,4,0.2611,36001
11,5,0.5633,36001
21,1,0,36001
21,2,0.0114,36001
21,3,0.0568,36001
21,4,0.4573,36001
21,5,0.4745,36001
31,1,0,36001
31,2,0.0114,36001
31,3,0.0568,36001
31,4,0.4573,36001
31,5,0.4745,36001
32,1,0,36001
32,2,0.0114,36001
32,3,0.0568,36001
32,4,0.4573,36001
32,5,0.4745,36001
41,1,0,36001
41,2,0.0098,36001
41,3,0.0693,36001
41,4,0.399,36001
41,5,0.5219,36001
42,1,0,36001
42,2,0.0098,36001
42,3,0.0694,36001
42,4,0.399,36001
42,5,0.5218,36001
43,1,0,36001
43,2,0.0099,36001
43,3,0.0693,36001
43,4,0.399,36001
43,5,0.5218,36001
51,1,0,36001
51,2,0.0146,36001
51,3,0.1013,36001
51,4,0.4143,36001
51,5,0.4698,36001
52,1,0,36001
52,2,0.0146,36001
52,3,0.1013,36001
52,4,0.4143,36001
52,5,0.4698,36001
53,1,0,36001
53,2,0.0146,36001
53,3,0.1013,36001
53,4,0.4143,36001
53,5,0.4698,36001
53,1,0,36001
54,2,0.0146,36001
54,3,0.1013,36001
54,4,0.4143,36001
54,5,0.4698,36001
61,1,0,36001
61,2,0.05,36001
61,3,0.0327,36001
61,4,0.8089,36001
61,5,0.1084,36001
62,1,0,36001
62,2,0.05,36001
62,3,0.0327,36001
62,4,0.8089,36001
62,5,0.1084,36001
11,1,0,36003
11,2,0.0296,36003
11,3,0.8983,36003
11,4,0,36003
11,5,0.0721,36003
21,1,0,36003
21,2,0.1748,36003
21,3,0.7437,36003
21,4,0,36003
21,5,0.0815,36003
31,1,0,36003
31,2,0.1748,36003
31,3,0.7437,36003
31,4,0,36003
31,5,0.0815,36003
32,1,0,36003
32,2,0.1748,36003
32,3,0.7437,36003
32,4,0,36003
32,5,0.0815,36003
41,1,0,36003
41,2,0.1706,36003
41,3,0.7707,36003
41,4,0,36003
41,5,0.0587,36003
42,1,0,36003
42,2,0.1706,36003
42,3,0.7707,36003
42,4,0,36003
42,5,0.0587,36003
43,1,0,36003
43,2,0.1706,36003
43,3,0.7707,36003
43,4,0,36003
43,5,0.0587,36003
51,1,0,36003
51,2,0.1487,36003
51,3,0.7991,36003
51,4,0,36003
51,5,0.0522,36003
52,1,0,36003
52,2,0.1487,36003
