Equipment Category,Measure ID,Area Served,Unit ID ,Common Space ID,Site ID,Multifamily Owner Manager (MOM) Survey ID,Climate Zone,Region,County ,Construction Type,Electric Provider,Gas Provider,Appliance Category,Appliance Category ID,Type/Style of Appliance,Other Large Appliances,Number of Appliance Units,Year of Appliance Manufacture,Appliance Manufacture Year Known or Estimated,Appliance Manufacturer,Appliance Model Number,Wattage of Appliance,Appliance Fuel,Appliance Energy Star Certified?,Computer Monitor Type,Dishwasher Efficiency (Energy Factor),Dishwasher Usage Pattern (cycles/week),Fan Usage,Humidifier/Dehumidifier Usage,Clothes Washing Machine Temperature,Clothes Washer Usage Pattern (loads/week),Heated Pool/Hot Tub,Location of Refrigerator,Size of Refrigerator/Freezer (cubic ft.),Refrigerator with an In-door Water Dispenser,Television Screen Size (inches),Air Duct Insulation Type in Unconditioned Space,Air Duct Type in Unconditioned Space,Visual Inspection of Air Duct Seal,Air Duct Distribution in Unconditioned (%),Air Duct Distribution that is  Insulated in Unconditioned Space (%),Thickness of Insulation Around the Return Air Duct (inches),Air Duct Supply Insulation Thickness (inches),Number of Disconnected Air Ducts,Type of Air Duct System,Type of Building Served by DHW,DHW Type,DHW Fuel Type,Number of Water Heaters,DHW Manufacture Year,DHW Manufacture Year Known or Estimated,DHW Unit Manufacturer,DHW Unit Model,DHW Unit Energy Factor,DHW Efficiency Data Source,Water Temperature Setting (DHW),DHW Venting,DHW Unit Heat Recovery,Efficiency rating of DHW heat recovery,Presence of Orphan Natural Draft DHW,Storage Volume of the DHW Unit (gallons),Thickness of DHW pipe insulation (inches),DHW Insulation Thickness (inches),DHW Unit in Conditioned or Unconditioned Part of House?,Surface Type,Construction Material of Envelope,Construction Material of Envelope (Categorical),Depth Below Grade (feet),Ceiling Type,Attic Access Insulation Level,Attic Access Square Feet,Attic Access Weather Stripping,Percentage of total exterior and interior surfaces that are insulated,Exterior or continuous insulation type,Data source for the on-site inspector determining exterior or continuous insulation characteristics,Exterior or continuous insulation quality (grade I-III),Exterior or continuous insulation thickness (inches),Interior or cavity insulation type,Data source for the on-site inspector determining interior or cavity insulation characteristics,Interior or cavity insulation quality (grade I-III),Interior or cavity insulation thickness (inches),Does the home have perimeter insulation,Window Or Door,Number of Doors,Door Material,Door Weather Stripping,Number of Windows,Window Size (sqft),Overall Window Condition,U Factor of Window Insulation,Window Frame Type,Window Glazing,Gas Filled Window,Presence of Bay Windows,Storm Windows,Window Treatments,HVAC Controls Thermostat Type,HVAC Systems Served,Cooling Setback Hours,Cooling Setback Temperature,Heating Setback Hours,Heating Setback Temperature,Set Point Temperature in Cooling Season,Set Point Temperature in Heating Season,Status of Thermostat at Time of Inspection,Programmable Thermostats,What Unit Does the HVAC Cooling System Serve?,What Percentage of Conditioned Space Does the HVAC Cooling Unit Serve?,Is HVAC Cooling Primary or Secondary Source?,HVAC Cooling System Type,Year HVAC Cooling Unit was Manufactured,HVAC Cooling Manufacture Year Known or Estimated,HVAC Cooling Manufacturer,HVAC Cooling System Model,HVAC Cooling Capacity (BTU/Hr.),Number of AC Units,Rated Efficiency of HVAC Cooling System ,HVAC Cooling Efficiency Type,HVAC Cooling Efficiency Data Source,Is HVAC Cooling Energy Star?,Observed Visual Condition of HVAC Cooling System,Cooling Filter Slot Cover?,Condition of HVAC Cooling Furnace Air Filter,Location of HVAC Cooling System,When was HVAC Cooling System Last Serviced?,What Unit Does the HVAC Heating System Serve?,What Percentage of Conditioned Space Does the HVAC Heating Unit Serve?,Is Heating Primary or Secondary Source?,HVAC Heating System Type,Year HVAC Heating Unit was Manufactured,HVAC Heating Manufacture Year Estimated or Known,HVAC Heating Manufacturer,HVAC Heating Model,HVAC Heating Capacity (BTU/Hr.),HVAC System Fuel Type,Number of HVAC Heating Systems,Rated Efficiency of HVAC Heating System,HVAC Heating Efficiency Type,HVAC Heating Efficiency Data Source,Is HVAC Heating Energy Star?,Observed Visual Condition of HVAC Heating System,Is There An HVAC Heating Filter Slot Cover?,Condition of HVAC Heating Furnace Air Filter,Does the HVAC Heating Furnace have an Electronically Commutated Motor?,Location of HVAC Heating,Does the HVAC Heating System Have an Outdoor Reset?,Does the HVAC Heating System have Thermostatic Radiator valves?,HVAC Heating Venting Type,When was HVAC Heating System Last Serviced?,HVAC Ventilation Type,HVAC Ventilation Space Served,Number of HVAC Ventilation Operating Hours Per Day,HVAC Ventilation System Configuration,Number of Lighting Controls,Type of Lighting Controls,Number of Efficient Light Bulbs,Number of Halogen Light Bulbs,Number of Incandescent Light Bulbs,Number of Other Light Bulbs,Type of Other Light Bulbs,Number of T12 Light Bulbs,Location of Lighting Unit,Number of Other Plug Loads,Description of Other Plug Loads,Number of Cable Boxes Plugged into Smart Strips or Outlets ,Number of DVD Players Plugged into Smart Strips or Outlets,Number of Fax Machines Plugged into Smart Strips or Outlets,Number of Gaming Consoles Plugged into Smart Strips or Outlets,Number of Home Theater Systems Plugged into Smart Strips or Outlets,Number of Printers and Copiers Plugged into Smart Strips or Outlets,Number of Space Heaters Plugged into Smart Strips or Outlets,Number of Stereo Systems Plugged into Smart Strips or Outlets,Number of VCR's Plugged into Smart Strips or Outlets,"Number of Tier 1 Plug Loads, Smart Strips and Outlets","Number of Tier 2 Plug Loads, Smart Strips and Outlets"
Appliances,01F57A3F-7A41-44BB-B60A-5FA5E261F882,Three Bedroom,Unit01394,Not Applicable,0139445E-E46F-49D3-AB48-0D10481888D8,144,Climate Zone 4,Mid-Hudson,Westchester,Existing,ConEd,ConEd,Computer,1BF375A9-94AD-48E5-8723-F180466F2613,Desktop,Not Applicable,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,LCD,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lighting Counts,02127059-28AE-4B8A-B27E-BF200F417ED2,Two Bedroom,Unit01391,Not Applicable,0139445E-E46F-49D3-AB48-0D10481888D8,144,Climate Zone 4,Mid-Hudson,Westchester,Existing,ConEd,ConEd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,0,Not Applicable,0,Bedroom,,,,,,,,,,,,,
Lighting Counts,071360AA-76E2-4D92-977F-B082AFB1B3BD,One Bedroom,Unit01393,Not Applicable,0139445E-E46F-49D3-AB48-0D10481888D8,144,Climate Zone 4,Mid-Hudson,Westchester,Existing,ConEd,ConEd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,0,Not Applicable,0,Bathroom,,,,,,,,,,,,,
Lighting Counts,084494CE-8301-4C8B-B48F-0D141F2EE7E9,Three Bedroom,Unit01397,Not Applicable,0139445E-E46F-49D3-AB48-0D10481888D8,144,Climate Zone 4,Mid-Hudson,Westchester,Existing,ConEd,ConEd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,Not Applicable,0,Bedroom,,,,,,,,,,,,,
Envelope Surfaces,109D913E-9ACD-4320-A52F-4EE1BF5A60EE,Whole Building,Not Applicable,Not Applicable,0139445E-E46F-49D3-AB48-0D10481888D8,144,Climate Zone 4,Mid-Hudson,Westchester,Existing,ConEd,ConEd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceiling,2x8,Wood Frame,Not Applicable,Sealed Attic,None,None,None,100,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Spray Foam,Reported,Grade III,2,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appliances,12ABAF47-FC7E-4370-ABAC-41682F24EDF3,Two Bedroom,Unit01391,Not Applicable,0139445E-E46F-49D3-AB48-0D10481888D8,144,Climate Zone 4,Mid-Hudson,Westchester,Existing,ConEd,ConEd,TV,3DC2E17D-69E1-4AD6-832C-C4A8579EA120,LCD,Not Applicable,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVAC Heating,136E9F0D-5C25-457F-9C95-CB4257624613,Whole Building,Not Applicable,Not Applicable,0139445E-E46F-49D3-AB48-0D10481888D8,144,Climate Zone 4,Mid-Hudson,Westchester,Existing,ConEd,ConEd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MF Building,100,Primary,"Boiler, Water",2002,Estimated,Lochinvar,cbn1795,"* 1,795,000",Natural Gas,2,81,AFUE %,Manufacturer's Specs,Unclear,Well Maintained,Not Applicable,Not Applicable,Not Applicable,Conditioned,Unknown,Not Applicable,Induced Draft,2014,,,,,,,,,,,,,,,,,,,,,,,,,,
Lighting Counts,138ECBF9-A625-4C38-BC50-F4A854F888A6,Two Bedroom,Unit01396,Not Applicable,0139445E-E46F-49D3-AB48-0D10481888D8,144,Climate Zone 4,Mid-Hudson,Westchester,Existing,ConEd,ConEd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,Not Applicable,0,Closet,,,,,,,,,,,,,
Lighting Counts,16810D65-C08E-4B01-A91F-97E26437DAF8,One Bedroom,Unit01393,Not Applicable,0139445E-E46F-49D3-AB48-0D10481888D8,144,Climate Zone 4,Mid-Hudson,Westchester,Existing,ConEd,ConEd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,2,0,Not Applicable,0,Living Room,,,,,,,,,,,,,
Lighting Counts,1A371E75-0B55-4740-9581-82D3BC770FBF,Three Bedroom,Unit01394,Not Applicable,0139445E-E46F-49D3-AB48-0D10481888D8,144,Climate Zone 4,Mid-Hudson,Westchester,Existing,ConEd,ConEd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,Not Applicable,0,Bedroom,,,,,,,,,,,,,
