OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,BLKGRPCE20,GEOID20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20
1,36,119,000101,1,361190001011,Block Group 1,G5030,S,89697,0,+40.9261988,-073.8998093
2,36,119,000101,2,361190001012,Block Group 2,G5030,S,115471,0,+40.9264912,-073.8968482
3,36,119,000101,3,361190001013,Block Group 3,G5030,S,50734,0,+40.9263388,-073.8982075
4,36,119,000103,1,361190001031,Block Group 1,G5030,S,62258,0,+40.9335263,-073.9013255
5,36,119,000103,2,361190001032,Block Group 2,G5030,S,80735,0,+40.9308543,-073.9018075
6,36,119,000103,3,361190001033,Block Group 3,G5030,S,88436,0,+40.9265128,-073.9016532
7,36,119,000103,4,361190001034,Block Group 4,G5030,S,119348,0,+40.9283008,-073.9033797
8,36,119,000104,1,361190001041,Block Group 1,G5030,S,151708,808783,+40.9287188,-073.9049967
9,36,119,000202,1,361190002021,Block Group 1,G5030,S,86292,0,+40.9213453,-073.9020910
10,36,119,000202,2,361190002022,Block Group 2,G5030,S,209269,410704,+40.9213113,-073.9085756
11,36,119,000202,3,361190002023,Block Group 3,G5030,S,227004,0,+40.9191251,-073.9044892
12,36,119,000203,1,361190002031,Block Group 1,G5030,S,108168,0,+40.9134896,-073.8983373
13,36,119,000203,2,361190002032,Block Group 2,G5030,S,273491,178986,+40.9163028,-073.9076863
14,36,119,000203,3,361190002033,Block Group 3,G5030,S,91011,0,+40.9146743,-073.9006116
15,36,119,000204,1,361190002041,Block Group 1,G5030,S,62404,0,+40.9218524,-073.8968527
16,36,119,000204,2,361190002042,Block Group 2,G5030,S,125446,0,+40.9217459,-073.8995875
17,36,119,000205,1,361190002051,Block Group 1,G5030,S,65003,0,+40.9184980,-073.9000668
18,36,119,000205,2,361190002052,Block Group 2,G5030,S,42874,0,+40.9165327,-073.8993134
19,36,119,000205,3,361190002053,Block Group 3,G5030,S,70337,0,+40.9184673,-073.8976594
20,36,119,000300,1,361190003001,Block Group 1,G5030,S,144754,0,+40.9322082,-073.8949062
21,36,119,000300,2,361190003002,Block Group 2,G5030,S,192312,0,+40.9312094,-073.8981717
22,36,119,000300,3,361190003003,Block Group 3,G5030,S,48752,0,+40.9317814,-073.8928872
23,36,119,000401,1,361190004011,Block Group 1,G5030,S,78505,0,+40.9365868,-073.8966688
24,36,119,000401,2,361190004012,Block Group 2,G5030,S,224737,0,+40.9372122,-073.8992605
25,36,119,000401,3,361190004013,Block Group 3,G5030,S,107328,458003,+40.9359208,-073.9032837
26,36,119,000401,4,361190004014,Block Group 4,G5030,S,70507,0,+40.9368740,-073.8950003
27,36,119,000403,1,361190004031,Block Group 1,G5030,S,60592,0,+40.9486015,-073.8984191
28,36,119,000403,2,361190004032,Block Group 2,G5030,S,131055,0,+40.9416773,-073.8973680
29,36,119,000403,3,361190004033,Block Group 3,G5030,S,158766,725214,+40.9441946,-073.9008152
30,36,119,000403,4,361190004034,Block Group 4,G5030,S,58241,0,+40.9456476,-073.8989155
31,36,119,000404,1,361190004041,Block Group 1,G5030,S,67425,0,+40.9454121,-073.8948981
32,36,119,000404,2,361190004042,Block Group 2,G5030,S,121601,0,+40.9454794,-073.8967602
33,36,119,000501,1,361190005011,Block Group 1,G5030,S,47238,0,+40.9419858,-073.8891965
34,36,119,000501,2,361190005012,Block Group 2,G5030,S,218029,0,+40.9399206,-073.8877511
35,36,119,000502,1,361190005021,Block Group 1,G5030,S,104034,0,+40.9365512,-073.8914769
36,36,119,000502,2,361190005022,Block Group 2,G5030,S,85358,0,+40.9377830,-073.8929570
37,36,119,000601,1,361190006011,Block Group 1,G5030,S,151724,0,+40.9438968,-073.8841509
38,36,119,000601,2,361190006012,Block Group 2,G5030,S,111259,0,+40.9449174,-073.8871181
39,36,119,000602,1,361190006021,Block Group 1,G5030,S,201264,0,+40.9418304,-073.8924011
40,36,119,000602,2,361190006022,Block Group 2,G5030,S,203483,0,+40.9459974,-073.8912351
41,36,119,000701,1,361190007011,Block Group 1,G5030,S,330114,0,+40.9522196,-073.8928772
42,36,119,000701,2,361190007012,Block Group 2,G5030,S,886890,0,+40.9662439,-073.8873408
43,36,119,000702,1,361190007021,Block Group 1,G5030,S,147544,0,+40.9738682,-073.8880383
44,36,119,000702,2,361190007022,Block Group 2,G5030,S,320683,1732372,+40.9667662,-073.8896752
45,36,119,000702,3,361190007023,Block Group 3,G5030,S,244311,447091,+40.9540664,-073.8982894
46,36,119,000801,1,361190008011,Block Group 1,G5030,S,409865,0,+40.9662299,-073.8811430
47,36,119,000801,2,361190008012,Block Group 2,G5030,S,195329,0,+40.9580775,-073.8800218
48,36,119,000801,3,361190008013,Block Group 3,G5030,S,193341,0,+40.9535563,-073.8813725
49,36,119,000801,4,361190008014,Block Group 4,G5030,S,113047,0,+40.9595715,-073.8848430
50,36,119,000801,5,361190008015,Block Group 5,G5030,S,245631,0,+40.9622117,-073.8818307
51,36,119,000802,1,361190008021,Block Group 1,G5030,S,232167,0,+40.9490704,-073.8814530
52,36,119,000802,2,361190008022,Block Group 2,G5030,S,586451,0,+40.9605498,-073.8742448
53,36,119,000803,1,361190008031,Block Group 1,G5030,S,291971,0,+40.9536506,-073.8839399
54,36,119,000803,2,361190008032,Block Group 2,G5030,S,389307,0,+40.9530061,-073.8884041
55,36,119,000803,3,361190008033,Block Group 3,G5030,S,139532,0,+40.9486504,-073.8861908
56,36,119,000900,1,361190009001,Block Group 1,G5030,S,1047723,0,+40.9751008,-073.8638600
57,36,119,000900,2,361190009002,Block Group 2,G5030,S,1200957,0,+40.9728259,-073.8763503
58,36,119,000900,3,361190009003,Block Group 3,G5030,S,271429,0,+40.9746119,-073.8696133
59,36,119,001000,1,361190010001,Block Group 1,G5030,S,85535,0,+40.9364631,-073.8829668
60,36,119,001000,2,361190010002,Block Group 2,G5030,S,119456,0,+40.9371334,-073.8858980
61,36,119,001101,1,361190011011,Block Group 1,G5030,S,93710,0,+40.9334805,-073.8884562
62,36,119,001101,2,361190011012,Block Group 2,G5030,S,82072,0,+40.9342178,-073.8907778
63,36,119,001102,1,361190011021,Block Group 1,G5030,S,108259,0,+40.9339391,-073.8846661
64,36,119,001102,2,361190011022,Block Group 2,G5030,S,544496,0,+40.9300190,-073.8835309
65,36,119,001102,3,361190011023,Block Group 3,G5030,S,92395,0,+40.9312790,-073.8862902
66,36,119,001200,1,361190012001,Block Group 1,G5030,S,61439,0,+40.9307651,-073.8915246
67,36,119,001200,2,361190012002,Block Group 2,G5030,S,165008,0,+40.9268752,-073.8935969
68,36,119,001200,3,361190012003,Block Group 3,G5030,S,196332,0,+40.9269176,-073.8907605
69,36,119,001301,1,361190013011,Block Group 1,G5030,S,836481,0,+40.9210615,-073.8836488
70,36,119,001301,2,361190013012,Block Group 2,G5030,S,285183,0,+40.9222418,-073.8879659
71,36,119,001301,3,361190013013,Block Group 3,G5030,S,303814,0,+40.9201098,-073.8924840
72,36,119,001302,1,361190013021,Block Group 1,G5030,S,94687,0,+40.9151346,-073.8912299
73,36,119,001302,2,361190013022,Block Group 2,G5030,S,128685,0,+40.9100451,-073.8884149
74,36,119,001302,3,361190013023,Block Group 3,G5030,S,144410,0,+40.9122855,-073.8879435
75,36,119,001304,1,361190013041,Block Group 1,G5030,S,147600,0,+40.9132166,-073.8931944
76,36,119,001304,2,361190013042,Block Group 2,G5030,S,25617,0,+40.9108131,-073.8941972
77,36,119,001305,1,361190013051,Block Group 1,G5030,S,110166,0,+40.9176711,-073.8950462
78,36,119,001305,2,361190013052,Block Group 2,G5030,S,86400,0,+40.9139989,-073.8957288
79,36,119,001401,1,361190014011,Block Group 1,G5030,S,308846,0,+40.9290368,-073.8677356
80,36,119,001401,2,361190014012,Block Group 2,G5030,S,159513,0,+40.9220700,-073.8663618
81,36,119,001401,3,361190014013,Block Group 3,G5030,S,260769,0,+40.9211584,-073.8705886
82,36,119,001401,4,361190014014,Block Group 4,G5030,S,1018003,59198,+40.9228916,-073.8786312
83,36,119,001402,1,361190014021,Block Group 1,G5030,S,431971,0,+40.9187131,-073.8748649
84,36,119,001402,2,361190014022,Block Group 2,G5030,S,221185,0,+40.9131348,-073.8771706
85,36,119,001403,1,361190014031,Block Group 1,G5030,S,101447,0,+40.9140712,-073.8814338
86,36,119,001403,2,361190014032,Block Group 2,G5030,S,124914,0,+40.9099808,-073.8836784
87,36,119,001403,3,361190014033,Block Group 3,G5030,S,93635,0,+40.9095241,-073.8813763
88,36,119,001403,4,361190014034,Block Group 4,G5030,S,125384,0,+40.9083948,-073.8790090
89,36,119,001502,1,361190015021,Block Group 1,G5030,S,188256,0,+40.9035275,-073.8593689
90,36,119,001502,2,361190015022,Block Group 2,G5030,S,116081,0,+40.9044216,-073.8622251
91,36,119,001502,3,361190015023,Block Group 3,G5030,S,130574,0,+40.9050827,-073.8654284
92,36,119,001503,1,361190015031,Block Group 1,G5030,S,151016,0,+40.9042353,-073.8686651
93,36,119,001503,2,361190015032,Block Group 2,G5030,S,167006,0,+40.9066627,-073.8747388
94,36,119,001503,3,361190015033,Block Group 3,G5030,S,202741,0,+40.9090655,-073.8733996
95,36,119,001503,4,361190015034,Block Group 4,G5030,S,255008,355475,+40.9086985,-073.8703224
96,36,119,001504,1,361190015041,Block Group 1,G5030,S,167367,0,+40.9103784,-073.8570539
97,36,119,001504,2,361190015042,Block Group 2,G5030,S,123646,0,+40.9124059,-073.8597634
98,36,119,001504,3,361190015043,Block Group 3,G5030,S,237798,0,+40.9080649,-073.8618542
99,36,119,001504,4,361190015044,Block Group 4,G5030,S,653735,0,+40.9159634,-073.8638679
100,36,119,001505,1,361190015051,Block Group 1,G5030,S,238964,0,+40.9109538,-073.8539552
101,36,119,001600,1,361190016001,Block Group 1,G5030,S,222682,0,+40.9528170,-073.8741197
102,36,119,001600,2,361190016002,Block Group 2,G5030,S,107224,0,+40.9491380,-073.8746604
103,36,119,001600,3,361190016003,Block Group 3,G5030,S,273141,0,+40.9472985,-073.8769886
104,36,119,001600,4,361190016004,Block Group 4,G5030,S,1326253,0,+40.9398370,-073.8756702
105,36,119,001701,1,361190017011,Block Group 1,G5030,S,208755,0,+40.9448510,-073.8705656
106,36,119,001701,2,361190017012,Block Group 2,G5030,S,160352,0,+40.9534757,-073.8681423
107,36,119,001701,3,361190017013,Block Group 3,G5030,S,149964,0,+40.9491439,-073.8666454
108,36,119,001701,4,361190017014,Block Group 4,G5030,S,237709,0,+40.9504394,-073.8706111
109,36,119,001702,1,361190017021,Block Group 1,G5030,S,303532,0,+40.9448862,-073.8631564
110,36,119,001702,2,361190017022,Block Group 2,G5030,S,1041494,0,+40.9502099,-073.8587633
111,36,119,001800,1,361190018001,Block Group 1,G5030,S,333192,0,+40.9587702,-073.8656006
112,36,119,001800,2,361190018002,Block Group 2,G5030,S,136005,0,+40.9581683,-073.8694622
113,36,119,001900,1,361190019001,Block Group 1,G5030,S,669511,0,+40.9645839,-073.8659675
114,36,119,002000,1,361190020001,Block Group 1,G5030,S,573701,0,+40.9690844,-073.8446846
115,36,119,002000,2,361190020002,Block Group 2,G5030,S,369197,0,+40.9627246,-073.8452916
116,36,119,002000,3,361190020003,Block Group 3,G5030,S,398290,0,+40.9574879,-073.8492884
117,36,119,002000,4,361190020004,Block Group 4,G5030,S,3464584,627991,+40.9729901,-073.8543255
118,36,119,002101,1,361190021011,Block Group 1,G5030,S,246384,0,+40.9835833,-073.8303590
119,36,119,002101,2,361190021012,Block Group 2,G5030,S,371369,0,+40.9806417,-073.8346295
120,36,119,002101,3,361190021013,Block Group 3,G5030,S,494761,0,+40.9724713,-073.8371998
