OBJECTID_1,SW_UID,YEARBUILT,DIAMETER,SOURCE,TYPE,MATERIAL,SHAPE,SHAPELEN
1,0,1993,0,SSIS,, ,,138.010424426507
2,1,1993,0,SSIS,, ,,288.60506952118
3,2,1993,0,SSIS,, ,,115.946747059252
4,3,1993,0,SSIS,, ,,202.041120867019
5,4,1993,0,SSIS,, ,,264.643088985785
6,5,0,0,SSIS,, ,,86.4522075699459
7,6,0,0,SSIS,, ,,113.651736771189
8,7,0,0,SSIS,, ,,31.4998785554462
9,8,1993,0,SSIS,, ,,118.534638573214
10,9,1993,0,SSIS,, ,,123.482987563088
11,10,0,10,SSIS,, ,,383.115999267544
12,11,0,10,SSIS,, ,,395.573644951921
13,12,0,10,SSIS,, ,,198.349261426536
14,13,0,0,SSIS,, ,,78.3969249742422
15,14,0,0,SSIS,, ,,117.372021101205
16,15,0,0,SSIS,, ,,42.4853280921098
17,16,0,10,SSIS,, ,,85.8420251549002
18,17,0,10,SSIS,, ,,205.354495110796
19,18,0,10,SSIS,, ,,183.49984644398
20,19,0,0,SSIS,, ,,761.163978614163
21,20,1993,0,SSIS,, ,,167.91168677328
22,21,1993,0,SSIS,, ,,161.906745104236
23,22,1993,0,SSIS,, ,,57.1239868964963
24,23,1993,0,SSIS,, ,,50.2226786340042
25,24,1993,10,SSIS,, ,,134.56646980016
26,25,1993,10,SSIS,, ,,78.9086343613574
27,26,1993,10,SSIS,, ,,53.6451295429216
28,27,1993,10,SSIS,, ,,115.120827295175
29,28,1993,10,SSIS,, ,,217.833965395544
30,29,1993,10,SSIS,, ,,558.280896947055
31,30,1993,0,SSIS,, ,,47.7527511921227
32,31,1993,10,SSIS,, ,,144.393535501579
33,32,1993,0,SSIS,, ,,684.584677981167
34,33,0,0,SSIS,, ,,261.709116454883
35,34,0,0,SSIS,, ,,294.744005192633
36,35,0,0,SSIS,, ,,415.530086592572
37,36,0,0,SSIS,, ,,317.54165859968
38,37,1993,0,SSIS,, ,,203.739375700423
39,38,1993,0,SSIS,, ,,321.91304445306
40,39,0,0,SSIS,, ,,151.54630442398
41,40,0,0,SSIS,, ,,174.450671696331
42,41,0,0,SSIS,, ,,232.176709402871
43,42,0,0,SSIS,, ,,290.571462322451
44,43,0,0,SSIS,, ,,146.547998494015
45,44,0,0,SSIS,, ,,185.443734696834
46,45,1993,0,SSIS,, ,,285.376456149936
47,46,1993,0,SSIS,, ,,337.85171019562
48,47,1993,0,SSIS,, ,,181.530961990622
49,48,1993,0,SSIS,, ,,240.50404354963
50,49,1993,0,SSIS,, ,,26.4919115216271
51,50,1993,0,SSIS,, ,,199.297199162177
52,51,0,0,SSIS,, ,,48.7177299910666
53,52,0,0,SSIS,, ,,145.66194976228
54,53,1993,0,SSIS,, ,,148.938228204464
55,54,0,0,SSIS,, ,,187.626653609746
56,55,0,6,SSIS,, ,,358.162648729911
