X,Y,OBJECTID,COLL_METH,STRUCTURE,CB_TYPE,MH_COVER,DIMENSION,DEPTH,ELEVATION,LOCATION,BASIN,STRUC_ID,MUNI,PROJECT_ID,MAP_ID,COMMENTS,ST_NAME,HOUSE_NUM,LOCAL_ID,LAT,LONG_,ASSET_ID,INV_ELEV,OF_SHAPE,OF_MATERIAL,OF_TYPE,OWNER,GENERIC_OWN,DATA_SOURCE,OFFICE_TRACK,SHAPE,WC_DRAINAGE_BASIN,LAND_USE_TYPE,FEATURE_TYPE,SOURCE,HOUS_NUM,GLOBALID,ACCESSIBLE,TYPE_,MATERIAL,SHAPE_,QUANTITY,SUBMERGED,FLOW_PRESE,FLOW_DESC,DAMAGE,DEPOSITS,ABNORMAL_V,POOR_POOL_,BENTHIC_GR,INSPECTION,POLE,OFFSET_,HD,VD,SD,INC,AZ,CREATOR,EDITOR,HEIGHT,WIDTH,CONV_DIR,UNIQUE_ID_ALL_POINT_FEATURES,RESPONSIBILITY
691221.915630676,824603.077395022,1,Stellar Services Field Survey,,,,18,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,BRONX RIVER BASIN,Institutional and Public Assembly,Outfall,,,6c42ac3d-8400-4e91-9f9f-ce3d771b10f5,Y,CP,RCP,ELIP,1,NO,N,NO,NO,NO,NO,NO,NO,2019/07/01 00:00:00+00,0,N,0,0,0,0,0, , ,0,0, ,1,DPW
691332.118166175,824434.328388691,2,Stellar Services Field Survey,,,,15,0,0,,,,,,,We believe this may be an inlet and not an outfall.  Outlet weir box of a retention pond.,,,,0,0,,0,,,,,,,,,BRONX RIVER BASIN,Office and Research,Outfall,,,e97ae36d-a872-456e-aabb-f3f9d1f3a288,Y,CP,CMP,CIRC,1,NO,N,NO,NO,NO,NO,NO,NO,2019/07/01 00:00:00+00,0,N,0,0,0,0,0, , ,0,0, ,2,DPW
691211.870047092,824408.847468525,3,Stellar Services Field Survey,,,,0,0,0,,,,,,,"Dense vegetation, could not locate",,,,0,0,,0,,,,,,,,,BRONX RIVER BASIN,Institutional and Public Assembly,Outfall,,,fa871945-b0e9-4cc8-973b-43212100a196,VEG, , , ,1, , ,NO,NO,NO,NO,NO,NO,2019/07/01 00:00:00+00, ,N,0,0,0,0,0, , ,0,0, ,3,DPW
691329.279917259,824595.758183941,4,Stellar Services Field Survey,,,,15,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,BRONX RIVER BASIN,Office and Research,Outfall,,,279c3305-9821-4f86-85b0-6b963661a1cf,Y,CP,CMP,CIRC,1,NO,N,NO,NO,NO,NO,NO,NO,2019/07/01 00:00:00+00,0,N,0,0,0,0,0, , ,0,0, ,4,DPW
691263.448684093,823724.946277276,5,Stellar Services Field Survey,,,,0,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,BRONX RIVER BASIN,"Transportation, Communication, Utilities",Outfall,,,7035e665-6a61-45a0-8481-d5f393833fef,VEG, , , ,1, , ,NO,NO,NO,NO,NO,NO,2019/07/01 00:00:00+00,0,N,6,0,0,0,45, , ,0,0, ,5,DPW
691343.323196258,823528.631381191,6,Stellar Services Field Survey,,,,18,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,BRONX RIVER BASIN,Institutional and Public Assembly,Outfall,,,e03c755c-3d7d-44d1-b951-986f730903d5,Y,CP,RCP,CIRC,1,WP,N,NO,NO,NO,NO,NO,NO,2019/07/01 00:00:00+00,2,Y,25,-10,27,-21.9,335.3, , ,0,0, ,6,DPW
691263.638316259,821977.229300275,7,Stellar Services Field Survey,,,,18,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,BRONX RIVER BASIN,"Transportation, Communication, Utilities",Outfall,,,ad8475c7-ca09-4cc4-ad72-4b1c9317c87e,Y,CP,RCP,CIRC,1,NO,N,NO,NO,NO,NO,NO,NO,2019/07/01 00:00:00+00,2,N,0,0,0,0,0, , ,0,0, ,7,DPW
691260.862403177,822018.099297278,8,Stellar Services Field Survey,,,,0,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,BRONX RIVER BASIN,"Transportation, Communication, Utilities",Outfall,,,e9e0b4dc-88ef-4466-a203-b3075aa14b9a,VEG, , , ,1, ,Y,TRI,NO,NO,NO,NO,NO,2019/07/01 00:00:00+00, ,N,0,0,0,0,0, , ,0,0, ,8,DPW
691272.136002675,822159.478279606,9,Stellar Services Field Survey,,,,0,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,BRONX RIVER BASIN,"Transportation, Communication, Utilities",Outfall,,,c4581b53-4b11-4e69-8869-65292627f3ce,VEG, , , ,1, , ,NO,NO,NO,NO,NO,NO,2019/07/01 00:00:00+00, ,N,0,0,0,0,0, , ,0,0, ,9,DPW
691272.050372925,822645.254539028,10,Stellar Services Field Survey,,,,0,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,BRONX RIVER BASIN,"Transportation, Communication, Utilities",Outfall,,,b98d5fb5-deff-45fb-970e-3e17fa20a444,Y,CP,RCP,BOX,1,WP,N,NO,SPCC,NO,NO,NO,NO,2019/07/01 00:00:00+00,2,N,15.5,-6,16.5,-21.5,145, , ,24,36, ,10,DPW
